code,name,source,first_data,last_data,rows,publication_date
1.930955,中证红利低波100,csindex:930955,2005-01-01,2026-06-12,4966,2017-05-26
0.399006,创业板,Sina,2010-06-01,2026-06-12,3892,2010-06-01
1.000016,上证50,Sina,2004-01-02,2026-06-12,5449,2004-01-02
1.000852,中证1000,Sina,2014-10-17,2026-06-12,2833,2014-10-17
1.000905,中证500,Sina,2005-01-04,2026-06-12,5206,2007-01-15
1.H11077,10Y国债,fetch_cn_kline via _add_cn_bond_column,2014-10-17,2026-06-12,2834,2013-03-07
