variant,start,end,years,ann_return,ann_vol,sharpe,max_dd,calmar,ulcer,final_nav,worst_dd_date
baseline_subc,2009-11-24,2026-04-28,16.424366872005475,0.11867469768703631,0.1354578453822063,0.8761005857740108,-0.2340028846741089,0.5071505757388939,0.06705770909949235,6.308546812038376,2022-10-14
self_nav_dd3_cut20_recover1,2009-11-24,2026-04-28,16.424366872005475,0.10133946430479002,0.11611598484860056,0.8727434421447046,-0.19619623689066834,0.5165209379691728,0.057852289458137404,4.881229130991597,2022-10-14
phase2_only_self_nav_dd3_cut20_recover1,2009-11-24,2026-04-28,16.424366872005475,0.11667354593756896,0.12954378088789334,0.9006495343727675,-0.1951077964339144,0.5979953034684999,0.061111517124053154,6.125731373558035,2022-10-14
high_scale_only_self_nav_dd3_cut20_recover1,2009-11-24,2026-04-28,16.424366872005475,0.11210618084658863,0.12606228213503531,0.8892920146130847,-0.22379809915125293,0.5009255273916432,0.06085297908366764,5.726945012045953,2022-10-14
phase2_high_scale_self_nav_dd3_cut20_recover1,2009-11-24,2026-04-28,16.424366872005475,0.11820035767633486,0.13317042235349408,0.8875871652834294,-0.22110001404121304,0.5346013123920575,0.06409029884328897,6.264755869691344,2022-10-14
baseline_nav_dd3_cut20_recover1,2009-11-24,2026-04-28,16.424366872005475,0.10124589297041253,0.11738850615066901,0.8624855728248444,-0.20073577138800658,0.5043739452631595,0.059438464211080955,4.874422144169396,2022-10-14
phase2_only_baseline_nav_dd3_cut20_recover1,2009-11-24,2026-04-28,16.424366872005475,0.11698662184445152,0.12974171099733425,0.9016886007219004,-0.1951077964339144,0.5995999338964214,0.061130038038701116,6.154000298820543,2022-10-14
high_scale_only_baseline_nav_dd3_cut20_recover1,2009-11-24,2026-04-28,16.424366872005475,0.11183120595551,0.12619350146413524,0.8861883112680958,-0.22379809915125293,0.4996968534568713,0.06114014920372345,5.703732054302534,2022-10-14
phase2_high_scale_baseline_nav_dd3_cut20_recover1,2009-11-24,2026-04-28,16.424366872005475,0.11807594434499169,0.13313525150153832,0.886887154328374,-0.22110001404121304,0.5340386107934951,0.06408756740270818,6.253317412160692,2022-10-14
self_nav_dd5_cut30_recover2,2009-11-24,2026-04-28,16.424366872005475,0.09661869620086083,0.11170622104388991,0.8649356794810817,-0.18169671911410112,0.5317580673550117,0.0574673237142103,4.5487139132440575,2022-10-14
phase2_only_self_nav_dd5_cut30_recover2,2009-11-24,2026-04-28,16.424366872005475,0.1163894909676162,0.12802254680639943,0.9091327572449001,-0.1869682657782753,0.6225093359192939,0.05990505913954143,6.100188429052733,2018-12-24
high_scale_only_self_nav_dd5_cut30_recover2,2009-11-24,2026-04-28,16.424366872005475,0.11093310742099294,0.12634655305309844,0.8780065996289756,-0.2256452659313921,0.49162612369949904,0.06235386944607727,5.6285300408822705,2022-10-14
phase2_high_scale_self_nav_dd5_cut30_recover2,2009-11-24,2026-04-28,16.424366872005475,0.11757257398624499,0.13291843594883296,0.8845467759754909,-0.22077138881247216,0.532553491730369,0.06426649741728231,6.207237868096151,2022-10-14
baseline_nav_dd5_cut30_recover2,2009-11-24,2026-04-28,16.424366872005475,0.09790128396486608,0.11494269637094849,0.851739928293612,-0.191994848832867,0.5099162011898033,0.060985065973938254,4.6368858579296965,2022-10-14
phase2_only_baseline_nav_dd5_cut30_recover2,2009-11-24,2026-04-28,16.424366872005475,0.11693568525682196,0.12815369649380848,0.9124643959253372,-0.1869682657782753,0.6254306567484312,0.05988864700561966,6.149392693238613,2018-12-24
high_scale_only_baseline_nav_dd5_cut30_recover2,2009-11-24,2026-04-28,16.424366872005475,0.11235373917755154,0.12705354935025895,0.8843022469826227,-0.22930091638800698,0.4899838210303285,0.0632635275992099,5.7479193701112665,2022-10-14
phase2_high_scale_baseline_nav_dd5_cut30_recover2,2009-11-24,2026-04-28,16.424366872005475,0.11779744677480819,0.13290939645979247,0.8862988615740505,-0.22077138881247216,0.5335720693176769,0.06426290802484855,6.2277836307747,2022-10-14
self_nav_dd7_cut50_recover3,2009-11-24,2026-04-28,16.424366872005475,0.07712954832869667,0.10025752157205037,0.7693143329228151,-0.1514819299239054,0.5091666601253463,0.05903216576815825,3.388289281241276,2022-10-14
phase2_only_self_nav_dd7_cut50_recover3,2009-11-24,2026-04-28,16.424366872005475,0.11013951256523513,0.12549187337305603,0.8776625099684171,-0.1869682657782753,0.5890813187295058,0.05812635728536693,5.562854512596868,2018-12-24
high_scale_only_self_nav_dd7_cut50_recover3,2009-11-24,2026-04-28,16.424366872005475,0.10453597875902898,0.12460500820141827,0.8389388217049139,-0.21853266166234697,0.4783540270998331,0.06434378728078245,5.119198582890519,2022-10-14
phase2_high_scale_self_nav_dd7_cut50_recover3,2009-11-24,2026-04-28,16.424366872005475,0.11635528771192427,0.13252679007809398,0.877975597563026,-0.21853266166234697,0.53243888957754,0.06433039718619403,6.097119541453549,2022-10-14
