date,baseline_subc,self_nav_dd3_cut20_recover1,phase2_only_self_nav_dd3_cut20_recover1,high_scale_only_self_nav_dd3_cut20_recover1,phase2_high_scale_self_nav_dd3_cut20_recover1,baseline_nav_dd3_cut20_recover1,phase2_only_baseline_nav_dd3_cut20_recover1,high_scale_only_baseline_nav_dd3_cut20_recover1,phase2_high_scale_baseline_nav_dd3_cut20_recover1,self_nav_dd5_cut30_recover2,phase2_only_self_nav_dd5_cut30_recover2,high_scale_only_self_nav_dd5_cut30_recover2,phase2_high_scale_self_nav_dd5_cut30_recover2,baseline_nav_dd5_cut30_recover2,phase2_only_baseline_nav_dd5_cut30_recover2,high_scale_only_baseline_nav_dd5_cut30_recover2,phase2_high_scale_baseline_nav_dd5_cut30_recover2,self_nav_dd7_cut50_recover3,phase2_only_self_nav_dd7_cut50_recover3,high_scale_only_self_nav_dd7_cut50_recover3,phase2_high_scale_self_nav_dd7_cut50_recover3,baseline_nav_dd7_cut50_recover3,phase2_only_baseline_nav_dd7_cut50_recover3,high_scale_only_baseline_nav_dd7_cut50_recover3,phase2_high_scale_baseline_nav_dd7_cut50_recover3,self_nav_dd10_cut50_recover5,phase2_only_self_nav_dd10_cut50_recover5,high_scale_only_self_nav_dd10_cut50_recover5,phase2_high_scale_self_nav_dd10_cut50_recover5,baseline_nav_dd10_cut50_recover5,phase2_only_baseline_nav_dd10_cut50_recover5,high_scale_only_baseline_nav_dd10_cut50_recover5,phase2_high_scale_baseline_nav_dd10_cut50_recover5
2009-11-24,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584,-0.0004119753436659584
2009-11-25,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326,0.008095167410470326
2009-11-27,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413,-0.014129794884668413
2009-11-30,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096,0.002766475186791096
2009-12-01,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164,0.012787528758011164
2009-12-02,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002,0.003288485029740002
2009-12-03,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674,-0.00482172072233674
2009-12-04,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507,-0.005621312868986507
2009-12-07,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595,-0.0023277092672858595
2009-12-08,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016,-0.009963423352327016
