variant,annual,vol,sharpe,max_dd,calmar,start,end,days
adk_v6.4_baseline_no_dd,28.839333067149898,21.062819139556403,1.1641174818238957,-37.86003262396756,0.7617355577473263,2010-11-22,2026-04-17,3743
adk_v6.6_baseline_no_dd,28.83525973496013,20.402141165862613,1.1949509009834482,-34.683303806600726,0.831387341175738,2010-11-22,2026-04-17,3743
adk_v6.6_pair_score_40_70_0_no_dd,29.916845052212835,20.179138866472663,1.2472006799377409,-33.51124794764457,0.8927404046233266,2010-11-22,2026-04-17,3743
combo_v6.4_baseline_no_dd,26.705825310570063,11.376417756022898,1.1772064865682417,-13.805196510827377,1.9344762886659932,2019-05-10,2026-04-17,2535
combo_v6.6_baseline_no_dd,28.58620626148458,12.333390282069558,1.174170681771418,-14.363329167582393,1.9902214819390758,2019-05-10,2026-04-17,2535
combo_v6.6_pair_score_40_70_0_no_dd,29.272858889234655,12.396999123982635,1.197235544420733,-13.66751886316334,2.141782951412695,2019-05-10,2026-04-17,2535
