variant,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,risk_gate_days,overlay_days,combined_derisk_days,avg_combined_scale,dd_enter,dd_exit,dd_scale_defense,annual_delta,max_dd_delta,vs_score_only_annual_delta,vs_score_only_max_dd_delta
dd8_exit6_x0p80,28.163343976912024,19.059401809694954,1.2373853947009843,-19.896108582170452,1.4155202189713676,1447.4138211822744,64.66165413533834,660,445,842,78,885,0.9108047690014903,0.08,0.06,0.8,-2.0337267135750707,2.5128256669439253,-2.4660074890642036,0.8765071249303311
dd15_exit8_x0p80,29.737281765818203,19.691538864995284,1.2656313815244322,-20.005140537657258,1.486482022450248,1670.6139877414325,64.66165413533834,629,445,346,78,417,0.9456780923994038,0.15,0.08,0.8,-0.4597889246688922,2.4037937114571193,-0.8920697001580251,0.7674751694435251
dd15_exit6_x0p80,29.66434272459333,19.665140592515304,1.2642208038569205,-20.005140537657258,1.4828360075128586,1659.6561663993707,64.66165413533834,628,445,353,78,424,0.945156482861401,0.15,0.06,0.8,-0.5327279658937663,2.4037937114571193,-0.9650087413828992,0.7674751694435251
dd20_exit12_x0p50,29.117436702616818,19.826858657053815,1.2342992180048065,-20.00621368735136,1.4554196589945403,1579.4375468509888,64.66165413533834,627,445,68,78,143,0.9588301043219076,0.2,0.12,0.5,-1.0796339878702774,2.4027205617630187,-1.5119147633594103,0.7664020197494246
dd20_exit10_x0p50,28.99107097050162,19.799294081014573,1.2308197106008227,-20.00621368735136,1.4491033347719768,1561.3821871255834,64.66165413533834,627,445,70,78,145,0.9584575260804769,0.2,0.1,0.5,-1.2059997199854742,2.4027205617630187,-1.638280495474607,0.7664020197494246
dd20_exit12_x0p40,28.810765471956067,19.787560713082684,1.2243937086421877,-20.00621368735136,1.4400908598797613,1535.9253665018168,64.66165413533834,627,445,68,78,143,0.956408345752608,0.2,0.12,0.4,-1.386305218531028,2.4027205617630187,-1.818585994020161,0.7664020197494246
dd20_exit10_x0p40,28.658975266469543,19.756547619417297,1.2200647421204962,-20.00621368735136,1.4325037068152866,1514.7701214928834,64.66165413533834,627,445,70,78,145,0.9559612518628913,0.2,0.1,0.4,-1.538095424017552,2.4027205617630187,-1.9703761995066849,0.7664020197494246
dd20_exit12_x0p30,28.50263685772143,19.75719865516065,1.2138996746956168,-20.00621368735136,1.4246892142185712,1493.241347806621,64.66165413533834,627,445,68,78,143,0.9539865871833085,0.2,0.12,0.3,-1.6944338327656645,2.4027205617630187,-2.1267146082547974,0.7664020197494246
dd20_exit8_x0p50,28.359683423136328,19.68289603434957,1.2121561423624492,-20.00621368735136,1.4175437624694738,1473.784580210556,64.66165413533834,628,445,73,78,148,0.9578986587183308,0.2,0.08,0.5,-1.837387267350767,2.4027205617630187,-2.2696680428399,0.7664020197494246
dd20_exit10_x0p30,28.325374416620576,19.72345108563775,1.2086716620681892,-20.00621368735136,1.4158288449417535,1469.1472022344121,64.66165413533834,627,445,70,78,145,0.9534649776453055,0.2,0.1,0.3,-1.8716962738665188,2.4027205617630187,-2.3039770493556517,0.7664020197494246
dd20_exit4_x0p50,28.176596233138042,19.627969746791248,1.2077596107896633,-20.00621368735136,1.408392246202603,1449.1810312827201,64.66165413533834,627,445,80,78,155,0.9565946348733234,0.2,0.04,0.5,-2.020474457349053,2.4027205617630187,-2.452755232838186,0.7664020197494246
