variant,window,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate
dd20_exit6_x0p50,5Y,30.027980637989614,20.142248440237438,1.2583829169360587,-19.870387593193975,1.5111924967319121,292.2132128021354,66.66666666666666
dd20_exit8_x0p40,1Y,42.243884806587964,21.52992185778608,1.6017901195985496,-15.707665516652861,2.689380211324343,44.14335406361025,61.53846153846154
dd20_exit8_x0p40,3Y,24.369495308860234,19.96669688880184,1.0419596012179153,-19.691733584200517,1.237549513081615,97.28659025069616,63.1578947368421
dd20_exit8_x0p40,5Y,29.47950627746203,20.052686156290864,1.2420412284908726,-19.691733584200477,1.4970498230341032,283.6786231847356,66.66666666666666
dd20_exit4_x0p40,1Y,42.243884806587964,21.52992185778608,1.6017901195985496,-15.707665516652861,2.689380211324343,44.14335406361025,61.53846153846154
dd20_exit4_x0p40,3Y,24.369495308860234,19.96669688880184,1.0419596012179153,-19.691733584200517,1.237549513081615,97.28659025069616,63.1578947368421
dd20_exit4_x0p40,5Y,29.47950627746203,20.052686156290864,1.2420412284908726,-19.691733584200477,1.4970498230341032,283.6786231847356,66.66666666666666
dd20_exit6_x0p40,1Y,42.243884806587964,21.52992185778608,1.6017901195985496,-15.707665516652861,2.689380211324343,44.14335406361025,61.53846153846154
dd20_exit6_x0p40,3Y,24.369495308860234,19.96669688880184,1.0419596012179153,-19.691733584200517,1.237549513081615,97.28659025069616,63.1578947368421
dd20_exit6_x0p40,5Y,29.47950627746203,20.052686156290864,1.2420412284908726,-19.691733584200477,1.4970498230341032,283.6786231847356,66.66666666666666
