variant,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,risk_gate_days,overlay_days,combined_derisk_days,avg_combined_scale,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual_delta,max_dd_delta,vs_dd_only_annual_delta,vs_dd_only_max_dd_delta
baseline_no_dd_gate,30.197070690487095,20.326233705441744,1.2495829083513725,-22.408934249114377,1.3475460436803466,1741.129933881622,64.66165413533834,598,445,0,0,0,1.0,,,,0.0,0.0,0.7415474911442139,-0.7157656215808572
dd_gate_only,29.45552319934288,20.03119766695563,1.2366871743594594,-21.69316862753352,1.3578248390120926,1628.6248078582653,64.66165413533834,606,445,257,0,257,0.980849478390462,,,,-0.7415474911442139,0.7157656215808572,0.0,0.0
score_decay30_rec50_x0p00,28.469146287491508,19.949544846224683,1.2027262827785918,-21.25425059956111,1.3394566020633718,1488.663574271353,64.66165413533834,623,445,257,36,291,0.9675856929955291,0.3,0.5,0.0,-1.727924402995587,1.1546836495532666,-0.986376911851373,0.4389180279724094
score_decay30_rec50_x0p10,28.569669620021585,19.949378578979697,1.206641296517857,-21.297859654471228,1.3414338381192088,1502.4400042690052,64.66165413533834,624,445,257,36,291,0.9689120715350223,0.3,0.5,0.1,-1.6274010704655097,1.1110745946431493,-0.8858535793212958,0.39530897306229207
score_decay30_rec50_x0p20,28.669777385839,19.951064913206473,1.2104433674802553,-21.34153148318027,1.3433795699448414,1516.2673666680923,64.66165413533834,624,445,257,36,291,0.9702384500745156,0.3,0.5,0.2,-1.5272933046480937,1.0674027659341085,-0.7857458135038797,0.35163714435325133
score_decay30_rec50_x0p30,28.7694682925695,19.954604319742224,1.2141314366897538,-21.385266107837225,1.3452939115883213,1530.1448954631971,64.66165413533834,624,445,257,36,291,0.9715648286140088,0.3,0.5,0.3,-1.427602397917596,1.0236681412771524,-0.6860549067733821,0.30790251969629523
score_decay30_rec50_x0p50,28.9675943396674,19.967241653847402,1.2211618111033986,-21.472923833593498,1.3490288776765835,1558.0473144833097,63.90977443609023,624,445,257,36,291,0.9742175856929955,0.3,0.5,0.5,-1.229476350819695,0.9360104155208795,-0.48792885967548116,0.22024479394002228
score_decay30_rec60_x0p00,28.669183197400905,19.94243110341899,1.210857456967278,-21.25425059956121,1.3488682211168044,1516.1849754196264,64.66165413533834,623,445,257,37,292,0.9672131147540983,0.3,0.6,0.0,-1.5278874930861903,1.1546836495531672,-0.7863400019419764,0.43891802797230994
score_decay30_rec60_x0p10,28.749983806388514,19.942384135622518,1.2139964517113986,-21.297859654471157,1.349900143620906,1527.4240571540734,64.66165413533834,624,445,257,37,292,0.9685767511177347,0.3,0.6,0.1,-1.4470868840985815,1.1110745946432203,-0.7055393929543676,0.3953089730623631
score_decay30_rec60_x0p20,28.830306359005476,19.94432198480527,1.2170137352042432,-21.341531483180123,1.3509014749821244,1538.667045634152,64.66165413533834,624,445,257,37,292,0.9699403874813711,0.3,0.6,0.2,-1.366764331481619,1.0674027659342542,-0.625216840337405,0.351637144353397
score_decay30_rec60_x0p30,28.91014958151581,19.948245013233777,1.219908420118397,-21.385266107837214,1.3518723328357787,1549.9129008654165,64.66165413533834,624,445,257,37,292,0.9713040238450072,0.3,0.6,0.3,-1.2869211089712849,1.023668141277163,-0.5453736178270709,0.3079025196963059
score_decay30_rec60_x0p50,29.06839292458767,19.962045096208676,1.2253269948378356,-21.472923833593498,1.3537230956462192,1572.4090037684841,63.90977443609023,624,445,257,37,292,0.9740312965722803,0.3,0.6,0.5,-1.1286777658994254,0.9360104155208795,-0.38713027475521145,0.22024479394002228
score_decay30_rec70_x0p00,29.013447937900814,19.92868554666617,1.2249133811328043,-21.254250599561132,1.3650656748396435,1564.5665285908642,64.66165413533834,621,445,257,42,297,0.9653502235469449,0.3,0.7,0.0,-1.183622752586281,1.1546836495532453,-0.4420752614420671,0.4389180279723881
score_decay30_rec70_x0p10,29.06022959548371,19.929039660378052,1.2267078073258788,-21.297859654471363,1.3644671374000101,1571.2417041978522,64.66165413533834,623,445,257,42,297,0.9669001490312965,0.3,0.7,0.1,-1.1368410950033834,1.1110745946430143,-0.39529360385916945,0.39530897306215707
score_decay30_rec70_x0p20,29.10644230299324,19.931596268964906,1.2283658173059124,-21.34153148318018,1.363840375088957,1577.8595898483659,64.66165413533834,623,445,257,42,297,0.9684500745156484,0.3,0.7,0.2,-1.0906283874938545,1.0674027659341974,-0.34908089634964057,0.35163714435334015
score_decay30_rec70_x0p30,29.152084909915963,19.93635546616263,1.2298869082592656,-21.38526610783723,1.3631855111324693,1584.4192183963592,64.66165413533834,623,445,257,42,297,0.9699999999999999,0.3,0.7,0.3,-1.0449857805711318,1.023668141277149,-0.30343828942691786,0.3079025196962917
score_decay30_rec70_x0p50,29.24165520808708,19.952478355735455,1.2325170027271224,-21.47292383359346,1.361791968094246,1597.359849586216,63.90977443609023,623,445,257,42,297,0.9730998509687036,0.3,0.7,0.5,-0.9554154824000136,0.9360104155209186,-0.2138679912557997,0.22024479394006136
score_decay30_rec80_x0p00,29.013447937900814,19.92868554666617,1.2249133811328043,-21.254250599561132,1.3650656748396435,1564.5665285908642,64.66165413533834,621,445,257,42,297,0.9653502235469449,0.3,0.8,0.0,-1.183622752586281,1.1546836495532453,-0.4420752614420671,0.4389180279723881
