window,variant,start_date,end_date,annual,max_dd,sharpe,calmar,total_return
1Y,ADK no DD,2025-04-17,2026-04-17,25.317852848892407,-16.934199485207056,1.0719930147478642,1.4950723162915924,25.298496282790637
1Y,ADK with DD,2025-04-17,2026-04-17,24.931910940082645,-16.06992319806523,1.0866413947839693,1.5514642249867363,24.91287770166595
1Y,ADK overlay no DD,2025-04-17,2026-04-17,30.304275532765757,-15.707665516652918,1.2831996417157727,1.9292666692347018,30.280669309391193
3Y,ADK no DD,2023-04-17,2026-04-17,27.007894545802703,-22.408934249114303,1.071306948469603,1.2052288719116648,104.9100305904528
3Y,ADK with DD,2023-04-17,2026-04-17,23.79334895745384,-18.872842331636587,1.03706621325737,1.260718896462617,89.7384654430819
3Y,ADK overlay no DD,2023-04-17,2026-04-17,29.91368057467203,-20.772615707100755,1.1814433897513388,1.440053626200121,119.30192974347497
