variant,window,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate
baseline_no_dd_gate,1Y,36.997880210626,21.82818988662608,1.4110840495408352,-16.934199485207017,2.1848024314905317,38.63104640978614,53.84615384615385
baseline_no_dd_gate,3Y,26.49203150182531,21.491935564992136,1.0605936114471293,-22.40893424911434,1.182208453437376,107.96755089590758,60.526315789473685
baseline_no_dd_gate,5Y,30.668177812100627,21.029051110017786,1.2369520966438534,-22.408934249114342,1.3685692265045006,302.3683719606466,65.07936507936508
dd_gate_only,1Y,36.59152931078946,21.231135168470754,1.43078556723756,-16.069923198065254,2.2770195513563447,38.20439557994908,46.15384615384615
dd_gate_only,3Y,23.40724636197573,19.38218714687832,1.0274123550309509,-18.87284233163666,1.2402607911760073,92.56960654996873,57.89473684210527
dd_gate_only,5Y,28.751114355050955,19.762645453669833,1.228757673587391,-18.872842331636612,1.5234119932669263,272.57696569882484,63.49206349206349
pair_score_decay_only,1Y,42.243884806587964,21.52992185778608,1.6017901195985496,-15.707665516652861,2.689380211324343,44.14335406361025,61.53846153846154
pair_score_decay_only,3Y,29.630431911314492,21.339420532522084,1.1813065277435357,-20.772615707100755,1.4264179499159486,124.46994079587164,63.1578947368421
pair_score_decay_only,5Y,32.730974566968385,20.88164129563715,1.319273983559899,-20.7726157071007,1.5756790106977216,336.54420567297143,66.66666666666666
dd_gate_plus_pair_score_decay,1Y,41.58523210528886,20.929695671524946,1.6195421994069275,-14.97814710642448,2.7763936226432158,43.45084004184907,53.84615384615385
dd_gate_plus_pair_score_decay,3Y,26.30263374684667,19.223965379941145,1.154705358712785,-17.358078780762934,1.5152963688583165,106.99889120180926,60.526315789473685
dd_gate_plus_pair_score_decay,5Y,30.68056215895001,19.61193890852723,1.3125870754231228,-17.358078780762916,1.7675090974325876,302.5668925402128,65.07936507936508
