mode,ma_window,slope_window,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days,target_vol,vol_window,scale_threshold,start,end,rows,cagr,max_dd,sharpe,calmar,avg_weight,avg_turnover
formal,60,20,20,0.2,1.03,0.5,,0.325,100,0.0,2016-05-04,2026-05-06,2429,0.34141514788818683,-0.17409490657398063,1.6198877838355505,1.9610863672401835,0.7282628228619714,0.2379496637708447
formal,60,20,20,0.2,1.03,0.5,,0.325,100,0.05,2016-05-04,2026-05-06,2429,0.3411013410435031,-0.1740949065739804,1.6224017962865995,1.9592838627852358,0.7276819717201205,0.23773402927068776
formal,60,20,20,0.2,1.03,0.5,,0.325,100,0.1,2016-05-04,2026-05-06,2429,0.34107730334307607,-0.17409490657398063,1.6168874987557262,1.959145790391847,0.7300562748033821,0.238239519458108
formal,60,20,20,0.2,1.03,0.5,,0.325,80,0.0,2016-05-04,2026-05-06,2429,0.3406544312412332,-0.1740949065739803,1.6200749973430526,1.95671681581606,0.7256770188050865,0.2379641901139321
formal,60,20,20,0.2,1.03,0.5,,0.325,60,0.05,2016-05-04,2026-05-06,2429,0.33997376310623695,-0.17391413143954282,1.6271644511837724,1.9548369088363637,0.7221540437477644,0.23719312908104248
formal,60,20,20,0.2,1.03,0.5,,0.325,60,0.0,2016-05-04,2026-05-06,2429,0.3395767955115545,-0.1740949065739814,1.6265213174123767,1.9505268832621003,0.7220279373740314,0.23726464610012607
formal,60,20,20,0.2,1.03,0.5,,0.325,60,0.1,2016-05-04,2026-05-06,2429,0.33955473533023817,-0.17391413143954537,1.6243670075955718,1.9524275141969785,0.7228992529137114,0.23749142484940802
formal,60,20,20,0.2,1.03,0.5,,0.3,80,0.0,2016-05-04,2026-05-06,2429,0.3393449780219986,-0.17409490657398008,1.6317554960923464,1.9491953251245577,0.7194998169408364,0.2368310345188582
formal,60,20,20,0.2,1.03,0.5,,0.325,80,0.05,2016-05-04,2026-05-06,2429,0.3382098169981944,-0.17212257813144716,1.6168132963853923,1.9649358072007799,0.722279477295221,0.23669769857668405
formal,60,20,20,0.2,1.03,0.5,,0.3,80,0.05,2016-05-04,2026-05-06,2429,0.338086439963281,-0.17124447502658713,1.6340118969202835,1.974291082446837,0.7158945254461988,0.23528611368067284
formal,60,20,20,0.2,1.03,0.5,,0.3,80,0.1,2016-05-04,2026-05-06,2429,0.3378451833724432,-0.17124447502658702,1.631746250220382,1.97288223938314,0.7166586371497955,0.23550152493474635
