strategy,year,trading_days,active_days,active_pct,trades_started,avg_trade_days_started_in_year,median_trade_days_started_in_year,max_trade_days_started_in_year
Sub-A,2010,63,41,0.6507936507936508,3,13.666666666666666,13.0,15
Sub-A,2011,244,134,0.5491803278688525,16,8.375,9.0,17
Sub-A,2012,243,144,0.5925925925925926,20,8.0,7.0,19
Sub-A,2013,238,159,0.6680672268907563,23,7.173913043478261,4.0,25
Sub-A,2014,245,157,0.6408163265306123,21,6.428571428571429,6.0,16
Sub-A,2015,244,173,0.7090163934426229,26,7.038461538461538,5.0,21
Sub-A,2016,244,149,0.610655737704918,20,6.95,7.5,13
Sub-A,2017,244,173,0.7090163934426229,19,9.105263157894736,8.0,22
Sub-A,2018,244,135,0.5532786885245902,26,5.1923076923076925,4.0,12
Sub-A,2019,244,184,0.7540983606557377,22,8.909090909090908,5.0,24
Sub-A,2020,243,169,0.6954732510288066,24,7.041666666666667,5.0,27
Sub-A,2021,243,180,0.7407407407407407,18,10.055555555555555,5.5,30
Sub-A,2022,242,155,0.640495867768595,15,9.733333333333333,9.0,25
Sub-A,2023,242,152,0.628099173553719,25,5.92,4.0,18
Sub-A,2024,242,126,0.5206611570247934,18,7.444444444444445,3.0,40
Sub-A,2025,243,151,0.6213991769547325,15,10.8,9.0,26
Sub-A,2026,78,48,0.6153846153846154,3,9.666666666666666,12.0,13
Sub-A-DK,2010,30,29,0.9666666666666667,8,6.75,3.0,30
Sub-A-DK,2011,244,240,0.9836065573770492,37,5.918918918918919,4.0,37
Sub-A-DK,2012,243,230,0.9465020576131687,44,5.590909090909091,3.5,29
Sub-A-DK,2013,238,225,0.9453781512605042,48,4.375,3.0,15
Sub-A-DK,2014,245,220,0.8979591836734694,30,7.166666666666667,5.5,33
Sub-A-DK,2015,244,207,0.8483606557377049,39,5.564102564102564,4.0,16
Sub-A-DK,2016,244,240,0.9836065573770492,45,5.111111111111111,4.0,20
Sub-A-DK,2017,244,237,0.9713114754098361,40,6.15,3.0,29
Sub-A-DK,2018,244,236,0.9672131147540983,41,5.560975609756097,4.0,25
Sub-A-DK,2019,244,243,0.9959016393442623,34,7.117647058823529,4.0,39
Sub-A-DK,2020,243,230,0.9465020576131687,42,5.5476190476190474,5.0,20
Sub-A-DK,2021,243,238,0.9794238683127572,43,5.744186046511628,3.0,23
Sub-A-DK,2022,242,237,0.9793388429752066,37,6.216216216216216,4.0,17
Sub-A-DK,2023,242,234,0.9669421487603306,37,6.864864864864865,5.0,30
Sub-A-DK,2024,242,231,0.9545454545454546,40,5.475,3.5,23
Sub-A-DK,2025,243,236,0.9711934156378601,38,5.921052631578948,5.0,37
Sub-A-DK,2026,78,76,0.9743589743589743,17,4.352941176470588,3.0,12
Sub-B,2008,12,12,1.0,3,4.0,4.0,4
Sub-B,2009,252,252,1.0,52,4.846153846153846,5.0,5
Sub-B,2010,252,242,0.9603174603174603,52,4.730769230769231,5.0,5
Sub-B,2011,252,234,0.9285714285714286,49,4.755102040816326,5.0,5
Sub-B,2012,250,250,1.0,52,4.788461538461538,5.0,5
Sub-B,2013,252,252,1.0,52,4.826923076923077,5.0,5
Sub-B,2014,252,248,0.9841269841269841,52,4.75,5.0,5
Sub-B,2015,252,238,0.9444444444444444,50,4.76,5.0,5
Sub-B,2016,252,252,1.0,53,4.811320754716981,5.0,5
Sub-B,2017,251,251,1.0,52,4.826923076923077,5.0,5
Sub-B,2018,251,220,0.8764940239043825,47,4.617021276595745,5.0,5
Sub-B,2019,252,245,0.9722222222222222,51,4.823529411764706,5.0,5
Sub-B,2020,253,219,0.8656126482213439,45,4.844444444444444,5.0,5
Sub-B,2021,252,252,1.0,53,4.830188679245283,5.0,5
Sub-B,2022,251,221,0.8804780876494024,38,5.7894736842105265,5.0,28
Sub-B,2023,250,250,1.0,52,4.8076923076923075,5.0,5
Sub-B,2024,252,245,0.9722222222222222,51,4.764705882352941,5.0,5
Sub-B,2025,250,235,0.94,49,4.775510204081633,5.0,5
Sub-B,2026,86,86,1.0,18,4.777777777777778,5.0,5
