strategy,start,end,rows,duplicate_dates,active_days,active_pct,trades,avg_trade_days,median_trade_days,max_trade_days
Sub-A,2010-09-29,2026-05-06,3786,0,2430,0.6418383518225039,314,7.738853503184713,6.0,40
Sub-A-DK,2010-11-22,2026-05-06,3753,0,3589,0.9563016253663735,620,5.788709677419355,4.0,39
Sub-B,2008-12-15,2026-05-06,4374,0,4204,0.9611339734796525,871,4.8266360505166475,5.0,28
