strategy,start,end,days,key
Sub-A,2014-04-01,2014-04-10,7,1.H00016
Sub-A,2014-04-16,2014-04-21,4,1.H00016
Sub-A,2014-04-28,2014-05-21,16,1.H11077
Sub-A,2014-05-23,2014-05-23,1,0.399606
Sub-A,2014-06-03,2014-06-20,14,0.399606
Sub-A,2014-07-02,2014-07-14,9,1.H00852
Sub-A,2014-07-15,2014-07-22,6,1.H00905
Sub-A,2014-07-23,2014-07-28,4,1.H20955
Sub-A,2014-07-29,2014-07-29,1,1.H00016
Sub-A,2014-08-12,2014-08-13,2,1.H00016
Sub-A,2014-08-14,2014-08-28,11,0.399606
Sub-A,2014-09-24,2014-09-25,2,1.H00852
Sub-A,2014-09-26,2014-10-14,8,1.H11077
Sub-A,2014-10-15,2014-10-15,1,1.H00852
Sub-A,2014-10-16,2014-11-05,15,1.H11077
Sub-A,2014-11-06,2014-11-13,6,1.H20955
Sub-A,2014-11-14,2014-11-17,2,1.H00016
Sub-A,2015-01-13,2015-01-15,3,1.H11077
Sub-A,2015-01-19,2015-02-04,13,0.399606
Sub-A,2015-02-05,2015-02-10,4,1.H00852
Sub-A,2015-02-17,2015-03-05,8,0.399606
Sub-A,2015-03-06,2015-04-03,21,1.H00852
Sub-A,2015-04-07,2015-04-15,7,1.H20955
Sub-A,2015-04-16,2015-04-27,8,1.H00016
Sub-A,2015-05-06,2015-05-07,2,1.H11077
Sub-A,2015-05-08,2015-05-11,2,0.399606
Sub-A,2015-05-15,2015-05-20,4,0.399606
Sub-A,2015-05-25,2015-05-25,1,1.H00852
Sub-A,2015-05-29,2015-06-01,2,1.H00852
Sub-A,2015-06-08,2015-06-16,7,1.H20955
Sub-A,2015-06-25,2015-07-20,18,1.H11077
Sub-A,2015-07-24,2015-07-27,2,0.399606
Sub-A,2015-07-28,2015-08-04,6,1.H00905
Sub-A,2015-08-19,2015-08-19,1,1.H00905
Sub-A,2015-08-21,2015-08-21,1,1.H00852
Sub-A,2015-08-28,2015-09-11,9,1.H11077
Sub-A,2015-09-14,2015-09-14,1,1.H00016
Sub-A,2015-09-21,2015-09-22,2,1.H00016
Sub-A,2015-09-29,2015-11-03,21,0.399606
