strategy,start,end,days,key
Sub-A-DK,2014-02-11,2014-02-18,6,SZ50/ZZ500_-1
Sub-A-DK,2014-02-19,2014-03-04,10,ZZ500/CYB_1
Sub-A-DK,2014-03-05,2014-04-21,33,SZ50/CYB_1
Sub-A-DK,2014-04-22,2014-04-28,5,SZ50/ZZ1000_1
Sub-A-DK,2014-04-29,2014-04-29,1,SZ50/ZZ500_1
Sub-A-DK,2014-04-30,2014-04-30,1,SZ50/ZZ1000_1
Sub-A-DK,2014-05-05,2014-05-14,8,SZ50/ZZ500_1
Sub-A-DK,2014-05-15,2014-05-19,3,SZ50/ZZ1000_1
Sub-A-DK,2014-05-20,2014-05-20,1,HS300/ZZ1000_1
Sub-A-DK,2014-05-21,2014-05-21,1,HS300/ZZ500_1
Sub-A-DK,2014-05-22,2014-06-23,22,SZ50/CYB_-1
Sub-A-DK,2014-06-24,2014-06-24,1,HS300/CYB_-1
Sub-A-DK,2014-06-25,2014-07-02,6,SZ50/CYB_-1
Sub-A-DK,2014-07-03,2014-07-15,9,SZ50/ZZ1000_-1
Sub-A-DK,2014-07-16,2014-07-16,1,SZ50/ZZ500_-1
Sub-A-DK,2014-07-17,2014-07-25,7,ZZ500/CYB_1
Sub-A-DK,2014-07-28,2014-08-11,11,SZ50/CYB_1
Sub-A-DK,2014-08-12,2014-08-14,3,SZ50/ZZ1000_1
Sub-A-DK,2014-08-15,2014-08-15,1,ZZ1000/CYB_-1
Sub-A-DK,2014-08-18,2014-09-12,19,SZ50/CYB_-1
Sub-A-DK,2014-09-25,2014-10-22,15,SZ50/ZZ1000_-1
Sub-A-DK,2014-10-23,2014-10-23,1,SZ50/CYB_-1
Sub-A-DK,2014-10-24,2014-10-24,1,ZZ500/CYB_-1
Sub-A-DK,2014-10-27,2014-10-27,1,SZ50/ZZ500_1
Sub-A-DK,2014-10-28,2014-11-03,5,SZ50/ZZ1000_1
Sub-A-DK,2014-11-04,2014-11-21,14,SZ50/CYB_1
Sub-A-DK,2014-11-24,2014-12-05,10,SZ50/ZZ1000_1
Sub-A-DK,2014-12-16,2014-12-16,1,SZ50/ZZ1000_1
Sub-A-DK,2015-01-15,2015-01-16,2,ZZ1000/CYB_-1
Sub-A-DK,2015-01-19,2015-02-03,12,SZ50/CYB_-1
Sub-A-DK,2015-02-04,2015-02-16,9,SZ50/ZZ1000_-1
Sub-A-DK,2015-02-17,2015-03-06,9,SZ50/CYB_-1
Sub-A-DK,2015-03-09,2015-03-24,12,SZ50/ZZ1000_-1
Sub-A-DK,2015-03-31,2015-04-08,6,ZZ1000/CYB_1
Sub-A-DK,2015-04-09,2015-04-13,3,ZZ500/CYB_1
Sub-A-DK,2015-04-14,2015-04-29,12,SZ50/CYB_1
Sub-A-DK,2015-04-30,2015-05-07,5,SZ50/ZZ1000_1
Sub-A-DK,2015-05-08,2015-05-08,1,ZZ1000/CYB_-1
Sub-A-DK,2015-05-11,2015-05-12,2,ZZ500/CYB_-1
Sub-A-DK,2015-05-13,2015-05-18,4,SZ50/CYB_-1
Sub-A-DK,2015-05-26,2015-06-02,6,SZ50/ZZ1000_-1
Sub-A-DK,2015-06-09,2015-06-10,2,SZ50/ZZ500_-1
Sub-A-DK,2015-06-11,2015-06-24,9,ZZ500/CYB_1
Sub-A-DK,2015-06-25,2015-06-29,3,HS300/CYB_1
Sub-A-DK,2015-06-30,2015-07-06,5,SZ50/CYB_1
Sub-A-DK,2015-07-07,2015-07-07,1,SZ50/ZZ1000_1
Sub-A-DK,2015-07-09,2015-07-10,2,SZ50/ZZ1000_1
Sub-A-DK,2015-07-14,2015-07-22,7,SZ50/ZZ1000_1
Sub-A-DK,2015-07-27,2015-07-27,1,ZZ1000/CYB_-1
Sub-A-DK,2015-07-28,2015-07-30,3,SZ50/ZZ500_-1
Sub-A-DK,2015-07-31,2015-08-03,2,SZ50/ZZ1000_-1
Sub-A-DK,2015-08-04,2015-08-07,4,SZ50/ZZ500_-1
Sub-A-DK,2015-08-10,2015-08-20,9,ZZ500/CYB_1
Sub-A-DK,2015-08-21,2015-08-21,1,ZZ1000/CYB_1
Sub-A-DK,2015-08-24,2015-08-28,5,SZ50/ZZ1000_-1
Sub-A-DK,2015-08-31,2015-09-01,2,ZZ1000/CYB_1
Sub-A-DK,2015-09-02,2015-09-02,1,SZ50/CYB_1
Sub-A-DK,2015-09-08,2015-09-08,1,SZ50/CYB_1
Sub-A-DK,2015-09-09,2015-09-23,11,SZ50/ZZ500_1
Sub-A-DK,2015-09-24,2015-09-25,2,ZZ500/CYB_-1
Sub-A-DK,2015-09-28,2015-10-09,5,HS300/CYB_-1
Sub-A-DK,2015-10-12,2015-11-02,16,SZ50/CYB_-1
Sub-A-DK,2015-11-18,2015-12-03,12,SZ50/ZZ1000_-1
Sub-A-DK,2015-12-04,2015-12-04,1,ZZ1000/CYB_1
Sub-A-DK,2015-12-07,2015-12-10,4,ZZ500/CYB_1
Sub-A-DK,2015-12-11,2015-12-30,14,HS300/CYB_1
Sub-A-DK,2015-12-31,2016-01-15,11,SZ50/CYB_1
Sub-A-DK,2016-01-18,2016-02-01,11,SZ50/ZZ1000_1
Sub-A-DK,2016-02-03,2016-02-04,2,ZZ1000/CYB_-1
Sub-A-DK,2016-02-05,2016-02-05,1,ZZ500/CYB_-1
Sub-A-DK,2016-02-15,2016-02-15,1,HS300/CYB_-1
Sub-A-DK,2016-02-16,2016-02-25,8,SZ50/CYB_-1
Sub-A-DK,2016-02-26,2016-03-01,3,SZ50/ZZ1000_-1
Sub-A-DK,2016-03-02,2016-03-02,1,SZ50/ZZ500_-1
Sub-A-DK,2016-03-03,2016-03-04,2,ZZ500/CYB_1
Sub-A-DK,2016-03-07,2016-03-17,9,SZ50/CYB_1
Sub-A-DK,2016-03-18,2016-03-22,3,SZ50/ZZ1000_1
Sub-A-DK,2016-03-23,2016-03-23,1,ZZ500/CYB_-1
Sub-A-DK,2016-03-24,2016-04-06,9,SZ50/CYB_-1
Sub-A-DK,2016-04-07,2016-04-20,10,SZ50/ZZ1000_-1
Sub-A-DK,2016-04-22,2016-04-25,2,ZZ1000/CYB_1
Sub-A-DK,2016-04-26,2016-05-11,11,SZ50/CYB_1
Sub-A-DK,2016-05-12,2016-05-13,2,SZ50/ZZ1000_1
Sub-A-DK,2016-05-16,2016-05-26,9,HS300/ZZ1000_1
Sub-A-DK,2016-05-27,2016-06-01,4,ZZ1000/CYB_-1
Sub-A-DK,2016-06-02,2016-06-06,3,HS300/CYB_-1
Sub-A-DK,2016-06-07,2016-06-13,3,SZ50/CYB_-1
Sub-A-DK,2016-06-14,2016-06-14,1,SZ50/ZZ1000_-1
Sub-A-DK,2016-06-15,2016-06-17,3,HS300/ZZ1000_-1
Sub-A-DK,2016-06-20,2016-06-27,6,ZZ1000/CYB_1
Sub-A-DK,2016-06-28,2016-07-07,8,SZ50/ZZ1000_-1
Sub-A-DK,2016-07-08,2016-07-12,3,SZ50/CYB_-1
Sub-A-DK,2016-07-13,2016-07-19,5,SZ50/ZZ500_-1
Sub-A-DK,2016-07-20,2016-07-29,8,ZZ500/ZZ1000_1
Sub-A-DK,2016-08-01,2016-08-02,2,HS300/ZZ1000_1
Sub-A-DK,2016-08-03,2016-08-04,2,SZ50/ZZ1000_1
Sub-A-DK,2016-08-05,2016-08-18,10,SZ50/CYB_1
Sub-A-DK,2016-08-19,2016-08-23,3,HS300/CYB_1
Sub-A-DK,2016-08-24,2016-08-29,4,HS300/ZZ500_1
Sub-A-DK,2016-08-30,2016-09-07,7,ZZ500/CYB_-1
Sub-A-DK,2016-09-08,2016-09-22,9,HS300/CYB_-1
Sub-A-DK,2016-09-27,2016-09-28,2,ZZ500/CYB_-1
Sub-A-DK,2016-09-29,2016-10-11,4,HS300/CYB_-1
Sub-A-DK,2016-10-12,2016-10-17,4,SZ50/CYB_-1
Sub-A-DK,2016-10-18,2016-10-21,4,SZ50/ZZ1000_-1
Sub-A-DK,2016-10-24,2016-10-28,5,HS300/ZZ1000_-1
Sub-A-DK,2016-10-31,2016-11-01,2,ZZ1000/CYB_1
Sub-A-DK,2016-11-02,2016-11-29,20,SZ50/CYB_1
Sub-A-DK,2016-11-30,2016-12-19,14,SZ50/ZZ1000_1
Sub-A-DK,2016-12-20,2016-12-21,2,SZ50/CYB_1
Sub-A-DK,2016-12-22,2016-12-28,5,ZZ500/CYB_1
Sub-A-DK,2016-12-29,2016-12-30,2,SZ50/ZZ500_-1
Sub-A-DK,2017-01-03,2017-01-12,8,SZ50/ZZ1000_-1
Sub-A-DK,2017-01-13,2017-01-16,2,SZ50/ZZ500_-1
Sub-A-DK,2017-01-17,2017-02-08,12,SZ50/ZZ1000_1
Sub-A-DK,2017-02-09,2017-02-09,1,HS300/ZZ1000_1
Sub-A-DK,2017-02-10,2017-02-10,1,ZZ1000/CYB_-1
Sub-A-DK,2017-02-13,2017-02-14,2,SZ50/CYB_-1
Sub-A-DK,2017-02-15,2017-03-02,12,SZ50/ZZ1000_-1
Sub-A-DK,2017-03-03,2017-03-24,16,SZ50/CYB_-1
Sub-A-DK,2017-03-30,2017-03-30,1,ZZ500/CYB_-1
Sub-A-DK,2017-03-31,2017-03-31,1,HS300/ZZ500_1
Sub-A-DK,2017-04-05,2017-04-13,7,SZ50/ZZ1000_1
Sub-A-DK,2017-04-14,2017-04-14,1,SZ50/CYB_1
Sub-A-DK,2017-04-17,2017-04-19,3,HS300/CYB_1
Sub-A-DK,2017-04-20,2017-04-24,3,HS300/ZZ1000_1
Sub-A-DK,2017-04-25,2017-05-09,10,SZ50/ZZ1000_1
Sub-A-DK,2017-05-10,2017-05-25,12,SZ50/ZZ500_1
Sub-A-DK,2017-05-26,2017-06-12,10,SZ50/ZZ1000_1
Sub-A-DK,2017-06-13,2017-06-15,3,SZ50/CYB_1
Sub-A-DK,2017-06-16,2017-06-16,1,HS300/CYB_1
Sub-A-DK,2017-06-19,2017-07-12,18,SZ50/ZZ1000_-1
Sub-A-DK,2017-07-13,2017-07-19,5,ZZ1000/CYB_1
Sub-A-DK,2017-07-20,2017-08-01,9,SZ50/CYB_1
Sub-A-DK,2017-08-02,2017-08-04,3,ZZ500/CYB_1
Sub-A-DK,2017-08-07,2017-08-09,3,SZ50/ZZ500_-1
Sub-A-DK,2017-08-10,2017-08-29,14,SZ50/CYB_-1
Sub-A-DK,2017-08-30,2017-08-30,1,HS300/CYB_-1
Sub-A-DK,2017-08-31,2017-09-08,7,ZZ500/CYB_-1
Sub-A-DK,2017-09-12,2017-09-12,1,HS300/CYB_-1
Sub-A-DK,2017-09-13,2017-09-15,3,SZ50/CYB_-1
Sub-A-DK,2017-09-18,2017-09-27,8,SZ50/ZZ1000_-1
Sub-A-DK,2017-10-10,2017-10-10,1,SZ50/HS300_-1
Sub-A-DK,2017-10-11,2017-10-19,7,HS300/ZZ500_1
Sub-A-DK,2017-10-20,2017-10-25,4,SZ50/ZZ1000_1
Sub-A-DK,2017-10-26,2017-10-27,2,HS300/ZZ1000_1
Sub-A-DK,2017-10-30,2017-12-07,29,SZ50/ZZ1000_1
Sub-A-DK,2017-12-08,2017-12-11,2,SZ50/ZZ500_1
Sub-A-DK,2017-12-12,2017-12-12,1,SZ50/HS300_1
Sub-A-DK,2017-12-13,2017-12-14,2,HS300/ZZ1000_-1
Sub-A-DK,2017-12-15,2017-12-28,10,SZ50/ZZ1000_-1
Sub-A-DK,2017-12-29,2018-01-12,10,SZ50/ZZ500_-1
Sub-A-DK,2018-01-15,2018-01-17,3,ZZ500/CYB_1
Sub-A-DK,2018-01-18,2018-01-25,6,SZ50/CYB_1
Sub-A-DK,2018-01-26,2018-02-01,5,SZ50/ZZ500_1
Sub-A-DK,2018-02-02,2018-02-09,6,SZ50/ZZ1000_1
Sub-A-DK,2018-02-12,2018-02-14,3,ZZ1000/CYB_-1
Sub-A-DK,2018-02-22,2018-03-23,22,SZ50/CYB_-1
Sub-A-DK,2018-03-26,2018-03-28,3,SZ50/ZZ1000_-1
Sub-A-DK,2018-03-29,2018-04-11,8,SZ50/CYB_-1
Sub-A-DK,2018-04-12,2018-04-23,8,SZ50/ZZ1000_-1
Sub-A-DK,2018-04-24,2018-04-25,2,ZZ1000/CYB_1
Sub-A-DK,2018-04-26,2018-05-08,7,SZ50/CYB_1
Sub-A-DK,2018-05-10,2018-05-17,6,SZ50/ZZ1000_1
Sub-A-DK,2018-05-18,2018-06-21,25,SZ50/CYB_1
Sub-A-DK,2018-06-22,2018-06-29,6,SZ50/ZZ1000_1
Sub-A-DK,2018-07-04,2018-07-04,1,ZZ1000/CYB_-1
Sub-A-DK,2018-07-05,2018-07-23,13,SZ50/CYB_-1
Sub-A-DK,2018-07-24,2018-07-25,2,HS300/CYB_-1
Sub-A-DK,2018-07-26,2018-07-26,1,HS300/ZZ1000_-1
Sub-A-DK,2018-07-27,2018-07-31,3,SZ50/CYB_1
Sub-A-DK,2018-08-01,2018-08-03,3,ZZ1000/CYB_1
Sub-A-DK,2018-08-06,2018-08-16,9,SZ50/CYB_1
Sub-A-DK,2018-08-20,2018-08-20,1,ZZ500/CYB_1
Sub-A-DK,2018-08-21,2018-08-24,4,SZ50/HS300_1
Sub-A-DK,2018-08-27,2018-08-27,1,HS300/ZZ500_-1
Sub-A-DK,2018-08-28,2018-08-28,1,SZ50/HS300_1
Sub-A-DK,2018-08-29,2018-08-29,1,SZ50/ZZ1000_1
Sub-A-DK,2018-08-30,2018-08-30,1,ZZ1000/CYB_-1
Sub-A-DK,2018-08-31,2018-09-06,5,HS300/ZZ1000_1
Sub-A-DK,2018-09-07,2018-09-21,11,HS300/CYB_1
Sub-A-DK,2018-09-25,2018-10-12,9,SZ50/CYB_1
Sub-A-DK,2018-10-15,2018-10-30,12,SZ50/ZZ1000_1
Sub-A-DK,2018-10-31,2018-10-31,1,ZZ1000/CYB_-1
Sub-A-DK,2018-11-01,2018-11-02,2,ZZ500/CYB_-1
Sub-A-DK,2018-11-05,2018-11-12,6,SZ50/CYB_-1
Sub-A-DK,2018-11-13,2018-12-03,15,SZ50/ZZ1000_-1
Sub-A-DK,2018-12-07,2018-12-10,2,ZZ500/ZZ1000_-1
Sub-A-DK,2018-12-11,2018-12-12,2,SZ50/ZZ500_1
Sub-A-DK,2018-12-13,2018-12-18,4,ZZ500/CYB_-1
Sub-A-DK,2018-12-20,2018-12-20,1,SZ50/HS300_-1
Sub-A-DK,2018-12-21,2018-12-21,1,SZ50/ZZ1000_-1
Sub-A-DK,2018-12-24,2019-01-02,6,SZ50/ZZ500_-1
Sub-A-DK,2019-01-03,2019-01-17,11,ZZ500/CYB_1
Sub-A-DK,2019-01-18,2019-01-18,1,HS300/CYB_1
Sub-A-DK,2019-01-21,2019-01-29,7,SZ50/CYB_1
Sub-A-DK,2019-01-30,2019-02-18,9,SZ50/ZZ1000_1
Sub-A-DK,2019-02-19,2019-02-22,4,ZZ1000/CYB_-1
Sub-A-DK,2019-02-25,2019-03-20,18,SZ50/CYB_-1
Sub-A-DK,2019-03-21,2019-03-28,6,SZ50/ZZ1000_-1
Sub-A-DK,2019-03-29,2019-03-29,1,ZZ1000/CYB_1
Sub-A-DK,2019-04-01,2019-04-02,2,ZZ500/CYB_1
Sub-A-DK,2019-04-03,2019-04-30,19,SZ50/CYB_1
Sub-A-DK,2019-05-06,2019-05-10,5,SZ50/ZZ500_1
Sub-A-DK,2019-05-13,2019-05-20,6,SZ50/ZZ1000_1
Sub-A-DK,2019-05-21,2019-05-28,6,SZ50/CYB_1
Sub-A-DK,2019-05-29,2019-05-31,3,ZZ1000/CYB_1
Sub-A-DK,2019-06-03,2019-06-03,1,SZ50/ZZ1000_-1
Sub-A-DK,2019-06-04,2019-06-05,2,SZ50/ZZ500_1
Sub-A-DK,2019-06-06,2019-06-27,15,SZ50/ZZ1000_1
Sub-A-DK,2019-07-01,2019-07-01,1,ZZ1000/CYB_-1
Sub-A-DK,2019-07-02,2019-07-02,1,HS300/CYB_-1
Sub-A-DK,2019-07-03,2019-08-26,39,SZ50/CYB_-1
Sub-A-DK,2019-08-27,2019-09-19,17,SZ50/ZZ1000_-1
Sub-A-DK,2019-09-20,2019-09-27,6,ZZ1000/CYB_1
Sub-A-DK,2019-09-30,2019-10-24,14,SZ50/CYB_1
Sub-A-DK,2019-10-25,2019-10-30,4,SZ50/ZZ500_1
Sub-A-DK,2019-10-31,2019-11-01,2,HS300/ZZ500_1
Sub-A-DK,2019-11-04,2019-11-05,2,ZZ500/CYB_-1
Sub-A-DK,2019-11-06,2019-11-08,3,HS300/ZZ500_1
Sub-A-DK,2019-11-11,2019-11-11,1,ZZ500/CYB_-1
Sub-A-DK,2019-11-12,2019-11-15,4,HS300/ZZ500_1
Sub-A-DK,2019-11-18,2019-11-20,3,HS300/ZZ1000_1
Sub-A-DK,2019-11-21,2019-11-26,4,ZZ1000/CYB_-1
Sub-A-DK,2019-11-27,2019-11-28,2,ZZ500/ZZ1000_1
Sub-A-DK,2019-11-29,2019-12-16,12,SZ50/ZZ500_-1
Sub-A-DK,2019-12-17,2019-12-31,11,SZ50/ZZ1000_-1
Sub-A-DK,2020-01-02,2020-01-06,3,ZZ1000/CYB_1
Sub-A-DK,2020-01-07,2020-01-17,9,SZ50/ZZ1000_-1
Sub-A-DK,2020-01-20,2020-02-06,8,SZ50/CYB_-1
Sub-A-DK,2020-02-07,2020-02-10,2,HS300/CYB_-1
Sub-A-DK,2020-02-11,2020-02-12,2,ZZ1000/CYB_-1
Sub-A-DK,2020-02-13,2020-02-14,2,HS300/CYB_-1
Sub-A-DK,2020-02-17,2020-02-26,8,SZ50/CYB_-1
Sub-A-DK,2020-02-27,2020-03-03,4,SZ50/ZZ1000_-1
Sub-A-DK,2020-03-04,2020-03-11,6,ZZ1000/CYB_1
Sub-A-DK,2020-03-12,2020-04-09,20,SZ50/CYB_1
Sub-A-DK,2020-04-10,2020-04-21,8,SZ50/ZZ1000_1
Sub-A-DK,2020-05-13,2020-05-20,6,ZZ1000/CYB_-1
Sub-A-DK,2020-05-21,2020-05-27,5,SZ50/CYB_-1
Sub-A-DK,2020-05-28,2020-06-08,8,SZ50/ZZ1000_-1
Sub-A-DK,2020-06-09,2020-06-10,2,ZZ1000/CYB_1
Sub-A-DK,2020-06-11,2020-06-16,4,SZ50/ZZ1000_-1
Sub-A-DK,2020-06-17,2020-07-06,12,SZ50/CYB_-1
Sub-A-DK,2020-07-07,2020-07-08,2,ZZ1000/CYB_-1
Sub-A-DK,2020-07-09,2020-07-16,6,HS300/ZZ1000_1
Sub-A-DK,2020-07-17,2020-07-17,1,ZZ1000/CYB_-1
Sub-A-DK,2020-07-20,2020-07-20,1,SZ50/CYB_-1
Sub-A-DK,2020-07-21,2020-07-21,1,SZ50/HS300_-1
Sub-A-DK,2020-07-22,2020-07-23,2,SZ50/ZZ500_-1
Sub-A-DK,2020-07-24,2020-08-05,9,SZ50/ZZ1000_-1
Sub-A-DK,2020-08-06,2020-08-18,9,ZZ1000/CYB_1
Sub-A-DK,2020-08-19,2020-09-02,11,SZ50/CYB_1
Sub-A-DK,2020-09-03,2020-09-17,11,SZ50/ZZ1000_1
Sub-A-DK,2020-09-18,2020-09-28,7,SZ50/CYB_1
Sub-A-DK,2020-09-29,2020-10-12,4,SZ50/ZZ1000_1
Sub-A-DK,2020-10-13,2020-10-15,3,ZZ1000/CYB_-1
Sub-A-DK,2020-10-16,2020-10-16,1,ZZ500/CYB_-1
Sub-A-DK,2020-10-19,2020-10-19,1,ZZ1000/CYB_-1
Sub-A-DK,2020-10-20,2020-11-02,10,ZZ500/CYB_-1
Sub-A-DK,2020-11-03,2020-11-13,9,ZZ1000/CYB_-1
Sub-A-DK,2020-11-16,2020-11-16,1,SZ50/CYB_-1
Sub-A-DK,2020-11-17,2020-11-19,3,SZ50/HS300_-1
Sub-A-DK,2020-11-20,2020-12-01,8,ZZ500/CYB_1
Sub-A-DK,2020-12-02,2020-12-08,5,SZ50/CYB_1
Sub-A-DK,2020-12-10,2020-12-11,2,SZ50/HS300_1
Sub-A-DK,2020-12-14,2020-12-25,10,HS300/CYB_-1
Sub-A-DK,2020-12-28,2020-12-28,1,SZ50/CYB_-1
Sub-A-DK,2020-12-29,2021-01-06,6,ZZ500/CYB_-1
Sub-A-DK,2021-01-07,2021-01-18,8,ZZ1000/CYB_-1
Sub-A-DK,2021-01-19,2021-01-20,2,SZ50/ZZ1000_1
Sub-A-DK,2021-01-21,2021-01-29,7,ZZ1000/CYB_-1
Sub-A-DK,2021-02-01,2021-02-02,2,HS300/CYB_-1
Sub-A-DK,2021-02-03,2021-02-08,4,SZ50/CYB_-1
Sub-A-DK,2021-02-09,2021-02-18,3,ZZ1000/CYB_-1
Sub-A-DK,2021-02-19,2021-02-22,2,HS300/ZZ1000_1
Sub-A-DK,2021-02-23,2021-02-23,1,SZ50/ZZ1000_1
Sub-A-DK,2021-02-24,2021-02-24,1,SZ50/CYB_1
Sub-A-DK,2021-02-25,2021-02-26,2,ZZ500/CYB_1
Sub-A-DK,2021-03-01,2021-03-23,17,ZZ1000/CYB_1
Sub-A-DK,2021-03-31,2021-04-02,3,SZ50/ZZ1000_-1
Sub-A-DK,2021-04-06,2021-05-11,23,SZ50/CYB_-1
Sub-A-DK,2021-05-12,2021-05-26,11,ZZ1000/CYB_-1
Sub-A-DK,2021-05-27,2021-06-08,9,ZZ500/CYB_-1
Sub-A-DK,2021-06-09,2021-06-09,1,SZ50/ZZ500_1
Sub-A-DK,2021-06-10,2021-06-15,3,ZZ500/ZZ1000_-1
Sub-A-DK,2021-06-16,2021-06-16,1,HS300/ZZ1000_-1
Sub-A-DK,2021-06-17,2021-06-21,3,ZZ1000/CYB_1
Sub-A-DK,2021-06-22,2021-06-22,1,HS300/ZZ1000_-1
Sub-A-DK,2021-06-23,2021-07-05,9,SZ50/ZZ1000_-1
Sub-A-DK,2021-07-06,2021-07-06,1,SZ50/CYB_-1
Sub-A-DK,2021-07-07,2021-07-26,14,SZ50/ZZ1000_-1
Sub-A-DK,2021-07-27,2021-07-30,4,ZZ1000/CYB_1
Sub-A-DK,2021-08-02,2021-08-03,2,SZ50/ZZ1000_-1
Sub-A-DK,2021-08-04,2021-08-05,2,ZZ1000/CYB_1
Sub-A-DK,2021-08-06,2021-08-10,3,SZ50/ZZ1000_-1
Sub-A-DK,2021-08-11,2021-08-16,4,ZZ1000/CYB_1
Sub-A-DK,2021-08-17,2021-08-20,4,ZZ500/CYB_1
Sub-A-DK,2021-08-23,2021-08-23,1,SZ50/CYB_1
Sub-A-DK,2021-08-24,2021-09-08,12,ZZ500/CYB_1
Sub-A-DK,2021-09-09,2021-09-09,1,SZ50/CYB_1
Sub-A-DK,2021-09-10,2021-09-13,2,ZZ500/CYB_1
Sub-A-DK,2021-09-14,2021-09-24,7,SZ50/CYB_1
Sub-A-DK,2021-09-27,2021-10-15,10,SZ50/ZZ1000_1
Sub-A-DK,2021-10-18,2021-10-28,9,SZ50/ZZ500_1
Sub-A-DK,2021-10-29,2021-11-04,5,ZZ500/CYB_-1
Sub-A-DK,2021-11-05,2021-11-19,11,SZ50/CYB_-1
Sub-A-DK,2021-11-22,2021-12-07,12,SZ50/ZZ1000_-1
Sub-A-DK,2021-12-08,2021-12-10,3,ZZ1000/CYB_1
Sub-A-DK,2021-12-13,2021-12-13,1,ZZ500/CYB_1
Sub-A-DK,2021-12-14,2021-12-28,11,SZ50/CYB_1
Sub-A-DK,2021-12-29,2022-01-19,15,ZZ500/CYB_1
Sub-A-DK,2022-01-20,2022-01-20,1,HS300/CYB_1
Sub-A-DK,2022-01-21,2022-01-25,3,SZ50/CYB_1
Sub-A-DK,2022-01-26,2022-02-16,11,SZ50/ZZ1000_1
Sub-A-DK,2022-02-17,2022-02-22,4,SZ50/CYB_1
Sub-A-DK,2022-02-23,2022-02-28,4,ZZ1000/CYB_1
Sub-A-DK,2022-03-01,2022-03-11,9,SZ50/ZZ1000_-1
Sub-A-DK,2022-03-14,2022-03-14,1,SZ50/CYB_-1
Sub-A-DK,2022-03-15,2022-03-18,4,HS300/CYB_-1
Sub-A-DK,2022-03-21,2022-04-01,10,ZZ500/CYB_-1
Sub-A-DK,2022-04-06,2022-04-11,4,ZZ1000/CYB_-1
Sub-A-DK,2022-04-12,2022-05-09,17,SZ50/ZZ1000_1
Sub-A-DK,2022-05-10,2022-05-11,2,HS300/ZZ1000_1
Sub-A-DK,2022-05-12,2022-05-12,1,HS300/ZZ500_1
Sub-A-DK,2022-05-13,2022-05-17,3,SZ50/CYB_-1
Sub-A-DK,2022-05-18,2022-06-08,15,SZ50/ZZ1000_-1
Sub-A-DK,2022-06-13,2022-06-27,11,SZ50/CYB_-1
Sub-A-DK,2022-06-28,2022-07-12,11,ZZ500/CYB_-1
Sub-A-DK,2022-07-14,2022-07-14,1,HS300/CYB_-1
Sub-A-DK,2022-07-15,2022-07-15,1,SZ50/CYB_-1
Sub-A-DK,2022-07-18,2022-07-28,9,SZ50/ZZ1000_-1
Sub-A-DK,2022-07-29,2022-08-15,12,ZZ1000/CYB_1
Sub-A-DK,2022-08-16,2022-08-23,6,ZZ500/CYB_1
Sub-A-DK,2022-08-24,2022-08-24,1,SZ50/ZZ500_-1
Sub-A-DK,2022-08-25,2022-08-30,4,ZZ500/ZZ1000_1
Sub-A-DK,2022-08-31,2022-09-07,6,SZ50/ZZ1000_1
Sub-A-DK,2022-09-08,2022-09-29,15,SZ50/CYB_1
Sub-A-DK,2022-09-30,2022-10-14,6,SZ50/ZZ1000_1
Sub-A-DK,2022-10-17,2022-10-18,2,ZZ1000/CYB_-1
Sub-A-DK,2022-10-19,2022-10-28,8,SZ50/CYB_-1
Sub-A-DK,2022-10-31,2022-11-11,10,SZ50/ZZ1000_-1
Sub-A-DK,2022-11-16,2022-11-16,1,ZZ1000/CYB_1
Sub-A-DK,2022-11-17,2022-11-17,1,SZ50/ZZ500_1
Sub-A-DK,2022-11-18,2022-11-18,1,SZ50/CYB_1
Sub-A-DK,2022-11-21,2022-11-22,2,SZ50/ZZ500_1
Sub-A-DK,2022-11-23,2022-12-05,9,SZ50/CYB_1
Sub-A-DK,2022-12-06,2022-12-27,16,SZ50/ZZ500_1
Sub-A-DK,2022-12-28,2023-01-09,8,SZ50/ZZ1000_1
Sub-A-DK,2023-01-10,2023-01-31,11,ZZ500/CYB_-1
Sub-A-DK,2023-02-01,2023-02-07,5,SZ50/CYB_-1
Sub-A-DK,2023-02-08,2023-02-21,10,SZ50/ZZ1000_-1
Sub-A-DK,2023-02-22,2023-02-28,5,ZZ1000/CYB_1
Sub-A-DK,2023-03-01,2023-03-17,13,ZZ500/CYB_1
Sub-A-DK,2023-03-24,2023-03-29,4,SZ50/ZZ500_-1
Sub-A-DK,2023-03-30,2023-03-31,2,SZ50/CYB_-1
Sub-A-DK,2023-04-03,2023-04-19,12,ZZ1000/CYB_-1
Sub-A-DK,2023-04-20,2023-05-22,20,SZ50/ZZ1000_1
Sub-A-DK,2023-05-24,2023-05-25,2,ZZ500/CYB_-1
Sub-A-DK,2023-05-26,2023-05-29,2,HS300/CYB_-1
Sub-A-DK,2023-05-30,2023-06-01,3,SZ50/CYB_-1
Sub-A-DK,2023-06-02,2023-06-09,6,SZ50/ZZ1000_-1
Sub-A-DK,2023-06-12,2023-06-19,6,ZZ1000/CYB_1
Sub-A-DK,2023-06-20,2023-06-21,2,HS300/CYB_1
Sub-A-DK,2023-06-26,2023-06-26,1,HS300/ZZ500_1
Sub-A-DK,2023-06-27,2023-07-04,6,ZZ500/CYB_-1
Sub-A-DK,2023-07-05,2023-07-13,7,SZ50/CYB_-1
Sub-A-DK,2023-07-17,2023-07-19,3,ZZ1000/CYB_-1
Sub-A-DK,2023-07-20,2023-07-20,1,SZ50/ZZ1000_1
