candidate,field,ma,zz_days,cyb_days,scale,avg_ann,worst_dd,ann_full,dd_full,ann_10y,dd_10y,ann_5y,dd_5y,ann_3y,dd_3y,trigger_days,neighbor_count,ridge_width_same_scale,neighbor_med_ann,neighbor_min_ann,neighbor_med_dd,neighbor_worst_dd,neighbor_ann_range,neighbor_dd_range,neighbor_scale_count,ridge_width_with_scale,neighbor_scale_med_ann,neighbor_scale_min_ann,neighbor_scale_med_dd,neighbor_scale_worst_dd,roll3_ann_return_median,roll3_ann_return_p25,roll3_ann_return_min,roll3_max_dd_median,roll3_max_dd_worst,roll5_ann_return_median,roll5_ann_return_p25,roll5_ann_return_min,roll5_max_dd_median,roll5_max_dd_worst,rank_dd,rank_width,rank_med_ann,rank_roll_dd,defense_robust_score
amount_ma20_zz3_cyb4_scale0.25,amount,20,3,4,0.25,0.432784937979617,-0.2596151413932893,0.336719662852452,-0.2596151413932883,0.3093635334525544,-0.2596151413932893,0.4154432854339149,-0.1513872843005294,0.6696132701795467,-0.106370223245118,1534.0,27,26,0.432784937979617,0.4038552780145704,-0.2596151413932893,-0.2828417256129509,0.08846704246211012,0.03822138181625451,81,70,0.4316395355327481,0.3918461459668317,-0.260660586038195,-0.2953362141032988,0.252148854340781,0.161924733121187,-0.0017197586631648,-0.1648326872626501,-0.2596151413932908,0.3302585083326188,0.2210383377114302,0.1560157015443595,-0.2446203437966955,-0.2596151413932908,71.0,4.0,30.0,72.0,-44.949999999999996
amount_ma20_zz2_cyb5_scale0.25,amount,20,2,5,0.25,0.4255655950374726,-0.2554868094942278,0.3351701090881596,-0.2554868094942278,0.3035499916142994,-0.2487540076369959,0.4206403053546579,-0.1506538028828282,0.6429019740927737,-0.1052487266723128,1582.0,18,18,0.4304048431744289,0.4038552780145704,-0.25483105820879376,-0.2649660151672613,0.08846704246211012,0.02034567137056492,54,52,0.43107520072119654,0.3918461459668317,-0.25600807149730154,-0.2768353358434762,0.2291546481513705,0.1730577266587524,0.0080734414276208,-0.1648326872626502,-0.2554868094942287,0.3365492772200085,0.2039027687400156,0.1425023151177669,-0.2487540076369954,-0.2554868094942287,39.0,18.0,37.0,39.0,-32.4
amount_ma30_zz3_cyb4_scale0.25,amount,30,3,4,0.25,0.4228540327562597,-0.259172686681603,0.3318784910772783,-0.2591726866816023,0.2831727238430286,-0.259172686681603,0.4042418121164037,-0.1506538028828282,0.6721231039883284,-0.1163385027011457,1663.0,18,18,0.423735813766987,0.4038552780145704,-0.2593939140374464,-0.2785042749739673,0.04852420462223972,0.03380101025847648,54,49,0.4237869764912754,0.3918461459668317,-0.2596151413932897,-0.2917566867830558,0.1903718098305362,0.1457497731442176,-0.0030609202438175,-0.1718493550318135,-0.2591726866816038,0.3088540445778737,0.1765543105969984,0.1255765241252633,-0.2256601975977848,-0.2591726866816045,67.0,25.0,161.0,68.0,-68.69999999999999
amount_ma20_zz2_cyb4_scale0.25,amount,20,2,4,0.25,0.4119494680939188,-0.2487540076369956,0.3211653331555399,-0.2487540076369956,0.2944535691199199,-0.2487540076369954,0.3974699118514779,-0.1513872843005294,0.6347090582487374,-0.1052487266723127,1667.0,18,18,0.4301917341091734,0.4038552780145704,-0.25548277471915876,-0.2606605860381964,0.08846704246211012,0.016040242241500025,54,47,0.43106498474955457,0.3918461459668317,-0.2581262354082108,-0.2733277118960965,0.2149641897382049,0.1618461288115791,0.0206140279087512,-0.1648326872626502,-0.2487540076369965,0.3165207905470187,0.2034880720509175,0.1395884194462049,-0.2446203437966955,-0.2487540076369965,23.0,27.0,38.0,23.0,-26.45
amount_ma20_zz3_cyb3_scale0.25,amount,20,3,3,0.25,0.4390418809849734,-0.260660586038195,0.336621205893459,-0.260660586038195,0.3141903202535863,-0.2556229620596503,0.4323272166297502,-0.1513872843005294,0.6730287811630979,-0.106370223245118,1659.0,18,15,0.42617817255430324,0.4038552780145704,-0.2601378637157421,-0.2828417256129509,0.0705360289432942,0.03822138181625451,54,44,0.42776640048230963,0.3918461459668317,-0.2606605860381964,-0.2953362141032988,0.2587939944171075,0.1777934454551844,-0.0018037708817122,-0.1648326872626502,-0.2606605860381966,0.3299446204783562,0.2186520962186715,0.1424054181731222,-0.2556229620596498,-0.2606605860381966,73.0,31.0,91.0,73.0,-63.099999999999994
amount_ma20_zz3_cyb5_scale0.25,amount,20,3,5,0.25,0.4523794826368101,-0.2596151413932901,0.3519522477153693,-0.2596151413932901,0.320270497764161,-0.2596151413932892,0.4433760918189919,-0.1617836155729486,0.693919093248718,-0.106370223245118,1441.0,27,15,0.432784937979617,0.4038552780145704,-0.2591726866816034,-0.2842448830127891,0.08846704246211012,0.03962453921609271,81,43,0.4323285000865026,0.3918461459668317,-0.2596151413932901,-0.2963054268611563,0.2636838937987455,0.1769122721491469,-0.0140004261992896,-0.1648326872626502,-0.2596151413932903,0.3456965407533197,0.2235313790168357,0.1418631195641555,-0.2554868094942269,-0.2596151413932903,72.0,32.0,23.0,71.0,-52.45
amount_ma20_zz4_cyb3_scale0.25,amount,20,4,3,0.25,0.4331290799534013,-0.260660586038195,0.3406401127052731,-0.260660586038195,0.3104517344833652,-0.2563260189970768,0.4137611652964446,-0.1513872843005294,0.6676633073285221,-0.106370223245118,1605.0,18,16,0.4329570089665091,0.4058820338819215,-0.2606605860381957,-0.2828417256129509,0.06850927307594307,0.0328320699894562,54,43,0.4324727009917676,0.3965164581994352,-0.2695982126429519,-0.2953362141032988,0.2555525600571141,0.1652068440097817,0.0058940564614657,-0.1648326872626502,-0.2606605860381966,0.342315075271308,0.2261424508975735,0.1524303640850421,-0.2563260189970762,-0.2606605860381966,73.0,32.0,21.0,73.0,-52.9
amount_ma20_zz3_cyb4_scale0,amount,20,3,4,0.0,0.4312485976532031,-0.2477563221953422,0.3256478520734964,-0.2477563221953408,0.3156758292989308,-0.2477563221953422,0.4148315902958568,-0.1498929466962524,0.6688391189445284,-0.106370223245118,1534.0,27,20,0.4312485976532031,0.3918461459668317,-0.2581262354082108,-0.2745463005928604,0.1193870640512264,0.03979623578342048,54,41,0.43144406659297563,0.3918461459668317,-0.25865421202629935,-0.2828417256129509,0.2624897948986811,0.1603363960988962,-0.0024094892641747,-0.1648326872626503,-0.2477563221953427,0.3126464399892724,0.2334483852554996,0.1646925664086891,-0.2436625191553394,-0.2477563221953427,22.0,37.0,35.0,22.0,-28.449999999999996
amount_ma20_zz3_cyb6_scale0.25,amount,20,3,6,0.25,0.4441621789823027,-0.2649660151672613,0.3442757373990379,-0.2649660151672613,0.3063303303774061,-0.2649660151672611,0.4255854675868524,-0.1862543551414164,0.7004571805659146,-0.106370223245118,1364.0,18,16,0.43755699292394745,0.4099730473186287,-0.25939391403744677,-0.2842448830127891,0.0823492731580518,0.0367785331805682,54,41,0.43629913546403765,0.4001088888877044,-0.2617795623188116,-0.2963054268611563,0.231056025940409,0.1594327320049147,-0.0254628548004302,-0.1862543551414158,-0.2649660151672632,0.3265791577122978,0.2052434110303646,0.1291146041604725,-0.2474663498322205,-0.2649660151672632,91.0,37.0,3.0,91.0,-61.599999999999994
amount_ma30_zz3_cyb5_scale0.25,amount,30,3,5,0.25,0.433073282442979,-0.2591726866816034,0.3426813343988606,-0.2591726866816034,0.2927624721235393,-0.2591726866816016,0.4057223762109323,-0.1617836155729488,0.6911269470385837,-0.1163385027011457,1579.0,18,16,0.4210910618356736,0.4038552780145704,-0.2596151413932897,-0.283718634111916,0.04852420462223972,0.03496462647492041,54,40,0.4215859956598996,0.3918461459668317,-0.2619136714355246,-0.2951753546567037,0.2068988639465886,0.1514736135898143,-0.0017178219665575,-0.1718493550318134,-0.2591726866816035,0.3187816860864947,0.1891270121867946,0.1300821329385648,-0.2081826525275949,-0.2591726866816041,68.0,42.0,199.0,67.0,-79.64999999999999
