field,count,median_avg_ann_full_10_5_3,p90_avg_ann_full_10_5_3,best_avg_ann_full_10_5_3,median_worst_dd_full_10_5_3,best_worst_dd_full_10_5_3
amount,256,0.4236151878314242,0.44641215177048765,0.5112332100180581,-0.2752446936706741,-0.2347500648094399
volume,256,0.4111470567908878,0.4258223756640719,0.4320437794886586,-0.29918838317801416,-0.2487213331382581
