candidate,field,ma,zz_days,cyb_days,scale,avg_ann_full_10_5_3,worst_dd_full_10_5_3,ann_return_full,max_dd_full,ann_return_last_10y,max_dd_last_10y,ann_return_last_5y,max_dd_last_5y,ann_return_last_3y,max_dd_last_3y,trigger_days,rank_avg_ann,rank_worst_dd
amount_ma30_zz2_cyb3_scale0,amount,30,2,3,0.0,0.404756738337123,-0.2347500648094399,0.3094090369985043,-0.2347500648094399,0.280579618270214,-0.2347500648094387,0.3923728068679486,-0.1498929466962524,0.636665491211825,-0.1168382864592825,1856.0,371.0,1.0
amount_ma30_zz2_cyb4_scale0,amount,30,2,4,0.0,0.3918461459668317,-0.2402152574061838,0.2900693603344517,-0.2402152574061827,0.2657366564018621,-0.2402152574061838,0.3804233909521386,-0.1506538028828282,0.6311551761788743,-0.116838286459282,1763.0,428.0,2.0
amount_ma30_zz2_cyb5_scale0,amount,30,2,5,0.0,0.4003954732454777,-0.2402152574061838,0.2985231893748121,-0.2402152574061827,0.2698531243939368,-0.2402152574061838,0.3770114057088294,-0.1562220378375357,0.6561941735043324,-0.116838286459282,1687.0,391.0,2.0
amount_ma30_zz3_cyb3_scale0,amount,30,3,3,0.0,0.4321604640039183,-0.2412991004496665,0.3359905937036165,-0.2412991004496665,0.298499507549866,-0.2412991004496659,0.4174881620745805,-0.1498929466962524,0.6766635926876101,-0.1168382864592822,1769.0,81.0,4.0
amount_ma30_zz4_cyb3_scale0,amount,30,4,3,0.0,0.4198619668357303,-0.242234151161841,0.3235985478442988,-0.242234151161841,0.2887335049109221,-0.2422341511618401,0.3963419232119685,-0.1498929466962524,0.6707738913757317,-0.1168382864592821,1724.0,222.0,5.0
amount_ma30_zz5_cyb3_scale0,amount,30,5,3,0.0,0.4198163557762843,-0.2422341511618413,0.3287133607433365,-0.2422341511618413,0.2928426293441402,-0.2422341511618412,0.3967519657792535,-0.1498929466962524,0.6609574672384071,-0.116838286459282,1693.0,224.0,6.0
amount_ma20_zz2_cyb4_scale0,amount,20,2,4,0.0,0.4018137938362518,-0.2436625191553393,0.3040428961667196,-0.2436625191553393,0.2947324078939755,-0.2402152574061832,0.3891942895508387,-0.1498929466962524,0.6192855817334735,-0.1059327018292023,1667.0,385.0,7.0
amount_ma15_zz3_cyb4_scale0,amount,15,3,4,0.0,0.4868132591795238,-0.2436625191553403,0.3616957473914677,-0.2436625191553403,0.3755782469497339,-0.2347728762634783,0.4784750055920823,-0.1498929466962524,0.7315040367848111,-0.106370223245118,1430.0,3.0,8.0
amount_ma15_zz2_cyb4_scale0,amount,15,2,4,0.0,0.4185607289001749,-0.2436625191553403,0.3096932668773096,-0.2436625191553403,0.3083992132896254,-0.2170582822620375,0.4201997526415832,-0.126227401437051,0.6359506827921815,-0.0867054813032311,1594.0,236.0,8.0
amount_ma15_zz2_cyb4_scale0.25,amount,15,2,4,0.25,0.4247578148698767,-0.2446203437966964,0.3256036757945737,-0.2446203437966964,0.3048940382600165,-0.2315907922009896,0.4209268258252141,-0.1343394740114792,0.6476067195997026,-0.091327094097684,1594.0,147.0,10.0
amount_ma30_zz2_cyb3_scale0.25,amount,30,2,3,0.25,0.4138812633199672,-0.2447032647154908,0.3249116585478095,-0.2447032647154908,0.2834889777957141,-0.2447032647154904,0.399669998800801,-0.1520440856471657,0.6474544181355442,-0.1163385027011455,1856.0,293.0,11.0
amount_ma30_zz3_cyb5_scale0,amount,30,3,5,0.0,0.4324193703720039,-0.2467175217375192,0.3349340616496064,-0.2467175217375189,0.2944161796897424,-0.2467175217375192,0.4023049629756543,-0.1648972739479348,0.6980222771730125,-0.116838286459282,1579.0,78.0,12.0
