candidate,rolling_years,window_start,window_end,ann_return,max_dd,sharpe_repo
no_overlay,3,2010-09-30,2013-09-30,0.15959970892783426,-0.2474663498322216,0.7401693734043052
no_overlay,3,2010-11-01,2013-10-31,0.1303336111430624,-0.24746634983222093,0.6260965812818793
no_overlay,3,2010-11-30,2013-11-29,0.11214512284408062,-0.2474663498322215,0.5729756313573496
no_overlay,3,2010-12-31,2013-12-31,0.09790228503465914,-0.24746634983222104,0.5067516950661688
no_overlay,3,2011-01-31,2014-01-30,0.16111647281138786,-0.2474663498322206,0.7216813454651926
no_overlay,3,2011-02-28,2014-02-28,0.16114079527443148,-0.2474663498322205,0.7181494278845418
no_overlay,3,2011-03-31,2014-03-31,0.15915446060967575,-0.2474663498322207,0.7172421865502451
no_overlay,3,2011-05-03,2014-04-30,0.176322683599889,-0.24746634983222016,0.7694729452653459
no_overlay,3,2011-05-31,2014-05-30,0.1735679426920902,-0.24746634983221938,0.7612928483474849
no_overlay,3,2011-06-30,2014-06-30,0.19354818449189892,-0.24746634983222182,0.8179199916890659
no_overlay,3,2011-08-01,2014-07-31,0.2227573063161472,-0.24746634983222093,0.9236079717297804
no_overlay,3,2011-08-31,2014-08-29,0.2241463723480095,-0.24746634983222005,0.9155434130881451
no_overlay,3,2011-09-30,2014-09-30,0.2541895057252923,-0.24746634983222027,1.001596772594115
no_overlay,3,2011-10-31,2014-10-31,0.23794812639193497,-0.24746634983222138,0.9494503227223738
no_overlay,3,2011-11-30,2014-11-28,0.32763257135160395,-0.2474663498322205,1.2188874379791954
no_overlay,3,2012-01-04,2014-12-31,0.4525708566158979,-0.2474663498322207,1.5116513439624064
no_overlay,3,2012-01-31,2015-01-30,0.45353659240449673,-0.24746634983222138,1.5091449914707507
no_overlay,3,2012-02-28,2015-02-27,0.44750308500133595,-0.24746634983222093,1.5055737883272402
no_overlay,3,2012-04-05,2015-03-31,0.5611457119265006,-0.2274076221943554,1.79461892524685
no_overlay,3,2012-05-02,2015-04-30,0.6632651321069793,-0.22740762219435695,1.9824469886544236
no_overlay,3,2012-05-31,2015-05-29,0.737227332433124,-0.1847039036684136,2.104115858623316
no_overlay,3,2012-07-02,2015-06-30,0.7685891982657456,-0.18470390366841294,2.1730622627552814
no_overlay,3,2012-07-31,2015-07-31,0.7668910868121388,-0.18470390366841338,2.1703230148345125
no_overlay,3,2012-08-31,2015-08-31,0.8283907404433708,-0.18470390366841338,2.285725205160934
no_overlay,3,2012-10-08,2015-09-30,0.823191319832157,-0.18470390366841338,2.259655296590833
no_overlay,3,2012-10-31,2015-10-30,1.0239426404785958,-0.1847039036684136,2.489639376339263
no_overlay,3,2012-11-30,2015-11-30,1.0814759539993384,-0.18470390366841327,2.5140916201350367
no_overlay,3,2012-12-31,2015-12-31,0.9652872808017423,-0.18470390366841272,2.3575608480739816
no_overlay,3,2013-01-31,2016-01-29,0.8716986355237109,-0.18470390366841316,2.2412984179221547
no_overlay,3,2013-02-28,2016-02-29,0.9176807508304647,-0.18470390366841327,2.3416405173083823
no_overlay,3,2013-04-01,2016-03-31,0.9691922274636784,-0.18470390366841383,2.422113285740407
no_overlay,3,2013-05-02,2016-04-29,0.9855583029011667,-0.1847039036684126,2.4004946992576377
no_overlay,3,2013-05-31,2016-05-31,0.8509475403710509,-0.18470390366841294,2.217092182433512
no_overlay,3,2013-07-01,2016-06-30,0.9284030212790273,-0.1847039036684136,2.3170448462389883
no_overlay,3,2013-07-31,2016-07-29,0.9491389022042109,-0.18470390366841283,2.3416404955329373
no_overlay,3,2013-09-02,2016-08-31,0.8625110957542435,-0.18470390366841327,2.208715253846246
no_overlay,3,2013-09-30,2016-09-30,0.8611532469522221,-0.1718493550318132,2.232040448923356
no_overlay,3,2013-10-31,2016-10-31,0.8655580496647504,-0.1718493550318133,2.2863479374511506
no_overlay,3,2013-12-02,2016-11-30,0.8945614575831615,-0.1718493550318132,2.3314275100961064
no_overlay,3,2013-12-31,2016-12-30,0.942491773643499,-0.17184935503181353,2.4865344268983285
no_overlay,3,2014-02-07,2017-01-26,0.8529100903814899,-0.17184935503181398,2.3470982286299535
no_overlay,3,2014-02-28,2017-02-28,0.833843700521619,-0.1718493550318133,2.3501683272024776
no_overlay,3,2014-03-31,2017-03-31,0.8359164284910141,-0.1718493550318132,2.342389302834948
no_overlay,3,2014-04-30,2017-04-28,0.8321163927445823,-0.17184935503181353,2.3623889684026054
no_overlay,3,2014-06-03,2017-05-31,0.8611502780411417,-0.17184935503181376,2.4126291512162537
no_overlay,3,2014-06-30,2017-06-30,0.8280572920516225,-0.17184935503181353,2.3712500765740434
no_overlay,3,2014-07-31,2017-07-31,0.7614695246367083,-0.1718493550318132,2.2442876292705587
no_overlay,3,2014-09-01,2017-08-31,0.7618037475628123,-0.17184935503181364,2.27027967871326
no_overlay,3,2014-09-30,2017-09-29,0.7088149706782672,-0.1718493550318141,2.1659085058236474
no_overlay,3,2014-10-31,2017-10-31,0.732716679858662,-0.17184935503181342,2.2222291037999455
no_overlay,3,2014-12-01,2017-11-30,0.6441633575323786,-0.1718493550318133,2.044139155929024
no_overlay,3,2014-12-31,2017-12-29,0.5137526301892501,-0.17184935503181376,1.7862722123958639
no_overlay,3,2015-02-02,2018-01-31,0.48117929652244484,-0.1718493550318131,1.7255452555638062
no_overlay,3,2015-03-02,2018-02-28,0.391720836826303,-0.1718493550318132,1.4825932502159005
no_overlay,3,2015-03-31,2018-03-30,0.27138518596571304,-0.1868554445691255,1.1036517709083633
no_overlay,3,2015-04-30,2018-04-27,0.1838151721758341,-0.1902981069951588,0.833768219719085
no_overlay,3,2015-06-01,2018-05-31,0.1426774190176987,-0.21229732222402176,0.7007693875771754
no_overlay,3,2015-06-30,2018-06-29,0.14106866521650896,-0.21229732222402187,0.6973488952885789
no_overlay,3,2015-07-31,2018-07-31,0.137491928826867,-0.23315545612547683,0.6822598366883376
no_overlay,3,2015-08-31,2018-08-31,0.08919460807845336,-0.2769381029997522,0.49235923763775225
no_overlay,3,2015-09-30,2018-09-28,0.1026421447826611,-0.27693810299975197,0.546809369451088
no_overlay,3,2015-11-02,2018-10-31,-0.01069846036182498,-0.31363235353196983,0.04374676324908218
no_overlay,3,2015-11-30,2018-11-30,-0.0375401103270282,-0.32007743025743085,-0.1046138689940409
no_overlay,3,2015-12-31,2018-12-28,-0.02647829598703899,-0.32007743025743074,-0.04562640353852809
no_overlay,3,2016-02-01,2019-01-31,-0.013421784628832367,-0.3200774302574311,0.025450841473038825
no_overlay,3,2016-02-29,2019-02-28,0.05349437922681832,-0.32007743025743063,0.35514390488627745
no_overlay,3,2016-03-31,2019-03-29,0.0934672663435514,-0.3200774302574303,0.5364020637772549
no_overlay,3,2016-05-03,2019-04-30,0.11839391884225203,-0.32007743025742963,0.6588750913761886
no_overlay,3,2016-05-31,2019-05-31,0.11805111883162311,-0.3200774302574311,0.6588750913761886
no_overlay,3,2016-06-30,2019-06-28,0.13607736950254123,-0.3200774302574305,0.756703780980356
no_overlay,3,2016-08-01,2019-07-31,0.1483453477206127,-0.32007743025743096,0.8107710598104322
no_overlay,3,2016-08-31,2019-08-30,0.16134233321531743,-0.3200774302574301,0.8707774659826344
no_overlay,3,2016-09-30,2019-09-30,0.14959436255425418,-0.3200774302574305,0.8019748758409185
no_overlay,3,2016-10-31,2019-10-31,0.15274893933917855,-0.3200774302574311,0.8160382824235621
no_overlay,3,2016-11-30,2019-11-29,0.10646035570543289,-0.3200774302574303,0.6101723028038558
no_overlay,3,2017-01-03,2019-12-31,0.1462872485830249,-0.3200774302574316,0.7828485885803359
no_overlay,3,2017-02-03,2020-01-23,0.17349447417432606,-0.32007743025743074,0.8759753399547452
no_overlay,3,2017-02-28,2020-02-28,0.13086357798281845,-0.3200774302574311,0.6585596154167179
no_overlay,3,2017-03-31,2020-03-31,0.15449260324857805,-0.32007743025743063,0.746199424458359
no_overlay,3,2017-05-02,2020-04-30,0.17529825355192363,-0.32007743025743063,0.8209777507790292
no_overlay,3,2017-05-31,2020-05-29,0.14409325179795585,-0.32007743025743085,0.7026222745828067
no_overlay,3,2017-06-30,2020-06-30,0.20487583028664047,-0.3200774302574302,0.927411265064469
no_overlay,3,2017-07-31,2020-07-31,0.2109076921899724,-0.3200774302574305,0.9247135548425801
no_overlay,3,2017-08-31,2020-08-31,0.19153421664398262,-0.3200774302574301,0.8604410496006496
no_overlay,3,2017-10-09,2020-09-30,0.19758923063654543,-0.3200774302574302,0.880297530912254
no_overlay,3,2017-10-31,2020-10-30,0.14312710863127043,-0.32007743025742996,0.6814007078051655
no_overlay,3,2017-11-30,2020-11-30,0.1350632460381298,-0.2960366633331738,0.6562659678871632
no_overlay,3,2018-01-02,2020-12-31,0.17259536986041013,-0.2960366633331746,0.7777360308356905
no_overlay,3,2018-01-31,2021-01-29,0.1705858544491783,-0.27453164091889903,0.7528994209107941
no_overlay,3,2018-02-28,2021-02-26,0.16407555722818778,-0.27453164091890003,0.7288096623975822
no_overlay,3,2018-04-02,2021-03-31,0.21315570883167356,-0.1997553411566365,0.9050669995940694
no_overlay,3,2018-05-02,2021-04-30,0.2481598595444463,-0.19975534115663685,1.009591033479725
no_overlay,3,2018-05-31,2021-05-31,0.3015586147476752,-0.1997553411566365,1.1565823424844421
no_overlay,3,2018-07-02,2021-06-30,0.3062631412131467,-0.19975534115663696,1.1570473892440272
no_overlay,3,2018-07-31,2021-07-30,0.2427555234004397,-0.1997553411566363,0.953538259691463
no_overlay,3,2018-08-31,2021-08-31,0.2799949585832584,-0.19975534115663618,1.0694887795972736
no_overlay,3,2018-10-08,2021-09-30,0.3049485777216576,-0.19975534115663662,1.1177194763106322
no_overlay,3,2018-10-31,2021-10-29,0.32782649115812745,-0.19975534115663673,1.1935989207019813
no_overlay,3,2018-11-30,2021-11-30,0.35937449032364044,-0.19975534115663673,1.3052670879220178
no_overlay,3,2019-01-02,2021-12-31,0.3482661252110921,-0.19975534115663562,1.2577214941999635
no_overlay,3,2019-01-31,2022-01-28,0.3506302826460459,-0.19975534115663662,1.261740433114661
no_overlay,3,2019-02-28,2022-02-28,0.2591265249644841,-0.1997553411566364,1.0305261042433578
no_overlay,3,2019-04-01,2022-03-31,0.1480745071830929,-0.19975534115663685,0.6784668345593986
no_overlay,3,2019-04-30,2022-04-29,0.1290855754045055,-0.19975534115663685,0.6153214692593789
no_overlay,3,2019-05-31,2022-05-31,0.11856346462798051,-0.19975534115663707,0.574025032981976
no_overlay,3,2019-07-01,2022-06-30,0.16750890456880652,-0.1997553411566373,0.7344157814082793
no_overlay,3,2019-07-31,2022-07-29,0.15450697351189868,-0.1997553411566354,0.6913132563642668
no_overlay,3,2019-09-02,2022-08-31,0.15836453739642464,-0.19975534115663662,0.7047178650884464
no_overlay,3,2019-09-30,2022-09-30,0.17518373913613594,-0.1997553411566364,0.7708240326719058
no_overlay,3,2019-10-31,2022-10-31,0.17508885471504865,-0.1997553411566364,0.7715591682566748
no_overlay,3,2019-12-02,2022-11-30,0.18757218727710168,-0.19975534115663696,0.8050726162440772
no_overlay,3,2019-12-31,2022-12-30,0.169314121272081,-0.1997553411566364,0.7442555986977769
no_overlay,3,2020-02-03,2023-01-31,0.16136940996407945,-0.1997553411566365,0.7231641486634394
no_overlay,3,2020-02-28,2023-02-28,0.16306167043399822,-0.19975534115663574,0.7511138212573606
no_overlay,3,2020-03-31,2023-03-31,0.16625343942133974,-0.1997553411566354,0.7775839251490746
no_overlay,3,2020-04-30,2023-04-28,0.15007688116047446,-0.19975534115663707,0.7151552948496338
no_overlay,3,2020-06-01,2023-05-31,0.16467310439468763,-0.1997553411566365,0.7668741873282643
no_overlay,3,2020-06-30,2023-06-30,0.12593130467336966,-0.1997553411566365,0.6261092904302902
no_overlay,3,2020-07-31,2023-07-31,0.13587245594873587,-0.18567620697896414,0.6792778812467964
no_overlay,3,2020-08-31,2023-08-31,0.12134625329687143,-0.18567620697896414,0.6192260975258919
no_overlay,3,2020-09-30,2023-09-28,0.12149047329800666,-0.1856762069789647,0.6197173392562257
no_overlay,3,2020-11-02,2023-10-31,0.1628701641202881,-0.18567620697896525,0.7901067701826218
no_overlay,3,2020-11-30,2023-11-30,0.1339381769387895,-0.18567620697896559,0.6748441718095065
no_overlay,3,2020-12-31,2023-12-29,0.12462890190000664,-0.18567620697896514,0.650790398702483
