candidate,rolling_years,count,ann_return_median,ann_return_p25,ann_return_min,max_dd_median,max_dd_worst,sharpe_median
amount_ma15_zz3_cyb4_scale0,3,152,0.3398559793252722,0.1988608780560488,0.0165736234584077,-0.1498929466962525,-0.2436625191553413,1.457826283540958
amount_ma15_zz3_cyb5_scale0,3,152,0.3493871363301148,0.1949106375494504,0.0024903077665738,-0.1648972739479358,-0.258126235408212,1.5077079978689052
amount_ma15_zz3_cyb5_scale0.25,3,152,0.3077986043311607,0.1834668604047262,-0.0057129123088629,-0.1617836155729487,-0.2554787399440901,1.3619489165378726
amount_ma30_zz2_cyb3_scale0,3,152,0.2088515411816155,0.147943761076641,0.0454884309147716,-0.1648326872626503,-0.2347500648094407,0.9625150955205242
amount_ma30_zz2_cyb4_scale0,3,152,0.1798223056390312,0.1248154334332526,0.0176408368812281,-0.1718493550318134,-0.2402152574061841,0.9428116175472498
amount_ma30_zz2_cyb5_scale0,3,152,0.2055623410996406,0.1225550109749598,0.0154173835486484,-0.1718493550318135,-0.2402152574061837,0.944617734274568
no_overlay,3,152,0.2179565075739103,0.1499562515089194,-0.0375401103270282,-0.1997553411566363,-0.3200774302574316,0.9241607632861802
amount_ma15_zz3_cyb4_scale0,5,128,0.3522004919188962,0.2945117075368119,0.2091897031022598,-0.2347728762634773,-0.2436625191553413,1.4526333204199446
amount_ma15_zz3_cyb5_scale0,5,128,0.3660961483237352,0.2999538188916012,0.2008157470790443,-0.2169475420834253,-0.258126235408212,1.4593241047248482
amount_ma15_zz3_cyb5_scale0.25,5,128,0.3582282057689788,0.2759406133453738,0.1826495963125958,-0.2369670158739959,-0.2554787399440901,1.491280916845696
amount_ma30_zz2_cyb3_scale0,5,128,0.3072597960969802,0.1732822893934084,0.1257270359994522,-0.2072765641426212,-0.2347500648094408,1.2866096717812467
amount_ma30_zz2_cyb4_scale0,5,128,0.2829782057407601,0.1475938984241115,0.1006506503633499,-0.2184197813675459,-0.2402152574061841,1.1827915545145695
amount_ma30_zz2_cyb5_scale0,5,128,0.280502790084394,0.1546955891336139,0.102565916671891,-0.2072765641426212,-0.2402152574061837,1.190583333819773
no_overlay,5,128,0.3160728340742796,0.1736561094600799,0.1220172202173945,-0.2474663498322208,-0.3200774302574318,1.138346566697873
