candidate,rolling_years,count,ann_return_median,ann_return_p25,ann_return_min,max_dd_median,max_dd_worst,sharpe_median
amount_ma10_zz2_cyb3_scale0,3,152,0.18873188298629695,0.12116509542865256,-0.017181420026878613,-0.17373463205466133,-0.27524469367067517,1.0089632262663768
amount_ma10_zz2_cyb3_scale0,5,128,0.2707675885748174,0.14858536731072308,0.074614985610018,-0.25591364641200853,-0.27524469367067517,1.2334958969931096
amount_ma10_zz2_cyb3_scale0.25,3,152,0.1946806114480757,0.13299197682966607,-0.011717806366715156,-0.1481583790674738,-0.26842615440723094,1.0082503617259073
amount_ma10_zz2_cyb3_scale0.25,5,128,0.28846367027573894,0.1616346717029598,0.09131244287299167,-0.2603319118751931,-0.26842615440723094,1.2284659537266216
amount_ma10_zz2_cyb3_scale0.5,3,152,0.19963857319766531,0.1411764661393038,-0.014041621551488803,-0.15625110910621526,-0.2740700286477865,1.0181279097555052
amount_ma10_zz2_cyb3_scale0.5,5,128,0.2975948723029159,0.16694452663801762,0.10695826667803354,-0.261603682576358,-0.2740700286477873,1.206794745249117
amount_ma10_zz2_cyb3_scale0.75,3,152,0.20802406151289887,0.1410958808869871,-0.023913303250489126,-0.17788031850359382,-0.2972590950657956,0.9553376152465846
amount_ma10_zz2_cyb3_scale0.75,5,128,0.3071401281084015,0.17098716624162802,0.11909008759854278,-0.25476627312468597,-0.2972590950657956,1.1742523780088634
amount_ma10_zz2_cyb4_scale0,3,152,0.19306192358688545,0.13233621843509485,0.03256932946163138,-0.1459125928049394,-0.2588183453354651,1.0157826468716713
amount_ma10_zz2_cyb4_scale0,5,128,0.2810103711458365,0.17597222166542653,0.09968182563198846,-0.23410288596736545,-0.2588183453354651,1.2043667958215143
amount_ma10_zz2_cyb4_scale0.25,3,152,0.19988340203532196,0.1390525337782284,0.02535000469816362,-0.1477474349384857,-0.2561061558629998,1.0235676466812236
amount_ma10_zz2_cyb4_scale0.25,5,128,0.2893427918325976,0.1775357893983026,0.11021051806126714,-0.2441862343083634,-0.2561061558629998,1.212153107309252
amount_ma10_zz2_cyb4_scale0.5,3,152,0.20210884312663524,0.14481341840795048,0.010384942237473549,-0.15176317112473742,-0.2625045447741715,0.9931264307596035
amount_ma10_zz2_cyb4_scale0.5,5,128,0.29658348753593244,0.17944154601332918,0.1194808853594147,-0.25339037282339477,-0.2625045447741715,1.1919486823704153
amount_ma10_zz2_cyb4_scale0.75,3,152,0.21119688001929793,0.14845425421092118,-0.01291854417633953,-0.1722032357072174,-0.2917008774196608,0.9538625702157116
amount_ma10_zz2_cyb4_scale0.75,5,128,0.30734464073433765,0.17743284261828268,0.1261528765212141,-0.25052242525094953,-0.2917008774196608,1.1685914132426676
amount_ma10_zz2_cyb5_scale0,3,152,0.19805528865318378,0.1323595185527623,0.02268745534109473,-0.13531512490833247,-0.2580781375325052,1.0322202177681574
amount_ma10_zz2_cyb5_scale0,5,128,0.27827827077483,0.18100315443216586,0.09260033638359033,-0.2341028859673654,-0.2580781375325052,1.1911960026638493
amount_ma10_zz2_cyb5_scale0.25,3,152,0.1958377191556535,0.13683146929147905,0.017966379775931962,-0.13999943709447626,-0.2555148617829862,1.0474968182409279
amount_ma10_zz2_cyb5_scale0.25,5,128,0.29051474097378027,0.18328735310494987,0.10481689971734176,-0.24418623430836323,-0.2555148617829862,1.21292678034245
amount_ma10_zz2_cyb5_scale0.5,3,152,0.19749157641995607,0.1394032515190448,0.005527430496740315,-0.15407574965895365,-0.2625045447741715,0.99902223973659
amount_ma10_zz2_cyb5_scale0.5,5,128,0.2994711938972793,0.180545240156114,0.1158121351121999,-0.25299484244969567,-0.2625045447741715,1.1914315795863248
amount_ma10_zz2_cyb5_scale0.75,3,152,0.20847286301924162,0.1454860208040306,-0.015299334095304262,-0.1768538205693756,-0.29170087741966055,0.959433914838203
amount_ma10_zz2_cyb5_scale0.75,5,128,0.3089672397006893,0.17872343077633235,0.12425176473110366,-0.2501270815433047,-0.29170087741966055,1.1684393233577453
amount_ma10_zz2_cyb6_scale0,3,152,0.17035883363105442,0.11320422081999076,0.019419984021536107,-0.16039036560751208,-0.24775329492934017,0.9323924316723629
amount_ma10_zz2_cyb6_scale0,5,128,0.2588730605972306,0.15737771344742074,0.08445302856558778,-0.23410288596736523,-0.24775329492934017,1.09996250157596
amount_ma10_zz2_cyb6_scale0.25,3,152,0.17993029939891236,0.12378604721297776,0.015501059384212867,-0.1572644006551095,-0.24695583876703708,0.9523996397020709
amount_ma10_zz2_cyb6_scale0.25,5,128,0.27066878232978575,0.16554318026109344,0.09863839079804015,-0.24418623430836356,-0.24695583876703708,1.118796713898527
