candidate,field,ma,zz_days,cyb_days,scale,avg_ann_full_10_5_3,worst_dd_full_10_5_3,ann_return_full,max_dd_full,ann_return_last_10y,max_dd_last_10y,ann_return_last_5y,max_dd_last_5y,ann_return_last_3y,max_dd_last_3y,trigger_days,rank_avg_ann,rank_worst_dd
amount_ma15_zz3_cyb5_scale0,amount,15,3,5,0.0,0.5112332100180581,-0.2581262354082108,0.3756766821547137,-0.2581262354082108,0.3902885831040776,-0.2169475420834263,0.5189331150952803,-0.1648972739479353,0.760034459718161,-0.106370223245118,1330.0,1.0,65.0
amount_ma15_zz3_cyb5_scale0.25,amount,15,3,5,0.25,0.4923223204766805,-0.2554787399440897,0.3743159545507351,-0.2554787399440897,0.3645318630911471,-0.2369670158739961,0.4927443004617913,-0.1617836155729493,0.7376971638030485,-0.1063702232451181,1330.0,2.0,43.0
amount_ma15_zz3_cyb4_scale0,amount,15,3,4,0.0,0.4868132591795238,-0.2436625191553403,0.3616957473914677,-0.2436625191553403,0.3755782469497339,-0.2347728762634783,0.4784750055920823,-0.1498929466962524,0.7315040367848111,-0.106370223245118,1430.0,3.0,8.0
amount_ma15_zz3_cyb6_scale0,amount,15,3,6,0.0,0.4866770815565513,-0.2474663498322212,0.3597422346075107,-0.2474663498322212,0.3648217676294512,-0.2366610961041941,0.4763881118545912,-0.1971313572324334,0.7457562121346524,-0.106370223245118,1244.0,4.0,16.0
amount_ma15_zz3_cyb3_scale0,amount,15,3,3,0.0,0.4840891260285204,-0.2649998641491284,0.3587775403206024,-0.2649998641491284,0.3719597322879464,-0.2396797395373622,0.4858764680489609,-0.1498929466962524,0.7197427634565721,-0.106370223245118,1579.0,5.0,110.0
amount_ma15_zz4_cyb5_scale0,amount,15,4,5,0.0,0.4753130739886606,-0.2581262354082108,0.3649533748916658,-0.2581262354082108,0.357014883073673,-0.2532697358101802,0.4693869735370597,-0.1701983533136123,0.709897064452244,-0.1063702232451179,1202.0,6.0,65.0
amount_ma15_zz3_cyb4_scale0.25,amount,15,3,4,0.25,0.4743913069578646,-0.2500096556234947,0.364042994570164,-0.2500096556234947,0.3539287835763109,-0.2500096556234945,0.4629772380436117,-0.1520440856471657,0.7166162116413717,-0.1063702232451181,1430.0,7.0,31.0
amount_ma15_zz3_cyb6_scale0.25,amount,15,3,6,0.25,0.4740314127939898,-0.2514770506729602,0.3622607951828034,-0.2514770506729602,0.3456464671058066,-0.2514770506729602,0.4611628415408626,-0.1862543551414159,0.7270555473464866,-0.1063702232451179,1244.0,8.0,32.0
amount_ma15_zz3_cyb3_scale0.25,amount,15,3,3,0.25,0.4725825278956266,-0.2606605860381964,0.3623008668858316,-0.2606605860381964,0.351422304567262,-0.248266751088797,0.4686215562195914,-0.1520440856471657,0.7079853839098214,-0.106370223245118,1579.0,9.0,90.0
amount_ma15_zz3_cyb5_scale0.5,amount,15,3,5,0.5,0.4719709961206401,-0.2626531444193951,0.3706038898107875,-0.2626531444193942,0.3378782353611196,-0.2626531444193951,0.4655740556614194,-0.1589443196211144,0.7138278036492338,-0.106370223245118,1330.0,10.0,98.0
amount_ma15_zz4_cyb5_scale0.25,amount,15,4,5,0.25,0.4652348965747017,-0.2703700490289308,0.3654596259847578,-0.2703700490289304,0.3396809941114342,-0.2703700490289308,0.4557976270449668,-0.165784632367272,0.7000013391576478,-0.1063702232451181,1202.0,11.0,125.0
amount_ma15_zz3_cyb4_scale0.5,amount,15,3,4,0.5,0.4603824244513621,-0.2710654819362299,0.364069155233812,-0.2710654819362291,0.3312564933091524,-0.2710654819362299,0.4461535408426731,-0.1543720689573989,0.700050508419811,-0.106370223245118,1430.0,12.0,128.0
