date,return,nav,top_pair,direction,holding,pair_a,pair_b,long_leg,short_leg,pair_changed,direction_changed,is_signal,target,weight,scale_raw,realized_vol,raw_return,base_weight,active_score_overlay,overlay_scale,overlay_on,overlay_triggered,overlay_recovered,trade_id,score_peak_overlay,score_decay_ratio_overlay,waiting_for_new_peak,pre_overheat_return,pre_overheat_weight,same_side_overheat_abs_bias,same_side_overheat_signal,same_side_overheat_scale,same_side_overheat_on,same_side_overheat_triggered,same_side_overheat_recovered,same_side_overheat_tc,turnover,gross_exposure
2010-11-29,-0.0020000000000000018,0.998,none,0,none_0,,,,,False,False,False,,0.0,1.0,,0.0,1.0,,1.0,False,False,False,1,,,False,0.0,1.0,,False,0.0,True,True,False,0.002,0.0,0.0
2010-11-30,-0.008497475260670684,0.9895195196898506,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,True,True,True,,0.4795614367591283,0.47422287157509874,0.395630408309749,-0.007545589534669328,0.4795614367591283,123.6599460394596,1.0,False,False,False,2,123.6599460394596,1.0,False,-0.007545589534669328,0.4795614367591283,0.15619065547320587,False,1.0,False,False,True,0.0009591228735182567,0.4795614367591283,0.9591228735182566
2010-12-01,-0.002824049195855438,0.9867250678859872,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.4795614367591283,0.5055223152701017,0.3956717055855226,-0.002824049195855438,0.4795614367591283,114.61578979234159,1.0,False,False,False,2,123.6599460394596,0.9268626864495635,False,-0.002824049195855438,0.4795614367591283,0.14941815353634752,False,1.0,False,False,False,0.0,0.0,0.9591228735182566
2010-12-02,-0.0030759333023816504,0.983689967389382,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.4795614367591283,0.5054695526030505,0.395931326922003,-0.0030759333023816504,0.4795614367591283,102.1763573456474,1.0,False,False,False,2,123.6599460394596,0.8262688171725643,False,-0.0030759333023816504,0.4795614367591283,0.1423326179880966,False,1.0,False,False,False,0.0,0.0,0.9591228735182566
2010-12-03,-0.010495177694057944,0.9733659663857683,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.4795614367591283,0.5051381045162897,0.3923361823825446,-0.010495177694057944,0.4795614367591283,86.66547257503574,1.0,False,False,False,2,123.6599460394596,0.7008370563851046,False,-0.010495177694057944,0.4795614367591283,0.12197735844495872,False,1.0,False,False,False,0.0,0.0,0.9591228735182566
2010-12-06,-0.01546736039820118,0.9583105641843362,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.4795614367591283,0.50976690139935,0.4044646352150897,-0.01546736039820118,0.4795614367591283,67.45477977242399,1.0,False,False,False,2,123.6599460394596,0.5454860844828392,False,-0.01546736039820118,0.4795614367591283,0.09195701077883978,False,1.0,False,False,False,0.0,0.0,0.9591228735182566
2010-12-07,0.008078500636160335,0.9660522766867385,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.4795614367591283,0.49448080891829344,0.40613300068527586,0.008078500636160335,0.4795614367591283,51.95411160853607,1.0,False,False,False,2,123.6599460394596,0.42013694225580234,False,0.008078500636160335,0.4795614367591283,0.10567882024923042,False,1.0,False,False,False,0.0,0.0,0.9591228735182566
2010-12-08,0.006022944566692612,0.97187075599775,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.4795614367591283,0.4924495169378904,0.403900116793833,0.006022944566692612,0.4795614367591283,38.92379824445991,1.0,False,False,False,2,123.6599460394596,0.31476480049602656,False,0.006022944566692612,0.4795614367591283,0.11585342024076734,False,1.0,False,False,False,0.0,0.0,0.9591228735182566
2010-12-09,-0.0009591228735182922,0.970938612525569,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.0,0.495171929108622,0.4029008062683364,-0.0012474684326236885,0.4795614367591283,22.337643944180655,0.0,True,True,False,2,123.6599460394596,0.1806376653039519,False,-0.0009591228735182922,0.0,0.11220751334203988,False,1.0,False,False,False,0.0,0.4795614367591283,0.0
2010-12-10,0.0,0.970938612525569,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.0,0.49640009870518303,0.381957053381506,0.0032609496110924674,0.4795614367591283,6.536850867397787,0.0,True,False,False,2,123.6599460394596,0.05286150509326515,False,0.0,0.0,0.11689689521238444,False,1.0,False,False,False,0.0,0.0,0.0
2010-12-13,0.00609639327855227,0.9768578361568567,ZZ500/CYB,-1,ZZ500/CYB_-1,ZZ500,CYB,CYB,ZZ500,True,False,True,,0.9194870580918427,0.9339855046790914,0.21323562804725005,0.00794998721544915,0.9194870580918427,11.395349812728806,1.0,False,False,True,3,11.395349812728806,1.0,False,0.00609639327855227,0.9194870580918427,0.08399968511652278,False,1.0,False,False,False,0.0,0.9194870580918427,1.8389741161836854
2010-12-14,-0.01147980408517879,0.9656436995787043,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,True,True,True,,0.7819770936480572,0.8475101183936269,0.2408836804748229,-0.01147980408517879,0.7819770936480572,14.653997906432359,1.0,False,False,False,4,14.653997906432359,1.0,False,-0.01147980408517879,0.7819770936480572,0.055181208396901826,False,1.0,False,False,False,0.0,0.1375099644437855,1.5639541872961145
2010-12-15,-0.004014515715444755,0.9617671077712254,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,0.7819770936480572,0.8302762545215426,0.2397008652102656,-0.004014515715444755,0.7819770936480572,19.893246215936653,1.0,False,False,False,4,19.893246215936653,1.0,False,-0.004014515715444755,0.7819770936480572,0.059408823108598297,False,1.0,False,False,False,0.0,0.0,1.5639541872961145
2010-12-16,-0.004583368632175122,0.957358974578009,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,0.7819770936480572,0.834373291996923,0.23714357904034467,-0.004583368632175122,0.7819770936480572,25.016636883934346,1.0,False,False,False,4,25.016636883934346,1.0,False,-0.004583368632175122,0.7819770936480572,0.06414028294855989,False,1.0,False,False,False,0.0,0.0,1.5639541872961145
2010-12-17,-0.0034156019167863594,0.9540890174293878,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,0.7819770936480572,0.843370926631644,0.23742811470947295,-0.0034156019167863594,0.7819770936480572,25.74390602486594,1.0,False,False,False,4,25.74390602486594,1.0,False,-0.0034156019167863594,0.7819770936480572,0.06743011674436278,False,1.0,False,False,False,0.0,0.0,1.5639541872961145
2010-12-20,-0.0028551695242980957,0.9513649315433559,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,0.7819770936480572,0.8423602244609003,0.23270197112939814,-0.0028551695242980957,0.7819770936480572,22.16012332974659,1.0,False,False,False,4,25.74390602486594,0.8607910279171394,False,-0.0028551695242980957,0.7819770936480572,0.07016952442764912,False,1.0,False,False,False,0.0,0.0,1.5639541872961145
2010-12-21,0.01045831420945964,0.9613146049252974,SZ50/ZZ500,1,SZ50/ZZ500_1,SZ50,ZZ500,SZ50,ZZ500,False,False,False,,0.7819770936480572,0.8594684395208083,0.2280236162885238,0.01045831420945964,0.7819770936480572,20.556018503477265,1.0,False,False,False,4,25.74390602486594,0.7984809486028377,False,0.01045831420945964,0.7819770936480572,0.0573339390360032,False,1.0,False,False,False,0.0,0.0,1.5639541872961145
