window,variant,start,end,annual_return,max_drawdown,total_return,annual_return_delta_without_minus_with,max_drawdown_delta_without_minus_with
full,with_volume_overlay,2010-09-29,2026-05-28,0.36290898716999687,-0.2549917999864738,126.59071237596508,-0.009535439312380545,-0.06508563027095438
full,without_volume_overlay,2010-09-29,2026-05-28,0.3533735478576163,-0.3200774302574282,113.30559579122166,-0.009535439312380545,-0.06508563027095438
last_10y,with_volume_overlay,2016-05-30,2026-05-28,0.3579616914561814,-0.25499179998647326,20.279705819908823,-0.0779740215600937,-0.06508563027095571
last_10y,without_volume_overlay,2016-05-30,2026-05-28,0.2799876698960877,-0.32007743025742896,10.784850500133706,-0.0779740215600937,-0.06508563027095571
last_5y,with_volume_overlay,2021-05-28,2026-05-28,0.49930920543970814,-0.15065380288282781,6.574180427642012,-0.09295300889116409,-0.03502240409613777
last_5y,without_volume_overlay,2021-05-28,2026-05-28,0.40635619654854405,-0.18567620697896559,4.50015957308911,-0.09295300889116409,-0.03502240409613777
last_3y,with_volume_overlay,2023-05-29,2026-05-28,0.760034459718165,-0.10637022324511791,4.445770846034884,-0.10213141736236708,-0.06075401698068328
last_3y,without_volume_overlay,2023-05-29,2026-05-28,0.6579030423557979,-0.1671242402258012,3.5522546208096513,-0.10213141736236708,-0.06075401698068328
last_1y,with_volume_overlay,2025-05-28,2026-05-28,1.276336351612902,-0.10637022324511791,1.2750550971234085,-0.16096748565059515,-0.020174970032148742
last_1y,without_volume_overlay,2025-05-28,2026-05-28,1.1153688659623069,-0.12654519327726665,1.114284341791143,-0.16096748565059515,-0.020174970032148742
