candidate,US_ROT_TARGET_VOL,US_ROT_MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,final_nav,avg_w_QQQ,max_w_QQQ,avg_w_GLD,max_w_GLD,avg_w_QQQ_GLD,max_w_QQQ_GLD,avg_w_BIL,days_qqq_gld_over_100pct,official_scale_avg,official_scale_cap_hit_ratio,ema_scale_avg,ema_scale_cap_hit_ratio,turnover_sum,cost_total
maxlev_1p0,0.25,1.0,full,2007-08-27,2026-06-01,4720,0.12882560877453342,0.1013190045469006,1.2714851409233892,-0.1253001544292548,9.676299826207794,0.19957331878068782,0.6911450507965757,0.10940612769505498,0.5889366564628842,0.30897944647574277,0.9368659592617171,0.30931778026109147,0,,0.0,0.6517827815661824,0.5682203389830508,154.9251125253774,0.15492511252537738
maxlev_1p0,0.25,1.0,last_15y,2011-06-01,2026-06-01,3772,0.1474408141510335,0.10776015755351466,1.3682312414754318,-0.12530015442925468,7.835346439368546,0.227109360280489,0.6911450507965757,0.10881403719112807,0.5889366564628842,0.33592339747161704,0.9368659592617171,0.2566821110372088,0,,0.0,0.8030261367437084,0.7110286320254506,136.27424521736768,0.1362742452173677
maxlev_1p0,0.25,1.0,last_10y,2016-06-01,2026-06-01,2514,0.2260215777162906,0.12695712320724098,1.7802985134385867,-0.12530015442925435,7.636142766709787,0.2560758958549129,0.6911450507965757,0.1424282896772063,0.5889366564628842,0.3985041855321192,0.9368659592617171,0.12743515165721814,0,,0.0,1.0,1.0,104.41529659443748,0.10441529659443748
maxlev_1p0,0.25,1.0,last_5y,2021-06-01,2026-06-01,1256,0.2208068834567698,0.13256828076451585,1.665608712607462,-0.12307280820035293,2.7030837275530457,0.2324676780524172,0.5984045789933756,0.16814918137071785,0.579245682044472,0.400616859423135,0.9028846393771768,0.10972664543524416,0,,0.0,1.0,1.0,49.11369429174714,0.04911369429174713
maxlev_1p0,0.25,1.0,last_3y,2023-06-01,2026-06-01,752,0.2887684930844556,0.13846544081350193,2.085491451064643,-0.11445179286345841,2.1319446366518053,0.2999531134128844,0.5272434404017485,0.25867678204635125,0.579245682044472,0.5586298954592357,0.9028846393771768,0.057912234042553204,0,,0.0,1.0,1.0,28.952659193089602,0.028952659193089602
maxlev_1p0,0.25,1.0,last_1y,2025-06-02,2026-06-01,251,0.37148511517534,0.14996279737521206,2.4771818189405437,-0.1144517928634583,1.3697669694181744,0.2104737348160311,0.4769090541819472,0.293504866136667,0.45729520581348393,0.5039786009526982,0.732402849248998,2.729113968899289e-17,0,,0.0,1.0,1.0,8.963951778574641,0.00896395177857464
maxlev_1p0,0.25,1.0,gfc_peak_to_trough,2007-10-09,2009-03-09,356,0.02462892857363963,0.07396058296149437,0.3330007361686432,-0.07461349844847964,1.0349692288129029,0.013700714234646378,0.19895093961859628,0.10829848346000519,0.22064319675811872,0.12199919769465158,0.3799155434246724,0.5078885767790262,0,,0.0,0.04999999999999999,0.0,5.79693657196472,0.00579693657196472
maxlev_1p0,0.25,1.0,calendar_2008,2008-01-02,2008-12-31,253,0.032509496512023395,0.06832291339304153,0.4758212859718945,-0.07461349844847964,1.0326405853691476,0.0001601518924134022,0.020259214390295377,0.11122125335401076,0.20264668079304698,0.11138140524642418,0.20264668079304698,0.46205533596837933,0,,0.0,0.049999999999999996,0.0,3.8816591688250464,0.003881659168825046
maxlev_1p0,0.25,1.0,lehman_crisis,2008-09-15,2009-03-09,121,0.023696881218211452,0.043344559920543535,0.5467094662317729,-0.032272978669463326,1.011309011149894,0.0,0.0,0.0239875994839603,0.16647657173648012,0.0239875994839603,0.16647657173648012,0.47107438016528924,0,,0.0,0.05,0.0,1.5408123303498453,0.0015408123303498453
maxlev_1p25,0.25,1.25,full,2007-08-27,2026-06-01,4720,0.14160418179880518,0.11093941072276303,1.2764100771426778,-0.13002806229837216,11.947454881093773,0.2457216831471163,0.8639313134957196,0.13485564642728856,0.7261402795915501,0.38057732957440477,1.1710824490771463,0.29571280606275585,206,,0.0,0.7898588452695194,0.5103813559322034,169.3511324492799,0.1693511324492799
maxlev_1p25,0.25,1.25,last_15y,2011-06-01,2026-06-01,3772,0.16223739597407505,0.11797929596257714,1.375134464487197,-0.13002806229837338,9.491827229728427,0.2800082109055774,0.8639313134957196,0.13448642428438748,0.7261402795915501,0.4144946351899649,1.1710824490771463,0.24130402259645362,206,,0.0,0.9758042440289021,0.6386532343584306,148.82956461142788,0.1488295646114279
