window,strategy,start,end,obs,total_return_pct,max_drawdown_pct,ulcer_index_pct,dd_peak_date,dd_trough_date,terminal_drawdown_pct
pre_bear_2006_2008,Sub-A_proxy_no_CYB,2006-01-04,2008-12-31,729,385.43131382589877,-32.47080884957063,13.647063524058002,2008-01-15,2008-09-23,-15.885897260452042
pre_bear_2006_2008,ADK_proxy_3_price,2006-01-04,2008-12-31,729,55.05563356754444,-31.220386785685562,12.49737815965018,2007-04-03,2007-08-17,-6.957427327395904
pre_bear_2006_2008,ADK_proxy_4_plus_ZZ1000_TR,2006-01-04,2008-12-31,729,130.11723173654678,-27.07735654669453,10.521877575000477,2008-01-30,2008-07-18,-13.126540454794078
pre_bear_2006_2008,CSI300_price_benchmark,2006-01-04,2008-12-31,729,93.08136150613684,-72.30384458454897,29.74521441966904,2007-10-16,2008-11-04,-69.07164327515042
pre_bear_2006_2008,CSI500_price_benchmark,2006-01-04,2008-12-31,729,122.4809287279316,-72.41715460003554,28.094288340493872,2008-01-15,2008-11-04,-64.65460368049496
pre_bear_2006_2008,SSE50_price_benchmark,2006-01-04,2008-12-31,729,70.4306070536812,-72.40589573665643,30.52735286419097,2007-10-16,2008-10-27,-70.73193308460625
ashare_peak_to_trough_2007_2008,Sub-A_proxy_no_CYB,2007-10-16,2008-10-28,254,-15.35753205510655,-32.470808849570496,19.035071771364986,2008-01-15,2008-09-23,-32.30699720472467
ashare_peak_to_trough_2007_2008,ADK_proxy_3_price,2007-10-16,2008-10-28,254,11.506896078935469,-16.037073225277375,6.360075081560704,2008-08-28,2008-10-28,-16.037073225277375
ashare_peak_to_trough_2007_2008,ADK_proxy_4_plus_ZZ1000_TR,2007-10-16,2008-10-28,254,-0.7004263126715538,-27.07735654669453,14.01093594753621,2008-01-30,2008-07-18,-23.935904451783184
ashare_peak_to_trough_2007_2008,CSI300_price_benchmark,2007-10-16,2008-10-28,254,-70.9756445328917,-71.84593961548373,40.824905732543655,2007-10-16,2008-10-27,-70.9756445328917
ashare_peak_to_trough_2007_2008,CSI500_price_benchmark,2007-10-16,2008-10-28,254,-66.78395059106205,-70.75392266353303,37.069717283955754,2008-01-15,2008-10-27,-70.07419964833808
ashare_peak_to_trough_2007_2008,SSE50_price_benchmark,2007-10-16,2008-10-28,254,-71.39184746015601,-72.40589573665646,42.18976733330459,2007-10-16,2008-10-27,-71.39184746015601
calendar_2008,Sub-A_proxy_no_CYB,2008-01-02,2008-12-31,246,-7.043700247210694,-32.47080884957053,21.865270390434617,2008-01-15,2008-09-23,-15.885897260451875
calendar_2008,ADK_proxy_3_price,2008-01-02,2008-12-31,246,0.630391485796733,-19.766016697391553,8.430640472159377,2008-08-28,2008-11-10,-6.957427327395848
calendar_2008,ADK_proxy_4_plus_ZZ1000_TR,2008-01-02,2008-12-31,246,-5.529501702106609,-27.077356546694574,16.327540987609314,2008-01-30,2008-07-18,-13.12654045479411
calendar_2008,CSI300_price_benchmark,2008-01-02,2008-12-31,246,-66.24536243782157,-71.60104659007702,49.43001964679127,2008-01-14,2008-11-04,-68.2868272329061
calendar_2008,CSI500_price_benchmark,2008-01-02,2008-12-31,246,-62.14953198070072,-72.41715460003554,46.79952047373695,2008-01-15,2008-11-04,-64.65460368049499
calendar_2008,SSE50_price_benchmark,2008-01-02,2008-12-31,246,-67.17969062152966,-70.97878060668941,49.800054875309016,2008-01-14,2008-10-27,-69.21824375730556
