date,signal,return,asset_component,cash_component,trade_cost,turnover,holding,previous_holding,target,top_score,nav,signal_target,holding_dd_from_hwm,stop_triggered,stopped_asset
2010-07-08,lb25_no_stop,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.0001211499702025,,,,
2010-07-09,lb25_no_stop,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.0002423146177204,,,,
2010-07-12,lb25_no_stop,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.0003634939443315,,,,
2010-07-13,lb25_no_stop,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.0004846879518146,,,,
2010-07-14,lb25_no_stop,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.000605896641948,,,,
2010-07-15,lb25_no_stop,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.0007271200165107,,,,
2010-07-16,lb25_no_stop,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.0008483580772816,,,,
2010-07-19,lb25_no_stop,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.00096961082604,,,,
2010-07-20,lb25_no_stop,-0.0008789711797676514,0.0,0.0001211499702025165,0.001,1.0,1.H00016,cash,1.H00016,0.0013568364334557252,1.0000897873863006,,,,
2010-07-21,lb25_no_stop,0.002288827307034058,0.002288827307034058,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,0.02598195109279717,1.0023788202011563,,,,
2010-07-22,lb25_no_stop,0.01030451152652101,0.01030451152652101,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,0.12198205190004995,1.0127078443078597,,,,
2010-07-23,lb25_no_stop,0.003975043198057193,0.005987017232522263,0.0,0.002,2.0,1.H20955,1.H00016,1.H20955,0.33253882605385426,1.0167334017359948,,,,
2010-07-26,lb25_no_stop,0.006565014876882325,0.008582179235353093,0.0,0.002,2.0,1.H00852,1.H20955,1.H00852,0.8199744627641001,1.0234082716442148,,,,
