scenario,window,months,annual,vol,sharpe,max_dd,calmar,win_rate,total_return,daily_annual,daily_vol,daily_sharpe,daily_max_dd,daily_calmar,daily_win_rate,daily_total_return
current_15_25_40_20,last_3y,36,29.177562947800737,12.422750366247492,2.142130735726232,-5.917461279771754,4.9307568851428405,72.22222222222221,115.55656822097342,30.666475411168314,10.406589292951407,1.828928400698418,-10.051715660786886,3.0508697665217905,52.833638025594155,123.1372312510425
current_15_25_40_20,last_5y,60,24.28400950687204,11.068656049930457,2.0351180399955386,-5.917461279771777,4.103788492860002,73.33333333333333,196.53521652132596,24.12562067289774,9.594948407503917,1.603990615090858,-10.051715660786886,2.4001495353688798,50.54824561403509,194.60690460346632
current_15_25_40_20,last_10y,83,25.59748121876828,10.358301296764871,2.27135791270438,-5.917461279771782,4.325753901638626,75.90361445783132,383.74679313633254,26.256878626833146,9.466510992225416,1.7482859674697688,-10.051715660786886,2.612178807371642,48.031496062992126,406.63632566631145
current_15_25_40_20,full_common,83,25.59748121876828,10.358301296764871,2.27135791270438,-5.917461279771782,4.325753901638626,75.90361445783132,383.74679313633254,26.256878626833146,9.466510992225416,1.7482859674697688,-10.051715660786886,2.612178807371642,48.031496062992126,406.63632566631145
proposal_10_15_15_40_20,last_3y,36,28.965168626019032,10.062495181125406,2.6030507016486255,-4.571875396281717,6.335511385453824,83.33333333333334,114.49505827924149,30.203356731186037,7.92147935452481,2.3432551883598736,-6.553551013517289,4.6087009422660925,55.484460694698356,120.77251087313412
proposal_10_15_15_40_20,last_5y,60,24.25416392365374,9.189728740246807,2.4290031494887114,-4.571875396281724,5.305079824218194,76.66666666666667,196.17933739702997,24.09581450924254,7.564362591543292,2.009548014470441,-6.553551013517289,3.6767569916740945,52.79605263157895,194.253404471347
proposal_10_15_15_40_20,last_10y,83,25.30288056015102,8.699324949848709,2.6597090755549293,-4.571875396281723,5.534464167752623,78.3132530120482,375.95288517335035,25.722346617832127,7.708591179301943,2.08952427001466,-6.553551013517289,3.924947950321508,50.275590551181104,391.89538283635306
proposal_10_15_15_40_20,full_common,83,25.30288056015102,8.699324949848709,2.6597090755549293,-4.571875396281723,5.534464167752623,78.3132530120482,375.95288517335035,25.722346617832127,7.708591179301943,2.08952427001466,-6.553551013517289,3.924947950321508,50.275590551181104,391.89538283635306
neighbor_10_10_20_40_20,last_3y,36,28.751461058095963,9.656909847554763,2.690941803506552,-4.578643132133893,6.279471937070633,83.33333333333334,113.43050806620587,29.995080701376953,7.482393676341023,2.461494140470629,-5.635473060772744,5.322548857551274,56.21572212065814,119.7145068804125
neighbor_10_10_20_40_20,last_5y,60,24.056771687730706,8.959532155924169,2.471200645780485,-4.578643132133893,5.2541268217422665,76.66666666666667,193.8342230575577,23.88305546288043,7.244668992044795,2.0786202158687614,-5.90264439268301,4.046162003675193,53.289473684210535,191.73993260648228
neighbor_10_10_20_40_20,last_10y,83,24.985418454643526,8.542817442221944,2.6767307313641067,-4.578643132133906,5.456948212296885,79.51807228915662,367.67464757715373,25.314154329301243,7.428096793851707,2.135347090762418,-6.057356148561455,4.179076433422695,50.629921259842526,380.8873192849873
neighbor_10_10_20_40_20,full_common,83,24.985418454643526,8.542817442221944,2.6767307313641067,-4.578643132133906,5.456948212296885,79.51807228915662,367.67464757715373,25.314154329301243,7.428096793851707,2.135347090762418,-6.057356148561455,4.179076433422695,50.629921259842526,380.8873192849873
