sleeve,annual,vol,sharpe,max_dd,calmar,win_rate,total_return,daily_annual,daily_vol,daily_sharpe,daily_max_dd,daily_calmar,daily_win_rate,daily_total_return
Sub-A,26.401869437058423,20.81320952819205,1.2335446457811716,-12.74173444687386,2.0720781418840533,63.85542168674698,405.58597870549926,26.211334868556268,20.221613475290116,1.2963318411875693,-23.241213351948854,1.1277954585085532,65.0088809946714,405.36578469265015
Sub-A-DK,37.37357511336094,20.282125158730498,1.682781931363264,-11.621829980329231,3.215808110824058,69.87951807228916,799.146529220139,36.48022208717248,20.781598401471044,1.6580339275684717,-17.372280746014823,2.0999097712337504,50.97690941385436,771.0307411754254
Sub-B,20.47266835276367,13.702350219050855,1.4362926093189103,-11.59159637550329,1.766164701527125,65.06024096385542,262.6427477715688,21.210015367538126,12.690415642743169,1.1096751529990327,-18.367657581929898,1.1547479733291925,37.514792899408285,280.00995321476984
Sub-C,16.246806351969557,15.65750446410907,1.0446983959575722,-26.03524136247211,0.6240313322152694,65.06024096385542,183.28187826279057,17.449412340574444,13.078355032497871,0.9148814621639527,-26.939835690651602,0.6477178458304246,47.966837741808135,205.3489569132486
Microcap,31.33197269236614,15.58898685112137,1.8419005170300455,-6.195562861089564,5.057163230340631,63.85542168674698,558.7628022134685,31.40570798357607,14.984742612693275,1.972359761218675,-11.292247369176112,2.7811742832788693,42.986152919927754,550.8694701481107
