signal,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,calmar,turnover,trade_days,pair_change_days,direction_change_days,long_ratio,short_ratio,cash_ratio
original_bias_momentum_naked,FULL_COMMON,2010-10-11,2026-05-08,3784,15.084097994392366,0.19527468410451498,0.22636550248014228,0.8977921187446445,-0.4325036254532171,2013-12-23,0.45149837507116436,1314.0,621,621,178,0.5068710359408034,0.4928646934460888,0.0002642706131078224
original_bias_momentum_naked,10Y,2016-05-09,2026-05-08,2427,4.684757797807483,0.1898773667510696,0.19051354228519543,1.0043447611436502,-0.25370041253217646,2024-09-23,0.7484314465865826,844.0,400,400,121,0.5002060156571899,0.49979398434281,0.0
original_bias_momentum_naked,5Y,2021-05-10,2026-05-08,1211,1.3212533489613287,0.18368116279130797,0.20128026958481945,0.9356750989517779,-0.25370041253217623,2024-09-23,0.7240081360451557,420.0,197,197,64,0.4929810074318745,0.5070189925681255,0.0
original_bias_momentum_naked,3Y,2023-05-08,2026-05-08,727,0.3857989948079261,0.11486592026432585,0.21115849923616614,0.6180239193485405,-0.25370041253217535,2024-09-23,0.45276205551994547,262.0,121,121,41,0.4759284731774415,0.5240715268225584,0.0
original_bias_momentum_naked,1Y,2025-05-08,2026-05-08,243,0.12120217285658175,0.12129003053568099,0.17976490393713282,0.7232683896078254,-0.18473055935291482,2026-04-28,0.6565780505431419,88.0,42,42,14,0.29218106995884774,0.7078189300411523,0.0
weighted_log_slope_r2_naked,FULL_COMMON,2010-10-11,2026-05-08,3784,3.4785138273207314,0.10106257539011487,0.20924346433467025,0.5627804704474887,-0.5741284384325198,2016-06-13,0.1760278164691423,1386.0,650,650,158,0.5488900634249472,0.45084566596194503,0.0002642706131078224
weighted_log_slope_r2_naked,10Y,2016-05-09,2026-05-08,2427,2.527246990391749,0.13439963567469526,0.17631881502543287,0.8007894696429695,-0.26202026629173436,2024-09-23,0.5129360319214934,854.0,406,406,109,0.5739596209311908,0.4260403790688092,0.0
weighted_log_slope_r2_naked,5Y,2021-05-10,2026-05-08,1211,0.5898618195481087,0.09729033382730456,0.18363990595163443,0.5958876113258941,-0.2620202662917335,2024-09-23,0.371308430466907,428.0,205,205,56,0.5730800990916598,0.4269199009083402,0.0
weighted_log_slope_r2_naked,3Y,2023-05-08,2026-05-08,727,0.18740695183208333,0.058914406642846195,0.18557389035260838,0.39998132692115673,-0.2620202662917337,2024-09-23,0.22484675508745122,278.0,131,131,37,0.5832187070151307,0.4167812929848693,0.0
weighted_log_slope_r2_naked,1Y,2025-05-08,2026-05-08,243,0.060533520928390816,0.06057621342155595,0.16373019121972815,0.43898348963133477,-0.15158615567159972,2025-12-25,0.39961573768510805,104.0,47,47,17,0.40329218106995884,0.5967078189300411,0.0
weighted_log_slope_naked,FULL_COMMON,2010-10-11,2026-05-08,3784,5.944619883841733,0.13251960577452015,0.22715333122162082,0.6588755056913981,-0.4707271198200327,2016-10-24,0.28152107706304397,1252.0,587,587,156,0.5766384778012685,0.42309725158562367,0.0002642706131078224
weighted_log_slope_naked,10Y,2016-05-09,2026-05-08,2427,1.6102418011128354,0.10074112669209367,0.19251565037319548,0.5924960272126834,-0.30214949877225816,2024-09-23,0.3334148396785069,812.0,381,381,103,0.6085702513391018,0.39142974866089825,0.0
weighted_log_slope_naked,5Y,2021-05-10,2026-05-08,1211,0.27363318724302754,0.049626505119485076,0.20232733026611166,0.33884202087787135,-0.30214949877225694,2024-09-23,0.16424486991087384,392.0,183,183,52,0.5887696118909992,0.4112303881090008,0.0
weighted_log_slope_naked,3Y,2023-05-08,2026-05-08,727,-0.028358805244042662,-0.009541561544164523,0.21354510983127242,0.0599260815149359,-0.3021494987722573,2024-09-23,-0.03157894215590408,254.0,116,116,35,0.5887207702888583,0.41127922971114167,0.0
weighted_log_slope_naked,1Y,2025-05-08,2026-05-08,243,-0.08607806003462026,-0.0861344022840338,0.17880672985457102,-0.41208573994247455,-0.25458943727991024,2026-03-17,-0.3383266925930344,96.0,45,45,15,0.38271604938271603,0.6172839506172839,0.0
