date,signal,return,gross_return,trade_cost,turnover,top_pair,direction,holding,top_score_abs,pair_changed,direction_changed,nav
2010-10-11,original_bias_momentum_naked,0.0,0.0,0.0,0.0,none,0,none_0,,False,False,1.0
2010-10-12,original_bias_momentum_naked,0.006064449792205773,0.007071521313519291,0.001,2.0,SZ50/CYB,1,SZ50/CYB_1,53.18405017436502,True,True,1.0060644497922058
2010-10-13,original_bias_momentum_naked,0.004668190254309534,0.004668190254309534,0.0,0.0,SZ50/CYB,1,SZ50/CYB_1,70.83988232570813,False,False,1.010760950051933
2010-10-14,original_bias_momentum_naked,0.0209885494587998,0.0209885494587998,0.0,0.0,SZ50/CYB,1,SZ50/CYB_1,77.52471421557188,False,False,1.0319753562431215
2010-10-15,original_bias_momentum_naked,0.05815005056987044,0.058150050569870326,0.0,0.0,SZ50/CYB,1,SZ50/CYB_1,96.86891232995569,False,False,1.0919847753955192
2010-10-18,original_bias_momentum_naked,0.006971858653547436,0.006971858653547436,0.0,0.0,SZ50/CYB,1,SZ50/CYB_1,121.3823163656343,False,False,1.0995979389014026
2010-10-19,original_bias_momentum_naked,-0.051830961026370526,-0.051830961026370526,0.0,0.0,SZ50/CYB,1,SZ50/CYB_1,141.8672102554963,False,False,1.0426047209855267
2010-10-20,original_bias_momentum_naked,-0.003449326212760173,-0.002451777990750914,0.001,2.0,SZ50/ZZ1000,1,SZ50/ZZ1000_1,147.64907543651157,True,False,1.0390084371918837
2010-10-21,original_bias_momentum_naked,-0.025323194740001664,-0.025323194740001664,0.0,0.0,SZ50/ZZ1000,1,SZ50/ZZ1000_1,160.38298652735827,False,False,1.0126974242003688
2010-10-22,original_bias_momentum_naked,-0.01752143996504585,-0.01752143996504585,0.0,0.0,SZ50/ZZ1000,1,SZ50/ZZ1000_1,161.63384900747954,False,False,0.9949535070794855
2010-10-25,original_bias_momentum_naked,0.00405757903753079,0.00405757903753079,0.0,0.0,SZ50/ZZ1000,1,SZ50/ZZ1000_1,156.10417142155305,False,False,0.9989906095731289
2010-10-26,original_bias_momentum_naked,-0.01963366682018608,-0.01963366682018608,0.0,0.0,SZ50/ZZ1000,1,SZ50/ZZ1000_1,148.51180850278314,False,False,0.9793767607882755
2010-10-27,original_bias_momentum_naked,-0.01403816323709528,-0.01403816323709528,0.0,0.0,SZ50/ZZ1000,1,SZ50/ZZ1000_1,137.2356756807579,False,False,0.965628109949712
2010-10-28,original_bias_momentum_naked,-0.00468995409266193,-0.00468995409266193,0.0,0.0,SZ50/ZZ1000,1,SZ50/ZZ1000_1,119.40622724452376,False,False,0.961099358443464
2010-10-29,original_bias_momentum_naked,-0.02844662850281543,-0.02844662850281543,0.0,0.0,SZ50/ZZ1000,1,SZ50/ZZ1000_1,103.56730398866911,False,False,0.9337593220395285
