scope,ma,days,start,end,n_days,annual,vol,sharpe,max_dd,calmar,total_return,annual_delta,sharpe_delta,max_dd_delta,signal_days,signal_days_pct,defense_days,defense_days_pct,switch_count,latest_volume,latest_ma_value,latest_streak,latest_below_ma,latest_triggered
microcap_v1_0_costed_direct_883418_volume_only_half,20,13,2023-07-05,2026-04-30,681,22.15745651718837,15.462062292137793,1.4288358447086569,-12.201612441149711,1.8159449518706854,75.83817114156719,-2.140855963516451,-0.1030489618834407,4.440892098500626e-14,33,4.845814977973569,33,4.845814977973569,10,1774243700.0,1472069634.0,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,21,13,2023-07-05,2026-04-30,681,22.15745651718837,15.462062292137793,1.4288358447086569,-12.201612441149711,1.8159449518706854,75.83817114156719,-2.140855963516451,-0.1030489618834407,4.440892098500626e-14,33,4.845814977973569,33,4.845814977973569,10,1774243700.0,1458422268.5714285,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,22,13,2023-07-05,2026-04-30,681,22.036036484398913,15.459946937224695,1.4222919970266041,-12.201612441149711,1.8059938053828681,75.34574893235464,-2.262275996305906,-0.10959280956549344,4.440892098500626e-14,34,4.992657856093979,34,4.992657856093979,10,1774243700.0,1452738771.8181818,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,23,13,2023-07-05,2026-04-30,681,22.036036484398913,15.459946937224695,1.4222919970266041,-12.201612441149711,1.8059938053828681,75.34574893235464,-2.262275996305906,-0.10959280956549344,4.440892098500626e-14,34,4.992657856093979,34,4.992657856093979,10,1774243700.0,1443320304.7826087,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,24,13,2023-07-05,2026-04-30,681,22.07339970481499,15.459791267061462,1.4243728381151963,-12.201612441149711,1.809055959716673,75.4971815538815,-2.2249127758898304,-0.10751196847690125,4.440892098500626e-14,33,4.845814977973569,33,4.845814977973569,10,1774243700.0,1429986130.4166667,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,25,13,2023-07-05,2026-04-30,681,22.07339970481499,15.459791267061462,1.4243728381151963,-12.201612441149711,1.809055959716673,75.4971815538815,-2.2249127758898304,-0.10751196847690125,4.440892098500626e-14,33,4.845814977973569,33,4.845814977973569,10,1774243700.0,1419588320.0,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,26,13,2023-07-05,2026-04-30,681,21.534521379112338,15.41517993290557,1.3980813383479018,-12.201612441149711,1.7648914422562352,73.32127200425825,-2.7637911015924814,-0.13380346824419576,4.440892098500626e-14,35,5.139500734214391,35,5.139500734214391,10,1774243700.0,1421703992.3076923,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,27,13,2023-07-05,2026-04-30,681,21.307540864060968,15.409003072363339,1.3859101273380183,-12.201612441149724,1.7462889406486688,72.40999702522033,-2.990771616643851,-0.14597467925407925,3.197442310920451e-14,38,5.580029368575625,38,5.580029368575625,10,1774243700.0,1427008877.7777777,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,28,13,2023-07-05,2026-04-30,681,21.792500903081557,15.276118479740624,1.4238765317639712,-12.201612441149711,1.78603451045427,74.3607684821358,-2.5058115776232626,-0.10800827482812636,4.440892098500626e-14,40,5.873715124816446,40,5.873715124816446,12,1774243700.0,1439186246.4285715,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,29,13,2023-07-05,2026-04-30,681,22.344379857779174,15.152778782510604,1.465386139197523,-12.201612441149724,1.8312645124199443,76.5979868688329,-1.9539326229256453,-0.06649866739457466,3.197442310920451e-14,54,7.929515418502203,54,7.929515418502203,14,1774243700.0,1443776617.2413793,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,30,13,2023-07-05,2026-04-30,681,22.266441323226125,15.162152508704416,1.4601841309915466,-12.201612441149745,1.8248769521750179,76.28092123736398,-2.031871157478694,-0.07170067560055093,1.0658141036401503e-14,55,8.076358296622614,55,8.076358296622614,16,1774243700.0,1434770632.3333333,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,31,13,2023-07-05,2026-04-30,681,21.85460826213099,15.126533373650625,1.4399730311467491,-12.201612441149711,1.7911246048454,74.61162177274497,-2.443704218573828,-0.09191177544534845,4.440892098500626e-14,57,8.370044052863436,57,8.370044052863436,16,1774243700.0,1422054893.548387,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,32,13,2023-07-05,2026-04-30,681,21.8983697935869,15.118833439924757,1.4431095094011779,-12.201612441149734,1.7947111415975658,74.78851557644846,-2.3999426871179175,-0.0887752971909197,2.1316282072803006e-14,68,9.985315712187958,68,9.985315712187958,18,1774243700.0,1414426959.375,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,33,13,2023-07-05,2026-04-30,681,21.8983697935869,15.118833439924757,1.4431095094011779,-12.201612441149734,1.7947111415975658,74.78851557644846,-2.3999426871179175,-0.0887752971909197,2.1316282072803006e-14,68,9.985315712187958,68,9.985315712187958,18,1774243700.0,1408131048.4848485,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,34,13,2023-07-05,2026-04-30,681,21.8983697935869,15.118833439924757,1.4431095094011779,-12.201612441149734,1.7947111415975658,74.78851557644846,-2.3999426871179175,-0.0887752971909197,2.1316282072803006e-14,68,9.985315712187958,68,9.985315712187958,18,1774243700.0,1401847507.0588236,0,False,False
microcap_v1_0_costed_direct_883418_volume_only_half,35,13,2023-07-05,2026-04-30,681,22.03432920949404,15.300219309193942,1.4354408774734988,-12.201612441149711,1.8058538833100184,75.33883138604567,-2.2639832712107797,-0.09644392911859878,4.440892098500626e-14,56,8.223201174743025,56,8.223201174743025,18,1774243700.0,1399735736.2857144,0,False,False
