dropped_asset,segment,label,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate
QQQ,last_10y,最近10年,0.2417734038060877,0.12322144354070651,1.8227105737994573,-0.1504885644213254,1.6065898743587623,8.70522207032698,0.7107438016528925
QQQ,last_5y,最近5年,0.34690556400625394,0.13614839045496419,2.263446300530464,-0.08975860966557692,3.864872298030868,4.431974045380356,0.7213114754098361
QQQ,full_common,全样本公共区间,0.151411985106638,0.1191893713096909,1.2449982969302855,-0.17325423457234124,0.8739294914227154,11.547990305316974,0.6363636363636364
EMXC,last_10y,最近10年,0.18877182533990422,0.13310089778126175,1.3685100112757045,-0.1542340658262924,1.223930811449335,5.629515426271782,0.6694214876033058
EMXC,last_5y,最近5年,0.20138894514620276,0.14253998225970604,1.3629401018127671,-0.11041211828931674,1.8239750153012757,2.5024396715971737,0.6557377049180327
EMXC,full_common,全样本公共区间,0.15420701480327148,0.13274767257303532,1.1490899491677569,-0.15423406582629196,0.9998246105821333,12.04420008374795,0.631578947368421
EFA,last_10y,最近10年,0.3338165401646189,0.14173794068723572,2.1077811509467765,-0.14448131417958743,2.3104478392942323,17.787083764170948,0.7272727272727273
EFA,last_5y,最近5年,0.41211740016333587,0.1507165449501256,2.3735540535218926,-0.09134497495438842,4.51165923871696,5.6137289719873005,0.7377049180327869
EFA,full_common,全样本公共区间,0.22715681214938965,0.13813276468811478,1.5543205368871897,-0.14644836839443265,1.5511051071431752,34.884956319015906,0.6555023923444976
GLD,last_10y,最近10年,0.2779541775039185,0.13448518424632178,1.8949876481810735,-0.17208196650383956,1.6152429167975406,11.599085838803246,0.7024793388429752
GLD,last_5y,最近5年,0.32654955216615056,0.14029051259994801,2.091635543792085,-0.1080238114817933,3.0229404766113843,4.1070821246020355,0.639344262295082
GLD,full_common,全样本公共区间,0.18925126809754111,0.1339952604274344,1.3633749660641021,-0.17208196650383956,1.0997739736622458,20.23883069675803,0.6507177033492823
TLT,last_10y,最近10年,0.2865082255289564,0.14646829244231407,1.7971903551204964,-0.16787196412523375,1.7067068168405957,12.398718067704428,0.6776859504132231
TLT,last_5y,最近5年,0.3322452041403119,0.15365912563465267,1.9504878637735947,-0.09288186836723433,3.577072791286755,4.19600072371791,0.6557377049180327
TLT,full_common,全样本公共区间,0.19973588461601288,0.14743392313738105,1.311667655336015,-0.1678719641252342,1.189810851721541,23.568589303592336,0.645933014354067
DBC,last_10y,最近10年,0.2719771942646316,0.14407986821044297,1.7454241626453941,-0.13710496807769057,1.983715091276019,11.06822873375391,0.7355371900826446
DBC,last_5y,最近5年,0.28823360795229,0.15409638558323946,1.726428655929486,-0.12128140629368778,2.376568814302176,3.547299338046992,0.7377049180327869
DBC,full_common,全样本公共区间,0.19963389088879335,0.14236086475398835,1.352570156874968,-0.13710496807769146,1.4560660615570797,23.533845163721484,0.6746411483253588
