window,strategy,peak_date,trough_date,recovery_date,maxdd,peak_to_trough_days,underwater_days
last_3y,baseline_160,2023-07-18,2023-08-17,2023-12-21,-0.10513872853894735,30,156
last_3y,mix_130_260_390,2026-02-27,2026-03-26,2026-04-14,-0.08442999914227556,27,46
last_3y,mix_signal_top3_130_260_390,2023-07-18,2023-10-19,2023-12-27,-0.14831488703337936,93,162
last_15y,baseline_160,2018-10-03,2019-03-01,2019-08-27,-0.1715802724015274,149,328
last_15y,mix_130_260_390,2018-10-03,2019-01-14,2019-06-24,-0.1696730011563421,103,264
last_15y,mix_signal_top3_130_260_390,2016-08-18,2016-12-22,2017-06-01,-0.17321167873647947,126,287
