strategy,segment,label,start,end,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate,rebalances,avg_bil,avg_risky
baseline_160,post_gfc_rebound,金融危机后反弹,2008-12-15,2009-12-31,0.12493061755753088,0.19062474090254333,0.7100641381013272,-0.13470622255167375,0.9274301898682303,1.1306555993505065,0.6923076923076923,55,0.12156416246861673,0.9479981164249168
baseline_160,qe_bull,QE牛市,2010-01-04,2014-12-31,0.08174306555242428,0.14063806099016274,0.6288696622781385,-0.14420557527363453,0.5668509376098274,1.4798698957151764,0.6,261,0.01791949569605628,1.2172327820346762
baseline_160,sideways_2015_2016,震荡/加息切换,2015-01-02,2016-12-30,-0.019049354126554285,0.12694117106047031,-0.08762053709452322,-0.15632637051407772,-0.12185630654579054,0.9623908539022451,0.5,104,0.11709351103535683,1.0591982521234515
baseline_160,late_cycle_2017_2019,低波牛市+2018回撤,2017-01-03,2019-12-31,0.25066990846848136,0.1358282700046523,1.7138615024040018,-0.17158061626448118,1.4609453790636164,1.9517794622173004,0.7222222222222222,156,0.052716887178002,1.1941679149543438
baseline_160,covid_2020,疫情冲击与反弹,2020-01-02,2020-12-31,0.5612681766412022,0.1616428875986691,2.819237946057427,-0.14015718727648008,4.0045622172341435,1.5588896257912586,0.8333333333333334,53,0.013087065639533782,1.2495679296684012
baseline_160,inflation_bear_2021_2022,通胀加息/熊市,2021-01-04,2022-12-30,0.24023040349145264,0.14107593126358858,1.5887327371607083,-0.1072727522016621,2.2394354443320648,1.5331928021090413,0.6666666666666666,104,0.20784250448334607,0.8964907314394828
baseline_160,ai_rebound_2023_now,AI/高集中反弹,2023-01-03,2026-04-23,0.34203826525118464,0.19755458150649616,1.5941611840445178,-0.1051385682363678,3.2532140297196133,2.6415588002311368,0.7,173,0.033740771870043824,1.1049098671501558
baseline_160,last_10y,最近10年,2016-04-25,2026-04-23,0.29440396067939756,0.16213445851388233,1.6761279208343358,-0.1715806162644814,1.715834615173495,13.180480873758917,0.7024793388429752,522,0.07009866146552832,1.1178908319332603
baseline_160,last_5y,最近5年,2021-04-23,2026-04-23,0.28447784535425824,0.17813910394766208,1.4993362077914663,-0.1254625876865244,2.2674316750507546,3.495897338305528,0.6721311475409836,261,0.10550627359505527,1.020493824105403
baseline_160,full_common,全样本公共区间,2008-12-15,2026-04-23,0.18789854115907212,0.15553660152145057,1.187223913016101,-0.1715806162644814,1.0951035452013858,19.84305450210105,0.6555023923444976,906,0.0662603056617591,1.1222988942655763
mix_130_260_390,post_gfc_rebound,金融危机后反弹,2008-12-15,2009-12-31,0.09697761424665274,0.14313672843546482,0.7152412156434895,-0.08212822066922465,1.1808074430010451,1.1013646651219,0.5384615384615384,55,0.17617368589483098,0.9539119394524214
mix_130_260_390,qe_bull,QE牛市,2010-01-04,2014-12-31,0.12214996345320528,0.14415403137431212,0.8712955872274216,-0.13095351397037658,0.9327734686129707,1.776937336465271,0.6333333333333333,261,0.015317043655006832,1.2798193077381885
mix_130_260_390,sideways_2015_2016,震荡/加息切换,2015-01-02,2016-12-30,-0.013689020338981672,0.11975528042179734,-0.05481176030085382,-0.12958891446367904,-0.10563419252052156,0.9729011311252646,0.4166666666666667,104,0.0701442474207669,1.172239023804177
mix_130_260_390,late_cycle_2017_2019,低波牛市+2018回撤,2017-01-03,2019-12-31,0.26155706999589845,0.1203845555774087,1.98961623415258,-0.16967314406225842,1.5415348813240881,2.003017299777701,0.7777777777777778,156,0.031724269157921474,1.291860685928615
mix_130_260_390,covid_2020,疫情冲击与反弹,2020-01-02,2020-12-31,0.4143327187505903,0.14940904373663058,2.3794684182881314,-0.10289019414471601,4.026940780846691,1.4126557892101232,0.75,53,0.01826756938062054,1.29944631002175
mix_130_260_390,inflation_bear_2021_2022,通胀加息/熊市,2021-01-04,2022-12-30,0.21302316770457486,0.13999143818551818,1.4422197422483436,-0.09287047110848579,2.2937664164073617,1.4671525585238925,0.5833333333333334,104,0.2006696346493368,0.9308941930921961
mix_130_260_390,ai_rebound_2023_now,AI/高集中反弹,2023-01-03,2026-04-23,0.3910479654213723,0.16149690637847083,2.1333440306790354,-0.08442992948363537,4.631627289196862,2.973677391775597,0.7,173,0.020016954424818902,1.2329734686857068
mix_130_260_390,last_10y,最近10年,2016-04-25,2026-04-23,0.2814278881648402,0.14207756582459194,1.8202758917701365,-0.1696731440622582,1.6586472168015924,11.918033125540276,0.6859504132231405,522,0.058720141967356684,1.2082991559866378
mix_130_260_390,last_5y,最近5年,2021-04-23,2026-04-23,0.329037186988703,0.15233771135420465,1.950153496836065,-0.0928704711084859,3.5429688582535652,4.145730891517228,0.6557377049180327,261,0.09357554255317777,1.1167909592550689
mix_130_260_390,full_common,全样本公共区间,2008-12-15,2026-04-23,0.1995494061228411,0.14112461295522813,1.3627019220232122,-0.16967314406225853,1.176081266282306,23.5051020028774,0.6411483253588517,906,0.05663323485440127,1.201798755427008
mix_signal_top3_130_260_390,post_gfc_rebound,金融危机后反弹,2008-12-15,2009-12-31,0.07493549251907528,0.16940704180109994,0.5092677849406415,-0.11087471177164054,0.6758573828215554,1.0782901749592335,0.6153846153846154,55,0.14171698325364623,0.9659803157351846
mix_signal_top3_130_260_390,qe_bull,QE牛市,2010-01-04,2014-12-31,0.15695474182552283,0.15092893501948587,1.0411223914116183,-0.11631759796998264,1.3493636781085108,2.069403175537633,0.65,261,0.009984311313762415,1.3060877652891034
mix_signal_top3_130_260_390,sideways_2015_2016,震荡/加息切换,2015-01-02,2016-12-30,-0.02940606621104569,0.12552667757752792,-0.17412484336235892,-0.17321201383305673,-0.16976920688300245,0.9422450579727729,0.5,104,0.04158334971969506,1.2658173362051235
mix_signal_top3_130_260_390,late_cycle_2017_2019,低波牛市+2018回撤,2017-01-03,2019-12-31,0.25141743393746996,0.12867923308837745,1.806535825686704,-0.16926755146952233,1.485325638344448,1.9552692954212028,0.7222222222222222,156,0.029284493438814174,1.2949569539267516
mix_signal_top3_130_260_390,covid_2020,疫情冲击与反弹,2020-01-02,2020-12-31,0.4096983795494149,0.16155299788527885,2.1921698267749554,-0.1377858242742389,2.973443615897532,1.408042760261674,0.75,53,0.0183570253581701,1.2782291572812519
mix_signal_top3_130_260_390,inflation_bear_2021_2022,通胀加息/熊市,2021-01-04,2022-12-30,0.2178842824185745,0.16696416729126026,1.257811980441184,-0.14365965747120069,1.5166699284540168,1.478846100258032,0.625,104,0.21796822273096206,0.8895331855189197
mix_signal_top3_130_260_390,ai_rebound_2023_now,AI/高集中反弹,2023-01-03,2026-04-23,0.3328860791421191,0.17323367550379543,1.752439059682749,-0.14831460772583238,2.244459155078488,2.5825434067359123,0.775,173,0.011493253556720756,1.2289644627209626
mix_signal_top3_130_260_390,last_10y,最近10年,2016-04-25,2026-04-23,0.25658770250725804,0.15582637191931384,1.546872163941922,-0.17321201383305718,1.4813504954371057,9.800519889543752,0.7024793388429752,522,0.058959823291972774,1.2036961843896414
mix_signal_top3_130_260_390,last_5y,最近5年,2021-04-23,2026-04-23,0.29578819466660655,0.16989363316651046,1.6155638577981168,-0.14831460772583216,1.9943294811080752,3.652523926238671,0.7213114754098361,261,0.09487732741416835,1.0984522122298208
mix_signal_top3_130_260_390,full_common,全样本公共区间,2008-12-15,2026-04-23,0.19531896180265007,0.15301541423688095,1.2451011478030523,-0.17321201383305718,1.1276294148447445,22.107399633826383,0.6698564593301436,906,0.04967292420872403,1.2146816498281297
