combo,avg_sharpe_rank_pct
130+240+390,0.9382716049382717
130+280+390,0.9012345679012346
130+260+390,0.8765432098765432
130+240+420,0.8148148148148149
130+260+420,0.7777777777777777
130+240+360,0.7654320987654321
130+280+360,0.7654320987654321
130+260+360,0.7407407407407408
130+280+420,0.691358024691358
140+280+390,0.6172839506172839
120+240+390,0.5802469135802469
120+280+390,0.5555555555555555
120+260+390,0.5308641975308642
140+260+390,0.49382716049382713
140+240+390,0.48148148148148145
140+280+420,0.3950617283950617
120+280+420,0.38271604938271603
120+280+360,0.3333333333333333
140+280+360,0.3333333333333333
120+240+420,0.32098765432098764
120+260+420,0.32098765432098764
140+260+420,0.30864197530864196
120+240+360,0.24691358024691357
120+260+360,0.23456790123456792
140+260+360,0.2222222222222222
140+240+420,0.2222222222222222
140+240+360,0.14814814814814814
