strategy,peak_date,trough_date,recovery_date,maxdd,peak_to_trough_days,underwater_days,episodes
baseline_160,2018-10-03,2019-03-01,2019-08-27,-0.1715806162644814,149,328,"[{""peak"": ""2018-10-03"", ""trough"": ""2019-03-01"", ""dd"": -0.1715806162644814}, {""peak"": ""2018-10-03"", ""trough"": ""2019-03-07"", ""dd"": -0.16958238966789407}, {""peak"": ""2018-10-03"", ""trough"": ""2019-04-11"", ""dd"": -0.16840118829058515}, {""peak"": ""2018-10-03"", ""trough"": ""2019-04-17"", ""dd"": -0.16788688899347715}, {""peak"": ""2018-10-03"", ""trough"": ""2019-04-05"", ""dd"": -0.16736771289939145}]"
mix_130_260_390,2018-10-03,2019-01-14,2019-06-24,-0.1696731440622582,103,264,"[{""peak"": ""2018-10-03"", ""trough"": ""2019-01-14"", ""dd"": -0.1696731440622582}, {""peak"": ""2018-10-03"", ""trough"": ""2019-01-22"", ""dd"": -0.15346522312119293}, {""peak"": ""2018-10-03"", ""trough"": ""2018-12-21"", ""dd"": -0.14441321297427678}, {""peak"": ""2018-10-03"", ""trough"": ""2019-01-28"", ""dd"": -0.1437538711776839}, {""peak"": ""2018-10-03"", ""trough"": ""2018-12-27"", ""dd"": -0.14028221937165364}]"
mix_signal_top3_130_260_390,2016-08-18,2016-12-22,2017-06-01,-0.17321201383305718,126,287,"[{""peak"": ""2016-08-18"", ""trough"": ""2016-12-22"", ""dd"": -0.17321201383305718}, {""peak"": ""2016-08-18"", ""trough"": ""2016-12-16"", ""dd"": -0.17113316571423887}, {""peak"": ""2016-08-18"", ""trough"": ""2016-12-30"", ""dd"": -0.16938815629921533}, {""peak"": ""2018-10-03"", ""trough"": ""2019-01-10"", ""dd"": -0.16926755146952221}, {""peak"": ""2018-10-03"", ""trough"": ""2019-01-23"", ""dd"": -0.1691046588412276}]"
