strategy,window,median_sharpe,p25_sharpe,p75_sharpe,worst_cagr,best_cagr,worst_maxdd,best_maxdd,positive_window_rate
baseline_160,roll_3y,1.0119120731994928,0.6170606483307506,1.5225085570810524,0.010124897210814998,0.4462990689878352,-0.19681456979795275,-0.07751083458384533,1.0
baseline_160,roll_5y,1.2074670938273766,0.6358537599320968,1.5776895182124595,0.028607463005121847,0.3442505250932164,-0.19681456979795275,-0.12546258768652474,1.0
mix_130_260_390,roll_3y,1.3494809949050401,0.8708455778833389,1.7382528693621833,0.028738038484486195,0.3867838590304249,-0.16967314406225842,-0.07730294903684709,1.0
mix_130_260_390,roll_5y,1.1798729065327236,0.9256717082718947,1.7480083972546299,0.06906357303073918,0.3177381022856667,-0.16967314406225875,-0.09287047110848534,1.0
mix_signal_top3_130_260_390,roll_3y,1.191654059681702,0.9312155176231525,1.4255654025135653,0.0031996473604256614,0.4133156622479608,-0.17321201383305795,-0.10585409436234738,1.0
mix_signal_top3_130_260_390,roll_5y,1.1738724937774578,0.8941154800591837,1.4173336637314118,0.0652575399981119,0.3243492494680753,-0.17321201383305795,-0.11025700679632833,1.0
