version,candidate,segment,start,end,name,lbs,abs_threshold,rebalance_threshold,min_turnover,commission,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,max_lev,volreg_enabled,volreg_enter,volreg_exit,days,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate,avg_bil,avg_cash,avg_risky,max_risky,annual_turnover,total_trade_cost
V7.5,mt0_fee0.0005,full_common,2008-12-15,2026-05-06,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,4374,0.2153241791307099,0.14227910438121333,1.4423300171635007,-0.13728950521863548,1.5683950407411194,29.513012689155616,0.6523809523809524,0.14275489492359378,0.038866026520347506,0.9759866850870094,1.7426436563717602,14.763747101548393,0.12812823377415214
V7.5,mt0_fee0.0005,1Y,2025-05-06,2026-05-06,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,252,0.6067996704791618,0.18042153799331717,2.721086324376175,-0.11583617461237039,5.238429812705162,1.6067996704791618,0.8461538461538461,0.005661287306791356,0.0,1.2192748338711352,1.4941429521907532,13.193085565639208,0.006596542782819603
V7.5,mt0_fee0.0005,3Y,2023-05-08,2026-05-06,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,752,0.38667657986129833,0.17593355425506274,1.9472750620118915,-0.11751163515644092,3.290538671736832,2.652601235836202,0.7567567567567568,0.026376285196794923,0.02925531914893617,1.1374826787932861,1.4941429521907532,14.508674587208954,0.02164786366980384
V7.5,mt0_fee0.0005,5Y,2021-05-06,2026-05-06,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,1256,0.2874474564991789,0.1629190016436745,1.6330271081150982,-0.11751163515644081,2.4461191108140574,3.522944728632699,0.7213114754098361,0.12645662495302654,0.041401273885350316,0.9683230265108135,1.4941429521907532,13.972411760019996,0.03482013724322444
V7.5,mt0_fee0.0005,10Y,2016-05-06,2026-05-06,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2514,0.3188206064664203,0.15561446904840087,1.8571247824712345,-0.13728950521863448,2.3222503858448342,15.812323050981206,0.7107438016528925,0.11679141952327973,0.049323786793953855,1.000130416546726,1.7426436563717602,14.827607953664952,0.07396152062601923
V7.5,mt0_fee0.001,full_common,2008-12-15,2026-05-06,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,4374,0.2063928150427119,0.14224950042893994,1.390712456051124,-0.13865588537438422,1.4885254562792734,25.966399585098802,0.6476190476190476,0.14274373739498653,0.038866026520347506,0.976062266514704,1.7433912041681952,14.764746985993613,0.25627382268546056
V7.5,mt0_fee0.001,1Y,2025-05-06,2026-05-06,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,252,0.5962060821949009,0.18042748291750405,2.684274562697818,-0.1162943904226661,5.126696825427435,1.596206082194901,0.8461538461538461,0.00565237333686163,0.0,1.2191006553532318,1.493482085467613,13.192414020849906,0.013192414020849908
V7.5,mt0_fee0.001,3Y,2023-05-08,2026-05-06,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,752,0.37660356413830276,0.17590328875673425,1.9060872066867047,-0.11900185735222968,3.1646864386629385,2.59551386522098,0.7567567567567568,0.026382591636673045,0.02925531914893617,1.1374537336308668,1.493482085467613,14.509833500453306,0.0432991856838924
V7.5,mt0_fee0.001,5Y,2021-05-06,2026-05-06,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,1256,0.27849024520375343,0.16286735018929857,1.5905921132601495,-0.11900185735222968,2.3402176352547115,3.4024635694562897,0.7049180327868853,0.12645889598743676,0.041401273885350316,0.9684042805431247,1.493482085467613,13.973159459383847,0.06964400111502424
V7.5,mt0_fee0.001,10Y,2016-05-06,2026-05-06,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2514,0.3091070774911544,0.15557351697593919,1.810009339233742,-0.13865588537438456,2.229310906324206,14.688132616230899,0.7107438016528925,0.11677579383676377,0.049323786793953855,1.000256316776102,1.7433912041681952,14.829102434105486,0.14793795047357616
V7.5,mt0_fee0.002,full_common,2008-12-15,2026-05-06,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,4374,0.1887059153467885,0.1422234489371616,1.2870284100734282,-0.14137791987771464,1.3347622847330785,20.094513694302012,0.638095238095238,0.14272682211647503,0.038866026520347506,0.9761440988326883,1.7446750184418656,14.766022789618438,0.5125919339824685
V7.5,mt0_fee0.002,1Y,2025-05-06,2026-05-06,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,252,0.5751843148195426,0.18045020470061657,2.6103613722852512,-0.11720647767803516,4.90744476085671,1.5751843148195426,0.8461538461538461,0.005636162720656098,0.0,1.218680360687352,1.4919597048195063,13.190370371542333,0.026380740743084663
V7.5,mt0_fee0.002,3Y,2023-05-08,2026-05-06,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,752,0.3566329532333896,0.17586101042311067,1.8233185889143002,-0.12197244964383935,2.923881206573788,2.4847603542623813,0.7567567567567568,0.026404057115384943,0.02925531914893617,1.1373052941326673,1.4919597048195063,14.511491752954608,0.0866082682398561
V7.5,mt0_fee0.002,5Y,2021-05-06,2026-05-06,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,1256,0.2607340089110157,0.16278824792864574,1.5053069165010997,-0.12197244964383958,2.1376467363930205,3.173365848381767,0.6885245901639344,0.12646874837617716,0.041401273885350316,0.9685055214745207,1.4919597048195063,13.974146342802678,0.1392978397346045
V7.5,mt0_fee0.002,10Y,2016-05-06,2026-05-06,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2514,0.2898656711020611,0.1555224193963053,1.7152570389334376,-0.14137791987771475,2.050289545586618,12.671056663423556,0.7024793388429752,0.11674871692661938,0.049323786793953855,1.0004132850945706,1.7446750184418656,14.831036974423542,0.29591449963254585
V7.5,mt0_fee0.003,full_common,2008-12-15,2026-05-06,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,4374,0.1712474541434328,0.14224188447206232,1.182801371714382,-0.14408575873101004,1.1885106179239422,15.543348942630573,0.6190476190476191,0.14271741340772473,0.038866026520347506,0.9761389793884571,1.7456723261832714,14.76678383614023,0.768927529753302
V7.5,mt0_fee0.003,1Y,2025-05-06,2026-05-06,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,252,0.5543855033926088,0.18048735876420202,2.536089743306155,-0.11811270644383087,4.6936990954165445,1.5543855033926088,0.8461538461538461,0.0056221491295138665,0.0,1.21816461489178,1.4901720614103133,13.187394709427533,0.03956218412828261
V7.5,mt0_fee0.003,3Y,2023-05-08,2026-05-06,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,752,0.3368978472263504,0.17584309669660275,1.7400671753944843,-0.12492955044070653,2.6967026299053822,2.378444998151916,0.7567567567567568,0.026437502719396194,0.02925531914893617,1.1370360278770308,1.4901720614103133,14.512300150440863,0.12991963944204205
V7.5,mt0_fee0.003,5Y,2021-05-06,2026-05-06,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,1256,0.2431892002425715,0.16274144639202773,1.4195198309912465,-0.12492955044070675,1.9466107048707615,2.9592765489945343,0.6885245901639344,0.12648579050924655,0.041401273885350316,0.9685248662830952,1.4901720614103133,13.974474239896711,0.2089516624441699
V7.5,mt0_fee0.003,10Y,2016-05-06,2026-05-06,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2514,0.2708665379806052,0.15551279938762536,1.6198518929806855,-0.14408575873100982,1.8798980576996465,10.927501588383564,0.6942148760330579,0.11672675750283713,0.049323786793953855,1.0004550279691655,1.7456723261832714,14.832106957343603,0.4439037725090693
