version,candidate,name,lbs,abs_threshold,rebalance_threshold,min_turnover,commission,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,max_lev,volreg_enabled,volreg_enter,volreg_exit,year,return
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2011,-0.04229413096743451
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2012,0.04226155144990229
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2013,0.14267656444361942
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2014,-0.0030736318368845827
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2015,-0.05183135739386535
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2016,0.02152247697687315
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2017,0.7930024372828861
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2018,-0.0229605538919625
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2019,0.15581330732007115
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2020,0.49816065999786274
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2021,0.3699734668902037
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2022,0.04183048414093493
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2023,0.14209033093907464
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2024,0.33063067448230266
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2025,0.30890349020168695
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2026,0.2283513213200874
