version,candidate,name,lbs,abs_threshold,rebalance_threshold,min_turnover,commission,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,max_lev,volreg_enabled,volreg_enter,volreg_exit,year,return
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2008,0.026917930673942436
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2009,0.15652693632040404
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2010,0.2109390660414383
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2011,-0.0013104994834445272
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2012,0.08198877512560188
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2013,0.17492577354495698
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2014,0.03566628934613858
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2015,-0.013136023438109379
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2016,0.08487403053231612
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2017,0.8405337026341069
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2018,0.012904326341220296
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2019,0.20382209260083073
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2020,0.5501767330622227
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2021,0.4048710196423886
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2022,0.07354860963182364
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2023,0.2030730407011503
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2024,0.37257088031452
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2025,0.353583830970835
V7.5,mt0_fee0.0005,mt0_fee0.0005,"(130, 260, 390)",0.04,1.05,0.0,0.0005,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2026,0.24295046169467893
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2008,0.026625378892705998
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2009,0.14897650533416407
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2010,0.20108197787790605
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2011,-0.009636861603927738
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2012,0.07394060495522004
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2013,0.16840748071215628
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2014,0.02780545165111148
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2015,-0.02099336541196617
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2016,0.07189210111138178
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2017,0.8310031583246011
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2018,0.00563553288176899
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2019,0.19408500393122163
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2020,0.5396607763139964
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2021,0.3978246015820144
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2022,0.06712988142228715
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2023,0.19065809687659452
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2024,0.36409815319569927
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2025,0.3445513323595111
V7.5,mt0_fee0.001,mt0_fee0.001,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2026,0.240021532823947
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2008,0.026039441263746355
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2009,0.1340177120785937
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2010,0.18158186599060677
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2011,-0.026095261271113168
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2012,0.05800687627549883
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2013,0.15547397345015312
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2014,0.012253891013413565
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2015,-0.03652973367484336
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2016,0.04641336119298867
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2017,0.8119763326527905
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2018,-0.008757985587888872
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2019,0.17481323310459462
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2020,0.5187967732508691
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2021,0.3838321986179838
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2022,0.05440539002652067
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2023,0.166156147034775
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2024,0.3472794395947627
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2025,0.32663037415782825
V7.5,mt0_fee0.002,mt0_fee0.002,"(130, 260, 390)",0.04,1.05,0.0,0.002,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2026,0.23417718567281698
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2008,0.025452388124455272
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2009,0.11923569980447457
V7.5,mt0_fee0.003,mt0_fee0.003,"(130, 260, 390)",0.04,1.05,0.0,0.003,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2010,0.16236433106508263
