date,V7.5_mt0_fee0.0005,V7.5_mt0_fee0.001,V7.5_mt0_fee0.002,V7.5_mt0_fee0.003
2008-12-15,0.0065454853568076565,0.006545786913327856,0.006546080494985951,0.006545961409624601
2008-12-16,0.009715958141646386,0.009716252884336418,0.009716539832360649,0.009716423437796662
2008-12-17,0.00715509822210314,0.00715526186169102,0.007155421173721477,0.007155356552073
2008-12-18,-4.995740279167826e-05,-5.019475732981338e-05,-5.042583487002705e-05,-5.0332103018635443e-05
2008-12-19,-0.001211174399879389,-0.0014856586934441918,-0.0020343547125306616,-0.002582696640663351
2008-12-22,0.00033807935650664867,0.0003381054194733224,0.0003380482170818322,0.00033784541615111685
2008-12-23,-0.003701197434931025,-0.0037012238561848765,-0.003701165867432965,-0.0037009602786008955
2008-12-24,0.002397753690361659,0.0023977804060950625,0.002397721771026262,0.0023975138907923466
2008-12-26,0.008291750498970352,0.0082810082613749,0.008259216409951753,0.008237018231579851
2008-12-29,0.0007606885796802576,0.0007607282536734594,0.0007606593118338889,0.0007603928733219689
2008-12-30,0.0034883218735517474,0.00348829376009796,0.003488342613088502,0.003488531414520768
2008-12-31,-0.006999402555880163,-0.006999372226796363,-0.0069994249299062394,-0.006999628610838249
2009-01-02,-0.009681779791410272,-0.009720509675364863,-0.009797917706058978,-0.00987524641065951
2009-01-05,-0.015775802869647526,-0.01577583108228764,-0.015775610627917547,-0.015775021507020592
2009-01-06,-0.001192204034480504,-0.0011921936415785206,-0.001192274852008901,-0.0011924918708939858
2009-01-07,-0.006836778706618252,-0.00683681969616623,-0.006836499402675278,-0.006835643481386211
2009-01-08,0.005833046656322338,0.005833076898045908,0.005832840588360755,0.00583220909725668
2009-01-09,-0.0016778848900459442,-0.00173238977082113,-0.0018412809028381938,-0.0019500120452082825
2009-01-12,-0.006497823549930892,-0.006497988099759544,-0.006497821280693983,-0.0064969938939972716
2009-01-13,0.0012646831828138083,0.0012646839649965713,0.0012646831720271035,0.0012646792390695882
2009-01-14,0.0023783773748091708,0.002378316831665561,0.0023783782097339667,0.0023786826317551135
