candidate,segment,start,end,rows,annual_return,annual_vol,sharpe,max_dd,total_return,dynamic_sleeve,boost_dd,cut_dd,execution,step,cost_bps,avg_dynamic_sleeve,latest_dynamic_sleeve,rebalance_count,allocation_turnover,ann_return,ann_vol,sharpe_repo
fixed_10_15_15_20_40,full,2011-12-09,2026-05-08,3743,0.3038349758618464,0.092796125308073,3.274220500620553,-0.07874424793461599,44.77136485027649,fixed,,,fixed,0.0,0,,,0,0.0,0.3038349758618464,0.092796125308073,3.274220500620553
fixed_10_15_15_20_40,last_10y,2016-05-09,2026-05-08,2597,0.3382186311124451,0.09619474551939386,3.5159782302688947,-0.06775777661596194,17.397173383752556,fixed,,,fixed,0.0,0,,,0,0.0,0.3382186311124451,0.09619474551939386,3.5159782302688947
fixed_10_15_15_20_40,last_5y,2021-05-10,2026-05-08,1300,0.3824083819078685,0.09906044687670819,3.860353894666138,-0.06775777661596194,4.038664582148356,fixed,,,fixed,0.0,0,,,0,0.0,0.3824083819078685,0.09906044687670819,3.860353894666138
fixed_10_15_15_20_40,last_3y,2023-05-08,2026-05-08,781,0.5142080719608388,0.10711149607964911,4.800680513121289,-0.06775777661596194,2.4728018268099055,fixed,,,fixed,0.0,0,,,0,0.0,0.5142080719608388,0.10711149607964911,4.800680513121289
fixed_10_15_15_20_40,last_1y,2025-05-08,2026-05-08,260,0.5900741116497621,0.11330152788233476,5.207997832673205,-0.05706591740128897,0.5895694377742629,fixed,,,fixed,0.0,0,,,0,0.0,0.5900741116497621,0.11330152788233476,5.207997832673205
advisory_suba_dd_2_8_daily_step2_cost0bps,full,2011-12-09,2026-05-08,3743,0.30720125631599093,0.093309541595068,3.2922812722533883,-0.07456216870557619,46.504297401938324,Sub-A,0.02,0.08,daily,0.025,0,0.0974819663371627,0.125,258,13.050000000000004,0.30720125631599093,0.093309541595068,3.2922812722533883
advisory_suba_dd_2_8_daily_step2_cost0bps,last_10y,2016-05-09,2026-05-08,2597,0.3411735417558224,0.09673763712450939,3.5267921762106265,-0.0677577766159616,17.8072899427041,Sub-A,0.02,0.08,daily,0.025,0,0.0974819663371627,0.125,258,13.050000000000004,0.3411735417558224,0.09673763712450939,3.5267921762106265
advisory_suba_dd_2_8_daily_step2_cost0bps,last_5y,2021-05-10,2026-05-08,1300,0.3863788138975375,0.09950835248875906,3.882878213074472,-0.0677577766159615,4.111349164135033,Sub-A,0.02,0.08,daily,0.025,0,0.0974819663371627,0.125,258,13.050000000000004,0.3863788138975375,0.09950835248875906,3.882878213074472
advisory_suba_dd_2_8_daily_step2_cost0bps,last_3y,2023-05-08,2026-05-08,781,0.5218688964882172,0.10769176088838305,4.845950072532544,-0.06775777661596138,2.5257909107457492,Sub-A,0.02,0.08,daily,0.025,0,0.0974819663371627,0.125,258,13.050000000000004,0.5218688964882172,0.10769176088838305,4.845950072532544
advisory_suba_dd_2_8_daily_step2_cost0bps,last_1y,2025-05-08,2026-05-08,260,0.5988738665902522,0.11244374892395138,5.325986302673758,-0.05519176592297581,0.5983603619476836,Sub-A,0.02,0.08,daily,0.025,0,0.0974819663371627,0.125,258,13.050000000000004,0.5988738665902522,0.11244374892395138,5.325986302673758
