scenario,window,desc,total,annual,vol,sharpe,max_dd,calmar,d_total,d_annual,d_vol,d_sharpe,d_max_dd,d_calmar
baseline,full,official Sub-B pool,9.26634428965939,0.24803880224979835,0.12989506469601664,1.2419939090494463,-0.15797305386243898,1.5701336157354249,0.0,0.0,0.0,0.0,0.0,0.0
baseline,since_2020,official Sub-B pool,3.7174110619516982,0.2796175660612641,0.14011810802507357,1.2842399638746986,-0.15797305386243887,1.7700333014056426,0.0,0.0,0.0,0.0,0.0,0.0
baseline,latest_5y,official Sub-B pool,1.7667747455067326,0.22576400168809174,0.13472643120594646,1.1076359615482751,-0.1579730538624381,1.4291298178275744,0.0,0.0,0.0,0.0,0.0,0.0
baseline,latest_3y,official Sub-B pool,1.5417549415091116,0.3646263560915053,0.1471557777589575,1.5202370037378174,-0.11699212782064172,3.1166742829954046,0.0,0.0,0.0,0.0,0.0,0.0
baseline,latest_1y,official Sub-B pool,0.5427415033036564,0.543199703248989,0.15501795634244764,2.004400995772324,-0.11699212782064128,4.643044907104858,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2022_shock,official Sub-B pool,-0.034132713394487535,-0.04099953943871271,0.10300976276919618,-0.2177065294845744,-0.14512158692143617,-0.28251854399103593,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2021_2022_infl,official Sub-B pool,0.20482309274334587,0.09785477697929301,0.12890335970471503,0.5656856206869256,-0.14512158692143617,0.6742951138776357,0.0,0.0,0.0,0.0,0.0,0.0
always_allow_uup_dbmf_kmlm,full,UUP/DBMF/KMLM always eligible,9.50164052900534,0.25073243047196847,0.1289718672491341,1.261505547852326,-0.1474997579180738,1.6998836744615777,0.23529623934594923,0.002693628222170119,-0.0009231974468825455,0.01951163880287976,0.01047329594436519,0.12975005872615286
always_allow_uup_dbmf_kmlm,since_2020,UUP/DBMF/KMLM always eligible,3.6784655603867975,0.27793261696690763,0.14087627461315827,1.2716665896340695,-0.14749975791807302,1.884292021152211,-0.03894550156490073,-0.0016849490943564582,0.0007581665880846966,-0.012573374240629098,0.010473295944365857,0.11425871974656832
always_allow_uup_dbmf_kmlm,latest_5y,UUP/DBMF/KMLM always eligible,1.7363670698711808,0.223057406365186,0.1357893255793315,1.0888418273249871,-0.14749975791807413,1.512256084441026,-0.0304076756355518,-0.002706595322905736,0.001062894373385026,-0.018794134223288017,0.01047329594436397,0.08312626661345157
always_allow_uup_dbmf_kmlm,latest_3y,UUP/DBMF/KMLM always eligible,1.384762177158683,0.33593807092020245,0.14357425832481477,1.4543406927569773,-0.12357880363706453,2.718411742411834,-0.15699276435042853,-0.02868828517130284,-0.003581519434142727,-0.06589631098084014,-0.0065866758164228045,-0.3982625405835707
always_allow_uup_dbmf_kmlm,latest_1y,UUP/DBMF/KMLM always eligible,0.5541108044103369,0.5545801992375674,0.15529807230876422,2.033684653822891,-0.1235788036370643,4.487664412630997,0.01136930110668044,0.011380495988578376,0.00028011596631657976,0.029283658050566874,-0.006586675816423027,-0.15538049447386104
always_allow_uup_dbmf_kmlm,2022_shock,UUP/DBMF/KMLM always eligible,0.11213544734896819,0.13668616407821776,0.12907767089136438,0.7554172053137785,-0.1198332807040473,1.1406360843595036,0.14626816074345572,0.17768570351693047,0.026067908122168193,0.9731237347983529,0.025288306217388867,1.4231546283505394
always_allow_uup_dbmf_kmlm,2021_2022_infl,UUP/DBMF/KMLM always eligible,0.2923460148336383,0.13711395988619657,0.13839416418526151,0.7110750321754076,-0.1242374244308525,1.1036445782286064,0.08752292209029244,0.039259182906903556,0.009490804480546483,0.14538941148848195,0.02088416249058367,0.42934946435097066
inflation_pressure_only,full,candidates eligible only when DBC 126d momentum > 0 and TLT 126d momentum < 0,9.941074316505308,0.2556199463034319,0.12945666297699954,1.2780557248239195,-0.14403607735653678,1.774693889161451,0.6747300268459178,0.007581144053633526,-0.0004384017190171008,0.036061815774473205,0.013936976505902199,0.20456027342602612
inflation_pressure_only,since_2020,candidates eligible only when DBC 126d momentum > 0 and TLT 126d momentum < 0,4.075691670543046,0.29459288975325637,0.13971356381845942,1.3450389280170114,-0.12213228977240032,2.412080296719607,0.3582806085913477,0.014975323691992282,-0.00040454420661414914,0.060798964142312784,0.03584076409003856,0.6420469953139645
inflation_pressure_only,latest_5y,candidates eligible only when DBC 126d momentum > 0 and TLT 126d momentum < 0,1.9769073217518889,0.24384434378874453,0.13420547940265432,1.1867104288618726,-0.12213228977240076,1.9965591756542016,0.21013257624515624,0.01808034210065279,-0.0005209518032921467,0.07907446731359746,0.035840764090037336,0.5674293578266272
inflation_pressure_only,latest_3y,candidates eligible only when DBC 126d momentum > 0 and TLT 126d momentum < 0,1.4638856819197232,0.3505491940874097,0.1446111461294065,1.496805284907475,-0.12213228977240076,2.8702417251054126,-0.0778692595893884,-0.01407716200409559,-0.0025446316295509863,-0.02343171883034234,-0.005140161951759037,-0.24643255788999197
inflation_pressure_only,latest_1y,candidates eligible only when DBC 126d momentum > 0 and TLT 126d momentum < 0,0.5412281517710618,0.5416848659044402,0.15465106640341314,2.00439745377885,-0.12213228977240065,4.435230575909907,-0.0015133515325946867,-0.001514837344548825,-0.0003668899390344982,-3.541993474076577e-06,-0.00514016195175937,-0.20781433119495052
inflation_pressure_only,2022_shock,candidates eligible only when DBC 126d momentum > 0 and TLT 126d momentum < 0,0.07345485453954415,0.08920136194327877,0.11573837679246743,0.5747749592727394,-0.10581245043225673,0.8430138568654288,0.10758756793403168,0.13020090138199147,0.012728614023271245,0.7924814887573137,0.03930913648917944,1.1255324008564647
inflation_pressure_only,2021_2022_infl,candidates eligible only when DBC 126d momentum > 0 and TLT 126d momentum < 0,0.3358424363318544,0.1561308652404314,0.13192677671935654,0.8259337853894427,-0.10581245043225684,1.475543422372487,0.13101934358850853,0.05827608826113839,0.0030234170146415107,0.2602481647025171,0.03930913648917933,0.8012483084948513
credit_stress_only,full,candidates eligible only when lagged HY OAS stress is on,9.197588515439419,0.24724115093551524,0.1298756256290905,1.2387642755424824,-0.15797305386243898,1.565084328564097,-0.06875577421997114,-0.0007976513142831099,-1.943906692614128e-05,-0.003229633506963925,0.0,-0.00504928717132791
