scenario,window,eligible_day_rate,eligible_days,rows
baseline,full,0.0,0,3840
baseline,since_2020,0.0,0,2299
baseline,latest_5y,0.0,0,1827
baseline,latest_3y,0.0,0,1097
baseline,latest_1y,0.0,0,366
baseline,2022_shock,0.0,0,304
baseline,2021_2022_infl,0.0,0,730
always_allow_uup_dbmf_kmlm,full,1.0,3840,3840
always_allow_uup_dbmf_kmlm,since_2020,1.0,2299,2299
always_allow_uup_dbmf_kmlm,latest_5y,1.0,1827,1827
always_allow_uup_dbmf_kmlm,latest_3y,1.0,1097,1097
always_allow_uup_dbmf_kmlm,latest_1y,1.0,366,366
always_allow_uup_dbmf_kmlm,2022_shock,1.0,304,304
always_allow_uup_dbmf_kmlm,2021_2022_infl,1.0,730,730
inflation_pressure_only,full,0.34375,1320,3840
inflation_pressure_only,since_2020,0.41539799913005654,955,2299
inflation_pressure_only,latest_5y,0.39627805145046524,724,1827
inflation_pressure_only,latest_3y,0.38742023701002737,425,1097
inflation_pressure_only,latest_1y,0.36885245901639346,135,366
inflation_pressure_only,2022_shock,0.625,190,304
inflation_pressure_only,2021_2022_infl,0.5465753424657535,399,730
credit_stress_only,full,0.027604166666666666,106,3840
credit_stress_only,since_2020,0.046107003044802086,106,2299
credit_stress_only,latest_5y,0.058018609742747675,106,1827
credit_stress_only,latest_3y,0.09662716499544212,106,1097
credit_stress_only,latest_1y,0.16939890710382513,62,366
credit_stress_only,2022_shock,0.0,0,304
credit_stress_only,2021_2022_infl,0.0,0,730
inflation_or_credit,full,0.35625,1368,3840
inflation_or_credit,since_2020,0.4362766420182688,1003,2299
inflation_or_credit,latest_5y,0.4225506294471812,772,1827
inflation_or_credit,latest_3y,0.43117593436645396,473,1097
inflation_or_credit,latest_1y,0.4262295081967213,156,366
inflation_or_credit,2022_shock,0.625,190,304
inflation_or_credit,2021_2022_infl,0.5465753424657535,399,730
inflation_and_credit,full,0.015104166666666667,58,3840
inflation_and_credit,since_2020,0.025228360156589823,58,2299
inflation_and_credit,latest_5y,0.031746031746031744,58,1827
inflation_and_credit,latest_3y,0.0528714676390155,58,1097
inflation_and_credit,latest_1y,0.11202185792349727,41,366
inflation_and_credit,2022_shock,0.0,0,304
inflation_and_credit,2021_2022_infl,0.0,0,730
