ma_window,slope_window,segment,start,end,rows,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,total_return,final_nav,mode,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days,target_vol,vol_window,scale_threshold
60,20,last_1y,2025-05-06,2026-05-06,243,0.7302437896623688,0.18165340301187288,1.1350232138835055,0.20403328617690658,3.8360615593807084,-0.062068609892664384,18.286589885713695,1.1339151051651672,2.1339151051651672,formal,20,0.2,1.03,0.5,,0.225,100,0.1
60,20,last_3y,2023-05-04,2026-05-06,727,0.5888887028524404,0.1730693855220249,0.4789995622710581,0.18715634448566398,2.201787042730339,-0.12648484870811094,3.787011386450288,2.243031503080097,3.243031503080097,formal,20,0.2,1.03,0.5,,0.225,100,0.1
60,20,last_5y,2021-05-06,2026-05-06,1211,0.7009211333721408,0.20998688341702704,0.3598381620694544,0.18200250540417648,1.7910567401404114,-0.1740949065739812,2.0669080397050106,3.6488416944047852,4.648841694404785,formal,20,0.2,1.03,0.5,,0.225,100,0.1
60,20,last_10y,2016-05-04,2026-05-06,2429,0.6793015103470799,0.22353926486432207,0.31747257624601466,0.17901060333825308,1.6370253707055844,-0.17409490657397952,1.823560392969386,14.772756234682621,15.772756234682621,formal,20,0.2,1.03,0.5,,0.225,100,0.1
60,20,full_common,2010-09-29,2026-05-06,3786,0.6763631322511457,0.21684147750453225,0.31471724376181043,0.19247559487931942,1.525551194732024,-0.22565030132970543,1.3947122689721838,70.41958747249863,71.41958747249863,formal,20,0.2,1.03,0.5,,0.225,100,0.1
60,20,last_1y,2025-05-06,2026-05-06,243,0.7353395061728395,0.18364197530864199,1.1362004558146537,0.20413326097688345,3.837000216705946,-0.062068609892664495,18.305556669941375,1.135090930508471,2.135090930508471,formal,20,0.2,1.03,0.5,,0.225,100,0.15
60,20,last_3y,2023-05-04,2026-05-06,727,0.590591947848375,0.1737340664960481,0.47927060750576,0.18719424262204115,2.2023682072675292,-0.12648484870811094,3.7891542931894766,2.244818471371953,3.244818471371953,formal,20,0.2,1.03,0.5,,0.225,100,0.15
60,20,last_5y,2021-05-06,2026-05-06,1211,0.7023000380559609,0.2105116980533666,0.3611079886555353,0.18216799503379272,1.7947586628086256,-0.17409490657398063,2.0742019152759332,3.6705848939925563,4.670584893992556,formal,20,0.2,1.03,0.5,,0.225,100,0.15
60,20,last_10y,2016-05-04,2026-05-06,2429,0.679301169224542,0.22367024633923888,0.31793005866017876,0.17922279928157636,1.6372466007506203,-0.17409490657398063,1.8261881689518367,14.827634169905767,15.827634169905767,formal,20,0.2,1.03,0.5,,0.225,100,0.15
60,20,full_common,2010-09-29,2026-05-06,3786,0.6776696021895493,0.2171699493597352,0.3124486069610286,0.19315363960723883,1.5118858242971278,-0.2256503013297062,1.3846584964426798,68.52104741870723,69.52104741870723,formal,20,0.2,1.03,0.5,,0.225,100,0.15
