target_vol,candidate,window,start,end,rows,ann_return,max_dd
0.1,tv10p0_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.20690114935323467,-0.16770207306474494
0.1,tv10p0_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.21933826925933064,-0.16770207306474583
0.1,tv10p0_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.3090494543212736,-0.12429122088187416
0.1,tv10p0_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.42533348043897856,-0.05570303292479195
0.1,tv10p0_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,0.5827969479289767,-0.03960482272474908
0.125,tv12p5_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.24717142723353192,-0.18214784742991563
0.125,tv12p5_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.262310001028077,-0.18214784742991397
0.125,tv12p5_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.3697773182768118,-0.1417452363816437
0.125,tv12p5_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.5060541013319606,-0.0577439477738757
0.125,tv12p5_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,0.7490151487019086,-0.04946691516927626
0.15,tv15p0_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.2803316706942871,-0.20104701187542973
0.15,tv15p0_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.29488444406696757,-0.20104701187542984
0.15,tv15p0_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.4135650405853877,-0.15873168352033562
0.15,tv15p0_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.569650140821071,-0.05927709258814562
0.15,tv15p0_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,0.9193557532969128,-0.05927709258814551
0.175,tv17p5_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.3101323079454623,-0.21108791873482524
0.175,tv17p5_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.3215489239600302,-0.21108791873482557
0.175,tv17p5_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.45212350016266956,-0.16652134866468382
0.175,tv17p5_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.6239666430581507,-0.06903539479429732
0.175,tv17p5_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,1.0643566552264487,-0.06903539479429732
0.2,tv20p0_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.3333512873876905,-0.22134311046506827
0.2,tv20p0_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,0.3416449706377125,-0.21446542966810755
0.2,tv20p0_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,0.47776497087861847,-0.1648972739479343
0.2,tv20p0_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,0.6636859008085636,-0.07874186158994301
0.2,tv20p0_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,1.1682425039877025,-0.07874186158994301
0.225,tv22p5_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,0.35290417200002233,-0.2343029466699068
