target_vol,candidate,window,start,end,rows,holding_days,holding_day_ratio,held_avg_weight,held_median_weight,all_day_avg_weight,held_avg_scale_raw,cap_hit_ratio_held
22.5%,tv22p5_w80_lev1p5_th0p00,Full,2010-09-29,2026-05-20,3796,1459,0.3843519494204426,1.3442533809243953,1.5,0.5166664074733122,1.3532107473760147,0.5757368060315284
22.5%,tv22p5_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,1392,0.38210266264068077,1.3579775900503013,1.5,0.518886852964595,1.3579775900503013,0.5977011494252874
22.5%,tv22p5_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,863,0.35558302430984756,1.4064041499217101,1.5,0.5000934410310818,1.4064041499217101,0.7415990730011588
22.5%,tv22p5_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,456,0.37654830718414534,1.3914706033482778,1.5,0.5239559001872953,1.3914706033482778,0.75
22.5%,tv22p5_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,244,0.33655172413793105,1.3163265282949828,1.5,0.44301196262617354,1.3163265282949828,0.6885245901639344
22.5%,tv22p5_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,122,0.5020576131687243,1.4234205810675686,1.5,0.7146391394660221,1.4234205810675686,0.7459016393442623
25.0%,tv25p0_w80_lev1p5_th0p00,Full,2010-09-29,2026-05-20,3796,1459,0.3843519494204426,1.3895491589228783,1.5,0.5340759280475447,1.3996851075024468,0.6538725154215216
25.0%,tv25p0_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,1392,0.38210266264068077,1.4037152392349421,1.5,0.5363633305009716,1.4037152392349421,0.6788793103448276
25.0%,tv25p0_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,863,0.35558302430984756,1.4343910539824958,1.5,0.5100451090180856,1.4343910539824958,0.8157589803012746
25.0%,tv25p0_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,456,0.37654830718414534,1.4153785899426556,1.5,0.5329584120675896,1.4153785899426556,0.8267543859649122
25.0%,tv25p0_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,244,0.33655172413793105,1.3436556816841083,1.5,0.4522096363185138,1.3436556816841083,0.7377049180327869
25.0%,tv25p0_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,122,0.5020576131687243,1.4528072579407563,1.5,0.7293929443159353,1.4528072579407563,0.8114754098360656
30.0%,tv30p0_w80_lev1p5_th0p00,Full,2010-09-29,2026-05-20,3796,1459,0.3843519494204426,1.444313661457863,1.5,0.5551247713559069,1.4558745654479763,0.8080877313228239
30.0%,tv30p0_w80_lev1p5_th0p00,15Y,2011-05-20,2026-05-20,3643,1392,0.38210266264068077,1.458143066685352,1.5,0.5571603482915208,1.458143066685352,0.8390804597701149
30.0%,tv30p0_w80_lev1p5_th0p00,10Y,2016-05-20,2026-05-20,2427,863,0.35558302430984756,1.4614164260889573,1.5,0.5196548725648001,1.4614164260889573,0.9188876013904983
30.0%,tv30p0_w80_lev1p5_th0p00,5Y,2021-05-20,2026-05-20,1211,456,0.37654830718414534,1.4365695942544003,1.5,0.5409378488687089,1.4365695942544003,0.9013157894736842
30.0%,tv30p0_w80_lev1p5_th0p00,3Y,2023-05-22,2026-05-20,725,244,0.33655172413793105,1.3814579302459287,1.5,0.46493204824828493,1.3814579302459287,0.8155737704918032
30.0%,tv30p0_w80_lev1p5_th0p00,1Y,2025-05-20,2026-05-20,243,122,0.5020576131687243,1.48745030866413,1.5,0.7467857516749952,1.48745030866413,0.8934426229508197
