mode,ma_window,slope_window,r2_window,r2_threshold,start,end,rows,cagr,max_dd,sharpe,calmar,avg_weight,avg_turnover
formal,60,20,10,0.0,2016-05-04,2026-04-30,2428,0.26966055602177175,-0.2897729132585658,1.1489989562747474,0.9305926940837024,0.9304490253777177,0.26810267445191466
formal,60,20,10,0.1,2016-05-04,2026-04-30,2428,0.14617626379443904,-0.32053333135412077,0.7847425549178346,0.45604075924617504,0.8244958848431703,0.33450704328040615
formal,60,20,10,0.2,2016-05-04,2026-04-30,2428,0.11593448814772955,-0.27486550708609725,0.6666274536230292,0.42178623784691516,0.7474865914384428,0.31830371013712633
formal,60,20,10,0.3,2016-05-04,2026-04-30,2428,0.10319239862267393,-0.24652237135330968,0.629864609868489,0.4185924306024997,0.6725863415845852,0.29328426501910604
formal,60,20,10,0.4,2016-05-04,2026-04-30,2428,0.08656499979999421,-0.273919130249654,0.5635096582093848,0.31602392911038224,0.5979165703558461,0.27591920137052284
formal,60,20,10,0.5,2016-05-04,2026-04-30,2428,0.10433547807857502,-0.23483970488168815,0.6905311977196407,0.4442838068253367,0.5267342396223874,0.24974370029698337
formal,60,20,15,0.0,2016-05-04,2026-04-30,2428,0.26966055602177175,-0.2897729132585658,1.1489989562747474,0.9305926940837024,0.9304490253777177,0.26810267445191466
formal,60,20,15,0.1,2016-05-04,2026-04-30,2428,0.21310729381845817,-0.3032597152381976,1.0478206968030126,0.7027220666321323,0.8691198940649091,0.28948990185501516
formal,60,20,15,0.2,2016-05-04,2026-04-30,2428,0.1935126870609254,-0.3519803716644673,0.9970125128936476,0.5497826090296747,0.8100348861051722,0.27017547179728796
formal,60,20,15,0.3,2016-05-04,2026-04-30,2428,0.19506966729411923,-0.31346426743234934,1.0239437093710497,0.6223027233437968,0.7521932963311947,0.24974842439036096
formal,60,20,15,0.4,2016-05-04,2026-04-30,2428,0.16682209881089594,-0.2954891332019609,0.9241009762990063,0.5645625509242547,0.7047003645658693,0.23339333702716664
formal,60,20,15,0.5,2016-05-04,2026-04-30,2428,0.13797283659628712,-0.2713360949360497,0.8413345123916967,0.5084942223731991,0.6366811215525564,0.22267423391295382
formal,60,20,20,0.0,2016-05-04,2026-04-30,2428,0.26966055602177175,-0.2897729132585658,1.1489989562747474,0.9305926940837024,0.9304490253777177,0.26810267445191466
formal,60,20,20,0.1,2016-05-04,2026-04-30,2428,0.2812440953579105,-0.2305960030556914,1.3406158059033402,1.2196399401163387,0.8193987827932684,0.2621065919872528
formal,60,20,20,0.2,2016-05-04,2026-04-30,2428,0.2924426978401615,-0.19846281242803088,1.4261365514091282,1.473539018531297,0.7621748045011207,0.23801635746005426
formal,60,20,20,0.3,2016-05-04,2026-04-30,2428,0.2735071732884282,-0.17888412398233433,1.3788653105745718,1.5289628123479442,0.726632010329025,0.22138026135129882
formal,60,20,20,0.4,2016-05-04,2026-04-30,2428,0.2157540605178465,-0.20117274702435173,1.1869166542059642,1.072481554828745,0.6939335366885451,0.21286418792441048
formal,60,20,20,0.5,2016-05-04,2026-04-30,2428,0.1692742750902152,-0.19354997635181614,1.0137704091929955,0.8745765733524299,0.6294780790439976,0.19163050900801618
formal,60,20,30,0.0,2016-05-04,2026-04-30,2428,0.26966055602177175,-0.2897729132585658,1.1489989562747474,0.9305926940837024,0.9304490253777177,0.26810267445191466
formal,60,20,30,0.1,2016-05-04,2026-04-30,2428,0.19775273955190142,-0.34342027494826655,1.0386168112466725,0.5758330360130638,0.7505813434824258,0.2661687702705957
formal,60,20,30,0.2,2016-05-04,2026-04-30,2428,0.19137665710259255,-0.2854305895092202,1.067713709971012,0.6704840480890734,0.6721759342839869,0.23143069435037647
formal,60,20,30,0.3,2016-05-04,2026-04-30,2428,0.1611706524529808,-0.29682938710033324,0.9636691467569485,0.5429740431950643,0.6194320882280522,0.21255414385243565
formal,60,20,30,0.4,2016-05-04,2026-04-30,2428,0.17006750989942665,-0.23452173253693964,1.0463523013733067,0.7251673781347289,0.5525878730812541,0.19159699805425304
formal,60,20,30,0.5,2016-05-04,2026-04-30,2428,0.17848518713116523,-0.21560232152119463,1.1496982906934163,0.8278444585932688,0.4915332016508257,0.16733893587028753
