risk_source,variant,window,start,end,days,cagr,vol,sharpe,maxdd,calmar,final_nav
baa10y_long_proxy,baseline,2018_q4,2018-10-03,2018-12-24,57.0,-0.41763466984743125,0.1257811184741007,-4.231275267321229,-0.11586556241791135,-3.604476266563828,0.8848903542826333
baa10y_long_proxy,baseline,2020_crash,2020-02-19,2020-03-23,24.0,-0.4704073390122573,0.1255762745697881,-4.994302532873682,-0.06484122265704317,-7.2547573863670936,0.9412581679795009
baa10y_long_proxy,baseline,2022_bear,2022-01-03,2022-10-14,198.0,0.04480557414216668,0.11879902979830893,0.4281923500076281,-0.08104754114418145,0.5528307646305857,1.03503836869003
baa10y_long_proxy,baseline,2025_tariff,2025-02-14,2025-04-17,44.0,-0.20520583273259219,0.1516469031152863,-1.4390909710066901,-0.09106882779592707,-2.253304865111811,0.9606919441564559
baa10y_long_proxy,suggested_map,2018_q4,2018-10-03,2018-12-24,57.0,-0.3388404170082533,0.11030685897196595,-3.6932229504590333,-0.09027072642533618,-3.7536024182602716,0.9106573470509107
baa10y_long_proxy,suggested_map,2020_crash,2020-02-19,2020-03-23,24.0,-0.27383158922298056,0.08649640468568517,-3.6549774111108015,-0.03897800626024983,-7.025284653982849,0.9699859912963325
baa10y_long_proxy,suggested_map,2022_bear,2022-01-03,2022-10-14,198.0,0.06386973651651529,0.11700563781762995,0.587516186648222,-0.0802130636973124,0.796251054036916,1.0498485267032338
baa10y_long_proxy,suggested_map,2025_tariff,2025-02-14,2025-04-17,44.0,-0.11888027419605507,0.1384465796082282,-0.8458141442332918,-0.07790894672178428,-1.5258873235776234,0.9781442881900414
baa10y_long_proxy,tier_light_3_90_4_70_5_50_6_35,2018_q4,2018-10-03,2018-12-24,57.0,-0.37781892862818955,0.11919920068014123,-3.917984255189713,-0.10249944824342272,-3.686058170097845,0.8982266610580939
baa10y_long_proxy,tier_light_3_90_4_70_5_50_6_35,2020_crash,2020-02-19,2020-03-23,24.0,-0.3652176644591357,0.10019979467034315,-4.482904178420173,-0.049448843951111265,-7.385767497824955,0.9576401919744144
baa10y_long_proxy,tier_light_3_90_4_70_5_50_6_35,2022_bear,2022-01-03,2022-10-14,198.0,0.05206283854618987,0.11853994074820291,0.48727339728013713,-0.08082658114495855,0.6441301587755852,1.0406830072639948
baa10y_long_proxy,tier_light_3_90_4_70_5_50_6_35,2025_tariff,2025-02-14,2025-04-17,44.0,-0.16840930106291774,0.14587181632162477,-1.1919173093757176,-0.08590519704956057,-1.9604087627638962,0.9683134537054776
baa10y_long_proxy,tier_mid_3_80_4_60_5_40_6_25,2018_q4,2018-10-03,2018-12-24,57.0,-0.35743558405939624,0.11457420227871998,-3.8000375012908614,-0.09603015967643092,-3.7221179810984233,0.9047999760960946
baa10y_long_proxy,tier_mid_3_80_4_60_5_40_6_25,2020_crash,2020-02-19,2020-03-23,24.0,-0.32101458629749924,0.09295735919256114,-4.1165567208488705,-0.044222223953071405,-7.259123526626786,0.9637995274135538
baa10y_long_proxy,tier_mid_3_80_4_60_5_40_6_25,2022_bear,2022-01-03,2022-10-14,198.0,0.05791374559352014,0.11778457134607709,0.5367332637055691,-0.0806055903488061,0.7184829903597119,1.0452277191458101
baa10y_long_proxy,tier_mid_3_80_4_60_5_40_6_25,2025_tariff,2025-02-14,2025-04-17,44.0,-0.1439895713889665,0.14211062196129332,-1.0237349399415325,-0.08191361148147103,-1.7578222811179207,0.9732191115038143
baa10y_long_proxy,tier_heavy_3_70_4_50_5_35_6_15,2018_q4,2018-10-03,2018-12-24,57.0,-0.3388404170082533,0.11030685897196595,-3.6932229504590333,-0.09027072642533618,-3.7536024182602716,0.9106573470509107
baa10y_long_proxy,tier_heavy_3_70_4_50_5_35_6_15,2020_crash,2020-02-19,2020-03-23,24.0,-0.27383158922298056,0.08649640468568517,-3.6549774111108015,-0.03897800626024983,-7.025284653982849,0.9699859912963325
baa10y_long_proxy,tier_heavy_3_70_4_50_5_35_6_15,2022_bear,2022-01-03,2022-10-14,198.0,0.06361727077399681,0.11705731818450403,0.5852804965758116,-0.0803845687547321,0.7914114830684064,1.0496527701375038
baa10y_long_proxy,tier_heavy_3_70_4_50_5_35_6_15,2025_tariff,2025-02-14,2025-04-17,44.0,-0.11888027419605507,0.1384465796082282,-0.8458141442332918,-0.07790894672178428,-1.5258873235776234,0.9781442881900414
baa10y_long_proxy,only_4plus_4_70_5_50_6_35,2018_q4,2018-10-03,2018-12-24,57.0,-0.39255912541882076,0.12371665424764286,-3.963877537511045,-0.10742085205492558,-3.65440338546282,0.8933685702490477
baa10y_long_proxy,only_4plus_4_70_5_50_6_35,2020_crash,2020-02-19,2020-03-23,24.0,-0.37202218153159106,0.09977256030403246,-4.610332337128231,-0.049541416905800606,-7.509316542943536,0.9566577637281226
baa10y_long_proxy,only_4plus_4_70_5_50_6_35,2022_bear,2022-01-03,2022-10-14,198.0,0.04659220686073118,0.11946388432513674,0.4407802413189283,-0.081047541144181,0.5748750203025299,1.036428773875878
baa10y_long_proxy,only_4plus_4_70_5_50_6_35,2025_tariff,2025-02-14,2025-04-17,44.0,-0.18556009922698335,0.1488033077548606,-1.3054765909014887,-0.08929099178749555,-2.0781502759942407,0.9647964700044355
baa10y_long_proxy,only_5plus_5_50_6_35,2018_q4,2018-10-03,2018-12-24,57.0,-0.3930565388978895,0.12375639384456202,-3.969170088139043,-0.10758622795805262,-3.65340942198606,0.8932030480827833
baa10y_long_proxy,only_5plus_5_50_6_35,2020_crash,2020-02-19,2020-03-23,24.0,-0.4704073390122573,0.1255762745697881,-4.994302532873682,-0.06484122265704317,-7.2547573863670936,0.9412581679795009
baa10y_long_proxy,only_5plus_5_50_6_35,2022_bear,2022-01-03,2022-10-14,198.0,0.04658436777450414,0.11942512710420322,0.4408223924802044,-0.08104754114418189,0.5747782982290792,1.0364226744015945
baa10y_long_proxy,only_5plus_5_50_6_35,2025_tariff,2025-02-14,2025-04-17,44.0,-0.20520583273259219,0.1516469031152863,-1.4390909710066901,-0.09106882779592707,-2.253304865111811,0.9606919441564559
baa10y_long_proxy,fixed_ge3_90,2018_q4,2018-10-03,2018-12-24,57.0,-0.39850855555595655,0.1208378284945562,-4.142578293078206,-0.1093124819694129,-3.6455905892564453,0.8913818874818707
baa10y_long_proxy,fixed_ge3_90,2020_crash,2020-02-19,2020-03-23,24.0,-0.43331286170579375,0.11706665130564278,-4.789068751020868,-0.05966625759997246,-7.262276521696808,0.9473465787312844
baa10y_long_proxy,fixed_ge3_90,2022_bear,2022-01-03,2022-10-14,198.0,0.05062368732571354,0.11798647811823657,0.47739686703460654,-0.08082658114495778,0.6263247388247549,1.039564312655067
baa10y_long_proxy,fixed_ge3_90,2025_tariff,2025-02-14,2025-04-17,44.0,-0.18183219154953356,0.14778512437475674,-1.2846361435099225,-0.08709495750003915,-2.0877464869243645,0.9655660877238067
baa10y_long_proxy,fixed_ge3_80,2018_q4,2018-10-03,2018-12-24,57.0,-0.3787870474887982,0.11609066541418148,-4.039478912796081,-0.10272152490607389,-3.687513866593706,0.8979103358793927
baa10y_long_proxy,fixed_ge3_80,2020_crash,2020-02-19,2020-03-23,24.0,-0.3937030723129833,0.10899225786011074,-4.53348326438443,-0.054473756654772165,-7.2273897834525975,0.9534619545793862
baa10y_long_proxy,fixed_ge3_80,2022_bear,2022-01-03,2022-10-14,198.0,0.056467360008912504,0.11722161901478206,0.5270692793999933,-0.08060559034880677,0.7005390043613571,1.0441047365085312
baa10y_long_proxy,fixed_ge3_80,2025_tariff,2025-02-14,2025-04-17,44.0,-0.15779753339478086,0.1440114134998891,-1.1212065176739532,-0.08310805010852118,-1.8987033529090303,0.9704596562610985
baa10y_long_proxy,fixed_ge3_70,2018_q4,2018-10-03,2018-12-24,57.0,-0.3584526066732936,0.1115646680973812,-3.9198021378966343,-0.09609252698128123,-3.730285985122651,0.9044758552584016
baa10y_long_proxy,fixed_ge3_70,2020_crash,2020-02-19,2020-03-23,24.0,-0.35141301883383846,0.10145705993872835,-4.2144816005538726,-0.04926369804173314,-7.133305716029342,0.9596043590300345
baa10y_long_proxy,fixed_ge3_70,2022_bear,2022-01-03,2022-10-14,198.0,0.062336669085214735,0.1165053917985102,0.5771531470289527,-0.0803845687547321,0.7754805437274314,1.048659665423827
baa10y_long_proxy,fixed_ge3_70,2025_tariff,2025-02-14,2025-04-17,44.0,-0.13308391026515531,0.14033287540622238,-0.9483377165961046,-0.07910807634065853,-1.6823049734146458,0.975372705722058
baa10y_long_proxy,fixed_ge3_60,2018_q4,2018-10-03,2018-12-24,57.0,-0.3374872062309897,0.1072878302017237,-3.781202894754041,-0.08942532348277155,-3.77395566588036,0.9110786018184767
baa10y_long_proxy,fixed_ge3_60,2020_crash,2020-02-19,2020-03-23,24.0,-0.30626729884819703,0.09459000508412285,-3.8171395322235706,-0.044036060016092726,-6.954920552299034,0.9657738555674047
