risk_source,variant,segment,start,end,days,cagr,vol,sharpe,maxdd,calmar,final_nav,avg_budget,min_budget,avg_base_equity_exposure,avg_effective_equity_exposure,overlay_cost_sum,baseline_cagr,baseline_sharpe,baseline_maxdd,baseline_calmar,baseline_final_nav,delta_cagr,delta_sharpe,delta_maxdd,delta_calmar
baa10y_long_proxy,fixed_ge3_80,available,2008-12-15,2026-05-06,4374.0,0.1916455695797472,0.13625487829722285,1.3553694114825998,-0.11608376364372719,1.6509248456823544,20.974718413633017,0.8390946502057612,0.8,0.5351461039628366,0.4615176939255819,0.0288730355771622,0.20564665652960268,1.363565484186391,-0.13538660717091244,1.5189586387226157,25.689044034499997,-0.014001086949855468,-0.00819607270379108,0.019302843527185254,0.1319662069597387
baa10y_long_proxy,fixed_ge3_70,available,2008-12-15,2026-05-06,4374.0,0.1845995840428738,0.1323947070353224,1.3461344588788335,-0.11279292519972373,1.6366237839474524,18.92310292368749,0.758641975308642,0.7,0.5351461039628366,0.42470348890695453,0.04331433087854504,0.20564665652960268,1.363565484186391,-0.13538660717091244,1.5189586387226157,25.689044034499997,-0.02104707248672888,-0.017431025307557357,0.022593681971188717,0.11766514522483673
baa10y_long_proxy,grid_3_70_4_70_5_60_6_15,available,2008-12-15,2026-05-06,4374.0,0.18397414246701915,0.13238627273459166,1.3422201005281167,-0.11279292519972395,1.6310787413417434,18.750435084364042,0.7327160493827162,0.15,0.5351461039628366,0.42397811470251956,0.044986116465966765,0.20564665652960268,1.363565484186391,-0.13538660717091244,1.5189586387226157,25.689044034499997,-0.021672514062583526,-0.02134538365827421,0.022593681971188495,0.11212010261912764
baa10y_long_proxy,grid_3_70_4_70_5_50_6_15,available,2008-12-15,2026-05-06,4374.0,0.18354379188638914,0.13237624332078823,1.3395634928829012,-0.11342736645013118,1.6181614510734932,18.632490175316452,0.7259030635573847,0.15,0.5351461039628366,0.4235215828313271,0.04585066996516588,0.20564665652960268,1.363565484186391,-0.13538660717091244,1.5189586387226157,25.689044034499997,-0.022102864643213538,-0.024001991303489678,0.02195924072078126,0.09920281235087747
baa10y_long_proxy,grid_3_70_4_60_5_60_6_15,available,2008-12-15,2026-05-06,4374.0,0.18210121523222544,0.1316439559626391,1.337007581757226,-0.11279292519972384,1.614473735030602,18.242206971336426,0.7084133516232282,0.15,0.5351461039628366,0.4166885655295893,0.05215845829667059,0.20564665652960268,1.363565484186391,-0.13538660717091244,1.5189586387226157,25.689044034499997,-0.023545441297377234,-0.026557902429164892,0.022593681971188606,0.09551509630798627
baa10y_long_proxy,fixed_ge3_60,available,2008-12-15,2026-05-06,4374.0,0.17752493512338563,0.12888166830246356,1.332747314432744,-0.11003507735959872,1.613348573775502,17.054476016559395,0.6781893004115226,0.6,0.5351461039628366,0.3878892838883271,0.05775562617992786,0.20564665652960268,1.363565484186391,-0.13538660717091244,1.5189586387226157,25.689044034499997,-0.02812172140621705,-0.03081816975364693,0.025351529811313722,0.09438993505288629
baa10y_long_proxy,grid_3_70_4_60_5_50_6_15,available,2008-12-15,2026-05-06,4374.0,0.1816720014549047,0.13163357809246912,1.3343417890958718,-0.11279292519972361,1.6106684096827544,18.127580370780045,0.7016003657978968,0.15,0.5351461039628366,0.4162320336583968,0.05301641797293488,0.20564665652960268,1.363565484186391,-0.13538660717091244,1.5189586387226157,25.689044034499997,-0.02397465507469798,-0.02922369509051914,0.022593681971188828,0.09170977096013866
baa10y_long_proxy,grid_3_75_4_70_5_60_6_15,available,2008-12-15,2026-05-06,4374.0,0.18633442131506817,0.1338598626470604,1.3438020731192726,-0.11619747986177509,1.6036012272962012,19.40992171366165,0.755647005029721,0.15,0.5351461039628366,0.438487736477659,0.04183757015303569,0.20564665652960268,1.363565484186391,-0.13538660717091244,1.5189586387226157,25.689044034499997,-0.019312235214534512,-0.01976341106711832,0.019189127309137355,0.08464258857358553
baa10y_long_proxy,grid_3_75_4_60_5_60_6_15,available,2008-12-15,2026-05-06,4374.0,0.18445569100545445,0.13312583643887108,1.3385595370379753,-0.11507351447171998,1.6029378424066951,18.88324566748801,0.7313443072702333,0.15,0.5351461039628366,0.43119818730472875,0.04903972076530379,0.20564665652960268,1.363565484186391,-0.13538660717091244,1.5189586387226157,25.689044034499997,-0.02119096552414823,-0.02500594714841564,0.02031309269919246,0.0839792036840794
baa10y_long_proxy,grid_3_70_4_50_5_50_6_15,available,2008-12-15,2026-05-06,4374.0,0.17978354146564146,0.13099633274469555,1.3279743075923138,-0.11279292519972395,1.593925693010411,17.631260248034394,0.6772976680384089,0.15,0.5351461039628366,0.4089424844854666,0.06021856858520297,0.20564665652960268,1.363565484186391,-0.13538660717091244,1.5189586387226157,25.689044034499997,-0.025863115063961217,-0.03559117659407707,0.022593681971188495,0.07496705428779538
