risk_source,variant,segment,start,end,days,cagr,vol,sharpe,maxdd,calmar,final_nav,avg_budget,min_budget,avg_base_equity_exposure,avg_effective_equity_exposure,overlay_cost_sum
baa10y_long_proxy,baseline,available,2008-12-15,2026-05-06,4374.0,0.20564665652960268,0.1449032641397772,1.363565484186391,-0.13538660717091244,1.5189586387226157,25.689044034499997,1.0,1.0,0.5351461039628366,0.5351461039628366,0.0
baa10y_long_proxy,baseline,1Y,2025-05-06,2026-05-06,252.0,0.6151685988701086,0.1814815959835305,2.7349498814779825,-0.12110360917342289,5.079688401269481,1.6151685988701086,1.0,1.0,0.6320149141687066,0.6320149141687066,0.0
baa10y_long_proxy,baseline,3Y,2023-05-08,2026-05-06,752.0,0.421327607091869,0.18030062808868086,2.0414252318615285,-0.12110360917342311,3.4790673041669495,2.855346760012932,1.0,1.0,0.6121841028004197,0.6121841028004197,0.0
baa10y_long_proxy,baseline,5Y,2021-05-06,2026-05-06,1256.0,0.2885284097573615,0.1653294650365941,1.6166523176563556,-0.12110360917342289,2.3824922454968522,3.5377119474547047,1.0,1.0,0.4631254699989088,0.4631254699989088,0.0
baa10y_long_proxy,baseline,10Y,2016-05-06,2026-05-06,2514.0,0.3226909657029473,0.16040495050404496,1.8246196584464214,-0.12110360917342311,2.6645858691201063,16.28140973611005,1.0,1.0,0.5281129784239904,0.5281129784239904,0.0
baa10y_long_proxy,suggested_map,available,2008-12-15,2026-05-06,4374.0,0.1767530959410637,0.12792038885501,1.3366687716971342,-0.11563175306978768,1.5285861473914282,16.86148072659842,0.6379286694101509,0.15,0.5351461039628366,0.38335515784262136,0.04034782045184854
baa10y_long_proxy,suggested_map,1Y,2025-05-06,2026-05-06,252.0,0.5076501014572208,0.15574846133175269,2.7158710324013993,-0.11279292519972384,4.500726446790154,1.5076501014572208,0.6593253968253968,0.5,0.6320149141687066,0.42331206145681605,0.0034695951113354485
baa10y_long_proxy,suggested_map,3Y,2023-05-08,2026-05-06,752.0,0.35747909285614754,0.15861109485198518,2.00721882292241,-0.11279292519972373,3.1693396746573885,2.4893878941755045,0.6886303191489362,0.15,0.6121841028004197,0.437681086003549,0.010170694294956914
baa10y_long_proxy,suggested_map,5Y,2021-05-06,2026-05-06,1256.0,0.2512778043887043,0.1483155796043854,1.5861074653641547,-0.11279292519972361,2.227779835869706,3.056493012947275,0.6499601910828026,0.15,0.4631254699989088,0.33595618760918494,0.013294213667169884
baa10y_long_proxy,suggested_map,10Y,2016-05-06,2026-05-06,2514.0,0.28338510507007686,0.1447597291292917,1.7966654635384105,-0.11279292519972395,2.5124368799575243,12.050082417467406,0.6440731901352427,0.15,0.5281129784239904,0.3848716541087716,0.026878745015963296
baa10y_long_proxy,tier_light_3_90_4_70_5_50_6_35,available,2008-12-15,2026-05-06,4374.0,0.19299595214184273,0.1386557036602925,1.342462467926581,-0.13579525174672924,1.4212275441102913,21.391121402512617,0.8245770461819845,0.35,0.5351461039628366,0.48165783078033636,0.033049974363168075
baa10y_long_proxy,tier_light_3_90_4_70_5_50_6_35,1Y,2025-05-06,2026-05-06,252.0,0.5677621444728362,0.1694842308165331,2.739997794475607,-0.11832728854670282,4.7982350601124875,1.5677621444728362,0.8583333333333335,0.7,0.6320149141687066,0.548958006296917,0.0033109577898197845
baa10y_long_proxy,tier_light_3_90_4_70_5_50_6_35,3Y,2023-05-08,2026-05-06,752.0,0.39258762428647476,0.17182488009146532,2.0143639617666302,-0.11832728854670249,3.3178113781549614,2.68648671159403,0.8794547872340427,0.35,0.6121841028004197,0.5532370985342692,0.008190704792276878
baa10y_long_proxy,tier_light_3_90_4_70_5_50_6_35,5Y,2021-05-06,2026-05-06,1256.0,0.2713275020492263,0.15868961469753143,1.5927304516932785,-0.11832728854670271,2.2930256019695388,3.308509072589963,0.8358678343949044,0.35,0.4631254699989088,0.42165698691421566,0.010710389045331867
baa10y_long_proxy,tier_light_3_90_4_70_5_50_6_35,10Y,2016-05-06,2026-05-06,2514.0,0.3060247198022703,0.15447166824371483,1.806454314022903,-0.11832728854670271,2.586256505670584,14.346739865566434,0.8288186157517902,0.35,0.5281129784239904,0.48046569537254624,0.021917131609512225
baa10y_long_proxy,tier_mid_3_80_4_60_5_40_6_25,available,2008-12-15,2026-05-06,4374.0,0.18597511356401664,0.13465663785919865,1.3343959021394274,-0.12639436117139713,1.47138774103874,19.308136184852074,0.7441243712848651,0.25,0.5351461039628366,0.444843625761709,0.04748893423898239
baa10y_long_proxy,tier_mid_3_80_4_60_5_40_6_25,1Y,2025-05-06,2026-05-06,252.0,0.5381226261535954,0.16242376514474904,2.734183224756313,-0.11555702807819002,4.656771077475984,1.5381226261535954,0.7603174603174602,0.6,0.6320149141687066,0.487270590867327,0.003628232432851116
baa10y_long_proxy,tier_mid_3_80_4_60_5_40_6_25,3Y,2023-05-08,2026-05-06,752.0,0.37424939356135467,0.16609330846602538,1.9981238523305125,-0.11555702807819046,3.2386554049150753,2.582290783749824,0.7971409574468086,0.25,0.6121841028004197,0.5057803043129547,0.01215856863033956
baa10y_long_proxy,tier_mid_3_80_4_60_5_40_6_25,5Y,2021-05-06,2026-05-06,1256.0,0.2612719934694876,0.15432216893492615,1.581865408571307,-0.1155570280781899,2.260978824175903,3.1801208391601015,0.7558519108280254,0.25,0.4631254699989088,0.3891323879578505,0.01588431659733549
baa10y_long_proxy,tier_mid_3_80_4_60_5_40_6_25,10Y,2016-05-06,2026-05-06,2514.0,0.29646563037777574,0.1508495767078101,1.7974029441245158,-0.11555702807819035,2.5655352626166157,13.33292064073145,0.7511336515513126,0.25,0.5281129784239904,0.4467977519379279,0.031168175898285678
baa10y_long_proxy,tier_heavy_3_70_4_50_5_35_6_15,available,2008-12-15,2026-05-06,4374.0,0.17913964686455364,0.13099017400029594,1.3238600144853077,-0.11563226393810977,1.5492185378333085,17.46498155705535,0.6670781893004115,0.15,0.5351461039628366,0.40825768667867784,0.06150550809959941
baa10y_long_proxy,tier_heavy_3_70_4_50_5_35_6_15,1Y,2025-05-06,2026-05-06,252.0,0.5088643011976373,0.1557961851656581,2.720262070196717,-0.11279292519972361,4.511491304056402,1.5088643011976373,0.6623015873015874,0.5,0.6320149141687066,0.42558317543773694,0.003945507075882447
baa10y_long_proxy,tier_heavy_3_70_4_50_5_35_6_15,3Y,2023-05-08,2026-05-06,752.0,0.3560297654898248,0.160717627956311,1.9763383393450995,-0.11279292519972384,3.156490221876935,2.481465013148698,0.7151595744680852,0.15,0.6121841028004197,0.45832351009164024,0.01612643246840224
baa10y_long_proxy,tier_heavy_3_70_4_50_5_35_6_15,5Y,2021-05-06,2026-05-06,1256.0,0.25121627239461963,0.15023312648963388,1.5674406410888506,-0.11279292519972395,2.2272343052526353,3.0557439519042786,0.6799363057324841,0.15,0.4631254699989088,0.35663810967447357,0.021052659815477142
baa10y_long_proxy,tier_heavy_3_70_4_50_5_35_6_15,10Y,2016-05-06,2026-05-06,2514.0,0.28711649949306106,0.14752131775805796,1.7854688160166146,-0.11279292519972339,2.5455186926366298,12.404196186500998,0.677247414478918,0.15,0.5281129784239904,0.4133290490641612,0.04023273489764395
baa10y_long_proxy,only_4plus_4_70_5_50_6_35,available,2008-12-15,2026-05-06,4374.0,0.19763221541295017,0.14216488585974585,1.340105551109905,-0.14707600334034754,1.3437420852102628,22.880823576155972,0.8704389574759945,0.35,0.5351461039628366,0.5106770743306152,0.02682205432603793
baa10y_long_proxy,only_4plus_4_70_5_50_6_35,1Y,2025-05-06,2026-05-06,252.0,0.5890561077614818,0.17497484597589205,2.7366453166658693,-0.121103609173423,4.864067320387955,1.5890561077614818,0.9345238095238095,0.7,0.6320149141687066,0.5999606755054075,0.0044905247201826775
baa10y_long_proxy,only_4plus_4_70_5_50_6_35,3Y,2023-05-08,2026-05-06,752.0,0.4058850991839029,0.17682594194764326,2.0161431980421924,-0.12110360917342344,3.35155245953624,2.7637647525212192,0.9444813829787234,0.35,0.6121841028004197,0.5949487877331656,0.006334305152634964
baa10y_long_proxy,only_4plus_4_70_5_50_6_35,5Y,2021-05-06,2026-05-06,1256.0,0.2777834116073159,0.16241876261902632,1.5910680468812173,-0.12110360917342289,2.293766581386722,3.3930982188696657,0.8841162420382166,0.35,0.4631254699989088,0.449788368025447,0.008299717888043394
baa10y_long_proxy,only_4plus_4_70_5_50_6_35,10Y,2016-05-06,2026-05-06,2514.0,0.31250371711396796,0.1575233505831813,1.8059373666879799,-0.12110360917342289,2.5804657618953053,15.072784941964152,0.8717382657120128,0.35,0.5281129784239904,0.5075992428997903,0.018514706338389492
baa10y_long_proxy,only_5plus_5_50_6_35,available,2008-12-15,2026-05-06,4374.0,0.20320107141591737,0.14481320386274127,1.3502913823021312,-0.1510450744470977,1.3453008789577372,24.79943505193647,0.9433470507544583,0.35,0.5351461039628366,0.5325457218494057,0.005712667207216762
baa10y_long_proxy,only_5plus_5_50_6_35,1Y,2025-05-06,2026-05-06,252.0,0.6151685988701086,0.1814815959835305,2.7349498814779825,-0.12110360917342289,5.079688401269481,1.6151685988701086,1.0,1.0,0.6320149141687066,0.6320149141687066,0.0
baa10y_long_proxy,only_5plus_5_50_6_35,3Y,2023-05-08,2026-05-06,752.0,0.421327607091869,0.18030062808868086,2.0414252318615285,-0.12110360917342311,3.4790673041669495,2.855346760012932,0.9923537234042553,0.35,0.6121841028004197,0.6121841028004197,0.0
baa10y_long_proxy,only_5plus_5_50_6_35,5Y,2021-05-06,2026-05-06,1256.0,0.2885728623898651,0.16539722483737468,1.616267364867344,-0.121103609173423,2.3828593083185696,3.5383202853907667,0.951234076433121,0.35,0.4631254699989088,0.46275509831196965,0.00011208279599518527
baa10y_long_proxy,only_5plus_5_50_6_35,10Y,2016-05-06,2026-05-06,2514.0,0.3202520873117396,0.1603255804500616,1.8139195900925988,-0.12110360917342311,2.6444470936711006,15.984381831401953,0.9457239459029436,0.35,0.5281129784239904,0.5259096282065148,0.002358072047419415
baa10y_long_proxy,fixed_ge3_90,available,2008-12-15,2026-05-06,4374.0,0.1986618348247271,0.1404335734407713,1.3610032367232048,-0.12572278212123134,1.5801578001444676,23.224666002992752,0.9195473251028808,0.9,0.5351461039628366,0.49833189894420926,0.014431740275779373
baa10y_long_proxy,fixed_ge3_90,1Y,2025-05-06,2026-05-06,252.0,0.5849591869027668,0.173746930149676,2.739919465962641,-0.11832728854670227,4.943569603320125,1.5849591869027668,0.9019841269841271,0.9,0.6320149141687066,0.5703274987391165,0.0003172746430313321
baa10y_long_proxy,fixed_ge3_90,3Y,2023-05-08,2026-05-06,752.0,0.40279499790459106,0.1741030273270258,2.032285590556685,-0.11832728854670227,3.4040752801126937,2.7456766122575114,0.9176861702127661,0.9,0.6121841028004197,0.5647273085791052,0.003967834690520235
baa10y_long_proxy,fixed_ge3_90,5Y,2021-05-06,2026-05-06,1256.0,0.2784544301116856,0.16057917661799673,1.610719788632011,-0.11832728854670271,2.3532562398045833,3.401988532934984,0.919984076433121,0.9,0.4631254699989088,0.43060087104254363,0.005169640007094854
baa10y_long_proxy,fixed_ge3_90,10Y,2016-05-06,2026-05-06,2514.0,0.31313178050369017,0.15633401703062325,1.8215466500965038,-0.11832728854670227,2.64631924173688,15.144894705719219,0.9223150357995228,0.9,0.5281129784239904,0.49444503498937203,0.009246756743864685
baa10y_long_proxy,fixed_ge3_80,available,2008-12-15,2026-05-06,4374.0,0.1916455695797472,0.13625487829722285,1.3553694114825998,-0.11608376364372719,1.6509248456823544,20.974718413633017,0.8390946502057612,0.8,0.5351461039628366,0.4615176939255819,0.0288730355771622
baa10y_long_proxy,fixed_ge3_80,1Y,2025-05-06,2026-05-06,252.0,0.5551296948283604,0.1663575363979709,2.7396554221800278,-0.11555702807818968,4.803945757870663,1.5551296948283604,0.8039682539682539,0.8,0.6320149141687066,0.5086400833095264,0.0006345492860626639
baa10y_long_proxy,fixed_ge3_80,3Y,2023-05-08,2026-05-06,752.0,0.384378466200878,0.16821234381998965,2.0187825213308153,-0.1155570280781899,3.32630972424104,2.639504250046896,0.835372340425532,0.8,0.6121841028004197,0.5172705143577908,0.007935698528582915
baa10y_long_proxy,fixed_ge3_80,5Y,2021-05-06,2026-05-06,1256.0,0.2683811996342367,0.1560766031718561,1.6018796755426963,-0.11555702807819013,2.3225000166380196,3.2704694380144415,0.839968152866242,0.8,0.4631254699989088,0.3980762720861785,0.010339309161732153
baa10y_long_proxy,fixed_ge3_80,10Y,2016-05-06,2026-05-06,2514.0,0.30356786351200316,0.15252492180782093,1.8151899184985871,-0.1155570280781899,2.6269961123143335,14.079757555523688,0.8446300715990452,0.8,0.5281129784239904,0.4607770915547537,0.018493542635271816
baa10y_long_proxy,fixed_ge3_70,available,2008-12-15,2026-05-06,4374.0,0.1845995840428738,0.1323947070353224,1.3461344588788335,-0.11279292519972373,1.6366237839474524,18.92310292368749,0.758641975308642,0.7,0.5351461039628366,0.42470348890695453,0.04331433087854504
baa10y_long_proxy,fixed_ge3_70,1Y,2025-05-06,2026-05-06,252.0,0.5256801789639107,0.15936144880900063,2.732607316981144,-0.11279292519972361,4.660577585279248,1.5256801789639107,0.7059523809523811,0.7,0.6320149141687066,0.4469526678799362,0.0009518239290939966
baa10y_long_proxy,fixed_ge3_70,3Y,2023-05-08,2026-05-06,752.0,0.36607986702654793,0.16266190773318118,2.0001084666318665,-0.11279292519972384,3.2455924551856934,2.536751106082586,0.7530585106382978,0.7,0.6121841028004197,0.46981372013647626,0.0119035623666456
baa10y_long_proxy,fixed_ge3_70,5Y,2021-05-06,2026-05-06,1256.0,0.2583099795144457,0.1518437679278389,1.5896859979584328,-0.1127929251997235,2.2901257242602204,3.143071596430959,0.759952229299363,0.7,0.4631254699989088,0.36555167312981335,0.01550897831636946
baa10y_long_proxy,fixed_ge3_70,10Y,2016-05-06,2026-05-06,2514.0,0.29400037125423384,0.14899772971165057,1.8050880073226296,-0.11279292519972384,2.6065497524214725,13.082143376156406,0.766945107398568,0.7,0.5281129784239904,0.42710914812013545,0.02774032852667896
baa10y_long_proxy,fixed_ge3_60,available,2008-12-15,2026-05-06,4374.0,0.17752493512338563,0.12888166830246356,1.332747314432744,-0.11003507735959872,1.613348573775502,17.054476016559395,0.6781893004115226,0.6,0.5351461039628366,0.3878892838883271,0.05775562617992786
baa10y_long_proxy,fixed_ge3_60,1Y,2025-05-06,2026-05-06,252.0,0.496610546717533,0.1528126932976027,2.7169366002908544,-0.11003507735959828,4.513202140937233,1.496610546717533,0.6079365079365079,0.6,0.6320149141687066,0.38526525245034615,0.0012690985721253284
baa10y_long_proxy,fixed_ge3_60,3Y,2023-05-08,2026-05-06,752.0,0.3479009817472827,0.15748767981814854,1.9753864677380628,-0.11003507735959817,3.161727969803039,2.4373388195891708,0.6707446808510638,0.6,0.6121841028004197,0.42235692591516194,0.015871426204708283
baa10y_long_proxy,fixed_ge3_60,5Y,2021-05-06,2026-05-06,1256.0,0.24824201144274438,0.147903816589254,1.5736712053713127,-0.11003507735959794,2.256026145476156,3.019711300957357,0.679936305732484,0.6,0.4631254699989088,0.3330270741734482,0.020678647471006756
baa10y_long_proxy,fixed_ge3_60,10Y,2016-05-06,2026-05-06,2514.0,0.2844304466959773,0.14577288704056526,1.790776420940253,-0.11003507735959872,2.584907045291094,12.148357667932558,0.6892601431980906,0.6,0.5281129784239904,0.39344120468551713,0.03698711441808608
baa10y_long_proxy,grid_3_90_4_80_5_60_6_15,available,2008-12-15,2026-05-06,4374.0,0.1952305979848834,0.1394770108162536,1.3488062389539337,-0.13446671475746963,1.4518879139496366,22.09735364905843,0.8487425697302242,0.15,0.5351461039628366,0.48930615097600727,0.02531549139334546
baa10y_long_proxy,grid_3_90_4_80_5_60_6_15,1Y,2025-05-06,2026-05-06,252.0,0.5763716702772372,0.17150263290759196,2.741761514041484,-0.11832728854670249,4.8709953329975075,1.5763716702772372,0.8801587301587303,0.8,0.6320149141687066,0.5596427525180168,0.0018141162164255571
baa10y_long_proxy,grid_3_90_4_80_5_60_6_15,3Y,2023-05-08,2026-05-06,752.0,0.3976962347827886,0.17290918724945376,2.024024388620325,-0.1183272885467026,3.3609849398841067,2.7160030048969337,0.8947473404255321,0.15,0.6121841028004197,0.5589822035566872,0.006079269741398555
