rule,full_annual,full_vol,full_sharpe,full_max_dd,full_calmar,full_total_return,full_annual_delta,full_max_dd_delta,full_sharpe_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_calmar,last_10y_total_return,last_10y_annual_delta,last_10y_max_dd_delta,last_10y_sharpe_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_annual_delta,last_5y_max_dd_delta,last_5y_sharpe_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_annual_delta,last_3y_max_dd_delta,last_3y_sharpe_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_calmar,last_1y_total_return,last_1y_annual_delta,last_1y_max_dd_delta,last_1y_sharpe_delta,family,source,ma,days,scale,trigger_days,threshold,robust_pass,score_3_5_10
baseline,21.41322540907438,19.8449432094915,1.1125941933885626,-40.96237550251829,0.5227535060254973,6772.6719390104745,0.0,0.0,0.0,34.28747790886526,20.522865950393676,1.5918505920691672,-20.006213687351384,1.713841431701941,1804.712183378651,0.0,0.0,0.0,37.465817065518614,21.224681726099487,1.6639915424325564,-17.372000717543436,2.156678305204251,389.9167484646412,0.0,0.0,0.0,34.72414914371071,21.82057318226322,1.5290739285666899,-17.372000717543436,1.9988572248125622,144.58225736817803,0.0,0.0,0.0,30.3042755327662,20.168749305342033,1.4608154279071561,-15.707665516652881,1.9292666692347347,30.28066930939164,0.0,0.0,0.0,,,,,,,,False,
broad_consec_below:sh_comp:ma10:days2:scale0.00,7.109026459972356,15.593766965372701,0.5341470401062114,-37.71988211171647,0.18846894693141591,346.9441739530898,-14.304198949102023,3.242493390801819,-0.5784471532823512,10.891746628774657,16.033021175480968,0.7481299023094624,-24.493708431107475,0.4446752789357912,181.06569960766527,-23.395731280090608,-4.487494743756091,-0.8437206897597048,8.513052311885128,16.80369255463026,0.5884325726213875,-24.493708431107386,0.34756077610009517,50.38043049652645,-28.95276475363349,-7.12170771356395,-1.075558969811169,16.17612101935382,17.786779916555624,0.9645131433245447,-18.079637968686324,0.8947148746767292,56.81773813567097,-18.548028124356893,-0.7076372511428879,-0.5645607852421451,21.721207360873173,16.124455136551013,1.3439068440986932,-17.413985937883236,1.2473426496583873,21.70483208138114,-8.583068171893029,-1.7063204212303553,-0.11690858380846292,broad_consec_below,sh_comp,10.0,2.0,0.0,2078.0,,False,-2.3038060561870104
broad_consec_below:sh_comp:ma10:days2:scale0.25,10.673687155193301,15.868659306906876,0.7415151947587855,-36.468606955461134,0.2926815155903543,812.5019136275153,-10.739538253881078,4.493768547057158,-0.3710789986297771,16.5065341700791,16.31191772197365,1.052156248245506,-17.680204213373706,0.933616714539597,360.50075340404806,-17.780943738786164,2.3260094739776775,-0.5396943438236612,15.303120916456315,17.075208543059894,0.9513177619510883,-17.680204213373774,0.8655511402340381,103.6218418613411,-22.1626961490623,-0.30820349583033746,-0.7126737804814681,20.738488107932085,18.021468935173164,1.1767507102821932,-17.68020421337384,1.172977860303495,76.03264730243815,-13.985661035778627,-0.30820349583040496,-0.35232321828449664,23.982774257291496,16.34426182489169,1.4448241752297588,-16.479210889568062,1.4553351139206223,23.964532696505426,-6.321501275474706,-0.7715453729151811,-0.015991252677397316,broad_consec_below,sh_comp,10.0,2.0,0.25,2078.0,,False,-1.5867603546296198
broad_consec_below:sh_comp:ma10:days2:scale0.50,14.250105947569747,16.72708974040558,0.9089655619016367,-35.805651839743135,0.3979848212608877,1725.4134732766222,-7.163119461504632,5.156723662775157,-0.2036286314869259,22.279871125094285,17.21708862528917,1.2970299523269417,-17.426922617551355,1.2784742099362587,646.7770729211369,-12.007606783770978,2.5792910698000284,-0.2948206397422255,22.38943781726035,17.962184558623054,1.2582523368315932,-17.426922617551277,1.284761418215695,174.2705531676928,-15.076379248258263,-0.05492190000784092,-0.4057392056009632,25.3548070675774,18.82002367438865,1.3421231035533758,-17.426922617551277,1.4549216533527076,97.01085340013593,-9.36934207613331,-0.05492190000784092,-0.18695082501331406,26.170214831516468,17.14540140081622,1.4908778997782448,-16.202363293952736,1.6152097293907777,26.15014131200102,-4.134060701249734,-0.4946977772998551,0.03006247187108868,broad_consec_below,sh_comp,10.0,2.0,0.5,2078.0,,False,-0.9935321902835076
broad_consec_below:sh_comp:ma10:days2:scale0.75,17.832093484509958,18.086618768672597,1.030698677963182,-36.80830018572383,0.4844584888336183,3478.109714416835,-3.5811319245644206,4.1540753167944615,-0.08189551542538065,28.208230449501357,18.65810800192867,1.4738880825094727,-17.415184129325223,1.6197491935788293,1098.7148176164872,-6.079247459363906,2.591029558026161,-0.11796250955969456,29.775907129512458,19.38066457738531,1.4942147356298205,-17.231105790457825,1.7280322860069517,267.5133099733667,-7.689909936006156,0.14089492708561124,-0.16977680680273588,30.018873750161966,20.11574826281327,1.4571478655954662,-17.23110579045778,1.7421327519668401,119.83519978889294,-4.705275393548746,0.14089492708565743,-0.07192606297122373,28.27888329915944,18.45281576348252,1.4908896414097985,-15.945138166769912,1.7735113363955275,28.257019233816028,-2.0253922336067625,-0.23747265011703078,0.03007421350264239,broad_consec_below,sh_comp,10.0,2.0,0.75,2078.0,,False,-0.4621546031205014
broad_consec_below:sh_comp:ma10:days3:scale0.00,9.842354398280783,16.850180039816745,0.6614467303735162,-40.4134540090447,0.24354152941438817,674.1832208735309,-11.570871010793596,0.5489214934735926,-0.4511474630150464,15.30091380612788,17.241409169878715,0.9418795900136671,-22.372102992526255,0.6839282749252221,315.0243321717145,-18.986564102737383,-2.3658893051748713,-0.6499710020555002,14.244391508384812,17.66013901380427,0.8712125628926163,-20.05929507336477,0.7101142615574197,94.45457789845682,-23.221425557133802,-2.687294355821333,-0.7927789795399401,21.4272411006146,18.568808942834323,1.1792940586558802,-18.395246971970213,1.164824866622579,79.0630981317662,-13.29690804309611,-1.0232462544267769,-0.34977986991080967,32.502431147620015,17.309000341079432,1.7718093266213446,-14.508017355346558,2.2403082620825567,32.47690980960493,2.198155614853814,1.1996481613063228,0.3109938987141885,broad_consec_below,sh_comp,10.0,3.0,0.0,1595.0,,False,-1.7675289865921628
broad_consec_below:sh_comp:ma10:days3:scale0.25,12.74255460731235,17.031557050305167,0.8148622811801282,-38.841678869556475,0.32806395032784674,1266.4508855464321,-8.670670801762029,2.120696632961817,-0.2977319122084344,19.9184857529209,17.436602385841933,1.1668759023426651,-19.697202301036643,1.0112342579673161,514.5219377982731,-14.368992155944362,0.3090113863147401,-0.4249746897265021,19.80748848409235,17.873850809484967,1.1395327885860906,-18.003640738285654,1.100193498194547,146.56779238170566,-17.658328581426264,-0.6316400207422177,-0.5244587538464658,24.774667454288533,18.753662992890916,1.3204565485348971,-18.003640738285608,1.3760920812868707,94.28758864405904,-9.949481689422178,-0.6316400207421715,-0.20861738003179275,32.080180102642956,17.48760784277686,1.7365353781228954,-14.595301931579819,2.1979798878453587,32.05502859337166,1.7759045698767544,1.1123635850730622,0.27571995021573925,broad_consec_below,sh_comp,10.0,3.0,0.25,1595.0,,False,-1.246018770944869
broad_consec_below:sh_comp:ma10:days3:scale0.50,15.640351882025838,17.61908418856571,0.942821105003409,-37.312694641157385,0.4191697231315454,2276.1839040714485,-5.7728735270485405,3.649680861360906,-0.1697730883851536,24.624307157108838,18.08143359532553,1.352419969745728,-18.632102285914698,1.321606482147968,802.8902219180139,-9.663170751756425,1.3741114014366858,-0.23943062232343926,25.5330829208265,18.57687139896417,1.3646287646996536,-17.655654906334085,1.4461702528897036,211.30249860370012,-11.932734144692112,-0.2836541887906492,-0.2993627777329029,28.109866694637397,19.38768332083558,1.4251160173192219,-17.655654906334096,1.5921169077989157,110.29133308822567,-6.614282449073315,-0.28365418879065984,-0.103957911247468,31.5721183499293,18.04848289648923,1.665891384950781,-14.950260700197827,2.1118105552173767,31.547410602853333,1.2678428171630998,0.757404816455054,0.2050759570436249,broad_consec_below,sh_comp,10.0,3.0,0.5,1595.0,,False,-0.7817877401885095
broad_consec_below:sh_comp:ma10:days3:scale0.75,18.531893567159898,18.574494285155602,1.0414985828310626,-37.42611463940305,0.49515942933731905,3971.168057476634,-2.8813318419144807,3.5362608631152384,-0.07109561055750002,29.4151444940264,19.13075559484679,1.4929548108082393,-19.221690095233335,1.5303099960664164,1216.4098339118916,-4.872333414838863,0.7845235921180489,-0.0988957812609279,31.41979250609723,19.71719012852226,1.5384452254037082,-17.351987940828018,1.8107315780325464,291.3568285244733,-6.046024559421383,0.020012776715418568,-0.12554631702884822,31.4280007073946,20.429342572978783,1.4928032435417884,-17.35198794082796,1.8112046190077626,127.06225244911766,-3.2961484363161127,0.02001277671547541,-0.036270685024901494,30.97964069308896,18.957852151565476,1.5700689832246095,-15.321128920091176,2.022020756738375,30.955448745639845,0.6753651603227588,0.38653659656170447,0.1092535553174534,broad_consec_below,sh_comp,10.0,3.0,0.75,1595.0,,False,-0.3682395789757076
broad_consec_below:sh_comp:ma10:days5:scale0.00,14.613816868340624,18.05605835844346,0.8730680837700227,-42.047575860269106,0.34755432553126725,1856.3892558558389,-6.799408540733754,-1.0852003577508142,-0.23952610961853993,20.21782990042551,18.59211919702551,1.1193908141089386,-21.80634948215149,0.9271533466421703,530.0288348884951,-14.069648008439753,-1.8001357948001058,-0.47245977796022864,20.1998479403249,19.00520406832816,1.1004957972328997,-21.80634948215141,0.9263287262665657,150.62671976193332,-17.265969125193713,-4.434348764607975,-0.5634957451996567,24.68828206583695,19.757875639940313,1.2594424546864762,-21.806349482151422,1.1321602492908958,93.88424200364376,-10.03586707787376,-4.434348764607986,-0.2696314738802137,31.08244804297835,18.517617376991446,1.607284660048453,-15.684093116834653,1.9817816568313882,31.05816672462154,0.7781725102121477,0.023572399818228007,0.1464692321412968,broad_consec_below,sh_comp,10.0,5.0,0.0,971.0,,False,-1.1592613731889418
