mode,ma_window,slope_window,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days,start,end,rows,cagr,max_dd,sharpe,calmar,avg_weight,avg_turnover
formal,60,20,20,0.2,1.0,0.5,,2016-05-04,2026-04-30,2428,0.2613745953230291,-0.20231974931995944,1.4136865789829722,1.291888687098347,0.6980346330381066,0.22939236801453153
formal,60,20,20,0.2,1.0,0.5,0.0,2016-05-04,2026-04-30,2428,0.2593049809721435,-0.23981583967860676,1.275382192616941,1.0812671144643966,0.712103928495065,0.2313518179161157
formal,60,20,20,0.2,1.0,0.5,3.0,2016-05-04,2026-04-30,2428,0.2625481610261211,-0.20261598473697084,1.419873843893176,1.2957919453736693,0.7035162137263097,0.22939024038638642
formal,60,20,20,0.2,1.0,0.5,5.0,2016-05-04,2026-04-30,2428,0.2611681249634139,-0.20231974931995944,1.4127635107719192,1.2908681719963406,0.7000308223650088,0.22939236801453158
formal,60,20,20,0.2,1.0,0.5,10.0,2016-05-04,2026-04-30,2428,0.2613745953230291,-0.20231974931995944,1.4136865789829722,1.291888687098347,0.6980346330381066,0.22939236801453153
formal,60,20,20,0.2,1.0,1.0,,2016-05-04,2026-04-30,2428,0.27320322965386223,-0.23987311235265252,1.3065124967065327,1.1389489508611912,0.7542963937259763,0.24509958083115413
formal,60,20,20,0.2,1.03,0.5,,2016-05-04,2026-04-30,2428,0.2719703959832771,-0.19846281242803088,1.4599851166663962,1.3703846713444237,0.6960024202331083,0.22010098320165383
formal,60,20,20,0.2,1.03,0.5,0.0,2016-05-04,2026-04-30,2428,0.2681500125473162,-0.23572148816198346,1.3097242308994834,1.1375713543902644,0.7088579429321187,0.2220086478312581
formal,60,20,20,0.2,1.03,0.5,3.0,2016-05-04,2026-04-30,2428,0.2731770634086115,-0.19876048020005865,1.4662829296973734,1.3744033176698416,0.7014840954415293,0.22009850428785208
formal,60,20,20,0.2,1.03,0.5,5.0,2016-05-04,2026-04-30,2428,0.2717621514397157,-0.19846281242803088,1.4590631508986498,1.369335383868278,0.6979990154769473,0.22010098320165386
formal,60,20,20,0.2,1.03,0.5,10.0,2016-05-04,2026-04-30,2428,0.2719703959832771,-0.19846281242803088,1.4599851166663962,1.3703846713444237,0.6960024202331083,0.22010098320165383
formal,60,20,20,0.2,1.03,1.0,,2016-05-04,2026-04-30,2428,0.28217391777146994,-0.2352048267420489,1.33983948140894,1.1996944181801696,0.7511062375205173,0.23511360037549364
formal,60,20,20,0.2,1.06,0.5,,2016-05-04,2026-04-30,2428,0.2707390241803256,-0.19846281242803132,1.4521953126885168,1.3641801245686964,0.6959713102135843,0.21659830807575775
formal,60,20,20,0.2,1.06,0.5,0.0,2016-05-04,2026-04-30,2428,0.27019334526902705,-0.23572148816198468,1.2831013335513184,1.146239773793358,0.7183376585457761,0.2223982505510986
formal,60,20,20,0.2,1.06,0.5,3.0,2016-05-04,2026-04-30,2428,0.2719535159040425,-0.19876048020005843,1.458502976774513,1.3682474284139032,0.7014738289719953,0.21659663548692817
formal,60,20,20,0.2,1.06,0.5,5.0,2016-05-04,2026-04-30,2428,0.2705300957414847,-0.19846281242803132,1.4512710874981753,1.3631273911307045,0.6979769469490931,0.21659830807575775
formal,60,20,20,0.2,1.06,0.5,10.0,2016-05-04,2026-04-30,2428,0.2707390241803256,-0.19846281242803132,1.4521953126885168,1.3641801245686964,0.6959713102135843,0.21659830807575775
formal,60,20,20,0.2,1.06,1.0,,2016-05-04,2026-04-30,2428,0.28035572370819883,-0.23520482674204934,1.3321392957012146,1.1919641598837882,0.7504354887985868,0.23146998507532232
formal,60,20,20,0.2,1.1,0.5,,2016-05-04,2026-04-30,2428,0.2659813879075221,-0.19846281242803054,1.4302718670745511,1.3402076925820858,0.699192538424355,0.21497628593904
formal,60,20,20,0.2,1.1,0.5,0.0,2016-05-04,2026-04-30,2428,0.26180406257326605,-0.23572148816198446,1.2821544178171036,1.1106499649847705,0.7123451982117008,0.2163966817771167
formal,60,20,20,0.2,1.1,0.5,3.0,2016-05-04,2026-04-30,2428,0.26727963154494705,-0.19876048020005777,1.43710973040085,1.3447322690905301,0.704606533163006,0.21463918759888484
formal,60,20,20,0.2,1.1,0.5,5.0,2016-05-04,2026-04-30,2428,0.2657734349405343,-0.19846281242803054,1.4293487410533363,1.3391598742807946,0.7011956496649577,0.21497628593903992
formal,60,20,20,0.2,1.1,0.5,10.0,2016-05-04,2026-04-30,2428,0.2659813879075221,-0.19846281242803054,1.4302718670745511,1.3402076925820858,0.699192538424355,0.21497628593904
formal,60,20,20,0.2,1.1,1.0,,2016-05-04,2026-04-30,2428,0.27831092986483563,-0.23520482674204923,1.3212383042966809,1.183270486919306,0.7581698643023858,0.23030766468965352
