candidate,period,days,cagr,max_dd,sharpe,total_return
baseline_uniform_160,P1_2003_2012,2356,0.1349292359252583,-0.20681096023783535,0.7959877934182549,2.269993910532871
baseline_uniform_160,P2_2013_2016,1267,0.08779122685054253,-0.20218184438763237,0.5833848764735733,0.39952962160608085
baseline_uniform_160,P3_2017_2020,1461,0.2492347565179467,-0.11005131889283694,1.3193368306321114,1.4339499198494354
baseline_uniform_160,P4_2021_2026,1903,0.08921290178742858,-0.19472603451751297,0.4693042727063653,0.5604892637945003
stable_A_eq200_ra120_bd80_btc120_thr00,P1_2003_2012,2356,0.1553127589378238,-0.20674320896753431,0.9188589880666523,2.8628923321182556
stable_A_eq200_ra120_bd80_btc120_thr00,P2_2013_2016,1267,0.13350238065264697,-0.11757987342927909,0.9555501140609792,0.6496497492715754
stable_A_eq200_ra120_bd80_btc120_thr00,P3_2017_2020,1461,0.05798589107851826,-0.0845708020223551,0.7237317326141969,0.2527155902404836
stable_A_eq200_ra120_bd80_btc120_thr00,P4_2021_2026,1903,0.11187278188926242,-0.11547603859047811,0.7165397059478218,0.7371085720161132
stable_B_eq200_ra120_bd100_btc120_thr00,P1_2003_2012,2356,0.1520161436273939,-0.20674323320344415,0.8995608389051224,2.7609357801245356
stable_B_eq200_ra120_bd100_btc120_thr00,P2_2013_2016,1267,0.11924105817089337,-0.11757987342927909,0.8653839616632395,0.5682909720205678
stable_B_eq200_ra120_bd100_btc120_thr00,P3_2017_2020,1461,0.06148379157705475,-0.08607853245138136,0.72028830055295,0.2693533142425557
stable_B_eq200_ra120_bd100_btc120_thr00,P4_2021_2026,1903,0.09807522501444255,-0.11876652745162179,0.6353235369149038,0.627748276359489
stable_C_eq200_ra120_bd80_btc60_thr05,P1_2003_2012,2356,0.1553127589378238,-0.20674320896753431,0.9188589880666523,2.8628923321182556
stable_C_eq200_ra120_bd80_btc60_thr05,P2_2013_2016,1267,0.13350238065264697,-0.11757987342927909,0.9555501140609792,0.6496497492715754
stable_C_eq200_ra120_bd80_btc60_thr05,P3_2017_2020,1461,0.05798589107851826,-0.0845708020223551,0.7237317326141969,0.2527155902404836
stable_C_eq200_ra120_bd80_btc60_thr05,P4_2021_2026,1903,0.1079123178681447,-0.1089377487516794,0.7221447311930401,0.7051281546466182
legacy_candidate_eq200_ra140_bd100_btc120_thr00,P1_2003_2012,2356,0.14648488751884492,-0.20674323320344415,0.8649006343330936,2.5952564241232197
legacy_candidate_eq200_ra140_bd100_btc120_thr00,P2_2013_2016,1267,0.11172934674606427,-0.11792393077997489,0.826366713082458,0.5266672984920775
legacy_candidate_eq200_ra140_bd100_btc120_thr00,P3_2017_2020,1461,0.053492447416542355,-0.09035610659825491,0.6195164127733795,0.23158316680803592
legacy_candidate_eq200_ra140_bd100_btc120_thr00,P4_2021_2026,1903,0.08279626197173418,-0.11950530317264417,0.5452294233871504,0.5132074301076188
return_candidate_eq80_ra140_bd100_btc120_thr00,P1_2003_2012,2356,0.1657237115832233,-0.2226160545119191,0.9788292943354843,3.2012885067622054
return_candidate_eq80_ra140_bd100_btc120_thr00,P2_2013_2016,1267,0.042108701601673904,-0.16952823685937277,0.3336203747210942,0.17910913143482143
return_candidate_eq80_ra140_bd100_btc120_thr00,P3_2017_2020,1461,0.1840132682681337,-0.11449483975454941,1.0873779836968611,0.9643796999389134
return_candidate_eq80_ra140_bd100_btc120_thr00,P4_2021_2026,1903,0.12799273842034986,-0.1567022423799277,0.6522729003231635,0.8723172496021632
