date,Combined_NAV,Sub-A_return,Sub-A-DK_return,Microcap_return,Sub-B_return
2010-11-22,1.0,0.0001211499702025165,0.0,-0.0031610854475293,0.006037838151999875
2010-11-23,0.9924630916915613,0.0001211499702025165,0.014581934397335683,0.0032997339443319,-0.017052122594515162
2010-11-24,1.0017195993456536,0.0001211499702025165,-0.0007659946649056781,-0.0099077246662825,0.018400481380838496
2010-11-25,0.9992147646475223,0.0001211499702025165,-0.01797519992460772,0.0014533101939975,
2010-11-26,0.9925910897041168,0.0001211499702025165,0.009302201336854221,0.0037395321051261,-0.01429017188541759
2010-11-29,0.9967508444169473,0.0001211499702025165,0.009862712151524677,0.0086768092365905,0.0022996232090253255
2010-11-30,0.9919263794150562,0.0001211499702025165,-0.0070143436880061305,-0.0074955296459168,-0.00444305135262435
2010-12-01,1.0044612630539642,0.0001211499702025165,-0.0026252225304004284,0.0043418307692746,0.020767239223609346
2010-12-02,1.012893865718006,0.0001211499702025165,-0.002859372782624381,0.0129164239533168,0.011452727860525647
2010-12-03,1.0174709618360025,0.0001211499702025165,-0.009756266634247002,-0.0028947624594697,0.010612690189770069
2010-12-06,1.0149482958397353,0.0001211499702025165,-0.014378383727440824,-0.011052564230769,0.002087146459857081
2010-12-07,1.0104545548397965,0.0001211499702025165,0.0066027292489367895,-0.0026268080253039,-0.008223186001290461
2010-12-08,1.0076431521286937,-0.00037891060478256744,0.004177087955599124,-0.0045611987704917,-0.0044171770277782185
2010-12-09,1.0073859545047943,-0.00194851418512898,-0.00170541559202797,-0.0045611987704917,0.0014295753535846778
2010-12-10,1.0108447037365833,-0.00037891060478256744,0.0033288541247145087,0.0,0.004917924505299709
2010-12-13,1.0133675347230537,0.0006654746725698324,0.007023190247000599,0.0,0.002302389015213846
2010-12-14,1.0125623298595026,-0.0006407441957554383,-0.012388735611984947,0.0,0.001807415033166837
2010-12-15,1.0049867050504755,0.001208824418253318,-0.004014515715444755,0.0,-0.011525474758833476
2010-12-16,1.0052003436398829,0.0012073649260488928,-0.004583368632175122,-0.0044999999999999,0.0023575623147136238
