label,window,requested_years,start,end,rows,elapsed_years,annual_return,max_drawdown,total_return
V7.5+Microcap_v1.6,10Y,10,2016-05-05,2026-05-05,2596,9.998631074606434,0.3120247595417156,-0.1231602377815918,14.109804809759687
V7.5+Microcap_v1.6,8Y,8,2018-05-07,2026-05-05,2078,7.994524298425736,0.31735834653447825,-0.12316023778159157,8.056824582472924
V7.5+Microcap_v1.6,6Y,6,2020-05-05,2026-05-05,1559,5.9986310746064335,0.33970944864194497,-0.12316023778159169,4.779494490510785
V7.5+Microcap_v1.6,4Y,4,2022-05-05,2026-05-05,1039,4.0,0.3279880016748318,-0.12316023778159169,2.110116124370896
V7.5+Microcap_v1.6,2Y,2,2024-05-06,2026-05-05,519,1.995893223819302,0.42343789735195037,-0.12316023778159157,1.0232396222060371
V7.6+Microcap_v1.7,10Y,10,2016-05-05,2026-05-05,2596,9.998631074606434,0.3298843572739134,-0.10379132412697956,16.296940232520722
V7.6+Microcap_v1.7,8Y,8,2018-05-07,2026-05-05,2078,7.994524298425736,0.32654851139686936,-0.10379132412697956,8.57443373059751
V7.6+Microcap_v1.7,6Y,6,2020-05-05,2026-05-05,1559,5.9986310746064335,0.35607073861467864,-0.10379132412697956,5.216028318661532
V7.6+Microcap_v1.7,4Y,4,2022-05-05,2026-05-05,1039,4.0,0.36222871223332076,-0.10379132412697956,2.4435002540208366
V7.6+Microcap_v1.7,2Y,2,2024-05-06,2026-05-05,519,1.995893223819302,0.4603655435833691,-0.10379132412697967,1.1293534127863616
