variant,window,start,end,days,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate
baseline_no_overlay,1Y,2025-04-17,2026-04-17,251,63.741797086934326,20.21464362401221,2.5507529199502526,-9.898947090892324,6.4392502052648535,63.686539847307586,69.23076923076923
baseline_no_overlay,3Y,2023-04-17,2026-04-17,754,41.66334827578502,21.945794894950932,1.7021029104014687,-15.154353760872302,2.7492659161327926,184.364931416094,62.16216216216216
baseline_no_overlay,5Y,2021-04-19,2026-04-17,1256,30.66265758225173,19.866241845884065,1.4488552176549312,-16.47416201229292,1.8612574988258246,280.22609880787354,65.57377049180327
asset_decay10_rec40_x0p96,1Y,2025-04-17,2026-04-17,251,55.236004181083544,19.572981899745603,2.35381715966059,-9.217243382799902,5.992681530375801,55.18928354164547,69.23076923076923
asset_decay10_rec40_x0p96,3Y,2023-04-17,2026-04-17,754,37.28067163785369,17.762433117360963,1.8789162366996826,-11.415338638730024,3.2658401837828643,158.77503399492383,67.56756756756756
asset_decay10_rec40_x0p96,5Y,2021-04-19,2026-04-17,1256,24.960603576313222,16.565738749461584,1.4312194271094776,-12.860199642437065,1.940918824770521,204.27721523588343,67.21311475409836
asset_decay10_rec40_x0p97,1Y,2025-04-17,2026-04-17,251,55.236004181083544,19.572981899745603,2.35381715966059,-9.217243382799902,5.992681530375801,55.18928354164547,69.23076923076923
asset_decay10_rec40_x0p97,3Y,2023-04-17,2026-04-17,754,37.28903577268541,17.76270709719104,1.879234414175455,-11.415338638730024,3.2665728939631244,158.82234702939405,67.56756756756756
asset_decay10_rec40_x0p97,5Y,2021-04-19,2026-04-17,1256,24.974947037919094,16.568217496147582,1.4317249012820925,-12.832772955776498,1.9461847508707744,204.45167064907687,67.21311475409836
asset_decay10_rec40_x0p98,1Y,2025-04-17,2026-04-17,251,55.236004181083544,19.572981899745603,2.35381715966059,-9.217243382799902,5.992681530375801,55.18928354164547,69.23076923076923
asset_decay10_rec40_x0p98,3Y,2023-04-17,2026-04-17,754,37.29739967850523,17.76298476644387,1.8795521975268257,-11.415338638730024,3.267305584081615,158.86966453546586,67.56756756756756
asset_decay10_rec40_x0p98,5Y,2021-04-19,2026-04-17,1256,24.989286082852068,16.57072609352992,1.4322276527230395,-12.805345825665567,1.951472956924475,204.6261522910661,67.21311475409836
