variant,window,start,end,days,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate
baseline_no_overlay,1Y,2025-04-17,2026-04-17,251,63.741785439251395,20.214643990918443,2.550752523879162,-9.89894924747165,6.439247625755033,63.68652821152507,69.23076923076923
baseline_no_overlay,3Y,2023-04-17,2026-04-17,754,41.663362675355046,21.94579059137835,1.70210366548809,-15.15435926809929,2.7492658672187202,184.36501814990572,62.16216216216216
baseline_no_overlay,5Y,2021-04-19,2026-04-17,1256,30.662659087763934,19.866233915129012,1.4488557755356442,-16.474122171770446,1.861262091421571,280.22612068596027,65.57377049180327
asset_decay30_rec60_x0p00,1Y,2025-04-17,2026-04-17,251,54.81105475226165,19.168298597465775,2.3850740555863,-9.217245161132281,5.946576639123316,54.76475238423786,61.53846153846154
asset_decay30_rec60_x0p00,3Y,2023-04-17,2026-04-17,754,29.8307440637803,16.61976257663817,1.6591454777541863,-11.291442200102557,2.641889630671745,118.88209702604522,59.45945945945946
asset_decay30_rec60_x0p00,5Y,2021-04-19,2026-04-17,1256,16.518836932414537,15.394864392815416,1.0723153792473918,-18.86570748318517,0.8756012435334124,114.57133020065284,59.01639344262295
asset_decay30_rec60_x0p50,1Y,2025-04-17,2026-04-17,251,55.035245985825895,19.331808848294195,2.3740420557152557,-9.217245161132277,5.970899658598771,54.98872304895941,61.53846153846154
asset_decay30_rec60_x0p50,3Y,2023-04-17,2026-04-17,754,33.5533979028829,17.05496219266166,1.787548489760049,-10.783020369321276,3.1116882611430023,138.25983239389518,62.16216216216216
asset_decay30_rec60_x0p50,5Y,2021-04-19,2026-04-17,1256,20.727750719997175,15.817746153939524,1.2727634861499044,-15.37089229113408,1.3485066661974416,156.17196616786106,62.295081967213115
asset_decay30_rec70_x0p00,1Y,2025-04-17,2026-04-17,251,54.81105475226165,19.168298597465775,2.3850740555863,-9.217245161132281,5.946576639123316,54.76475238423786,61.53846153846154
asset_decay30_rec70_x0p00,3Y,2023-04-17,2026-04-17,754,28.254348614204506,16.518903394564365,1.594028732877961,-11.085982353919881,2.54865538408638,111.00379638951932,59.45945945945946
