variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,volreg_days,overlay_days,overlay_ratio,overlay_asset_days,avg_removed_weight,trigger_count,recovery_count,annual_delta,max_dd_delta
baseline_no_overlay,,,,23.813898061847528,16.314659939785507,1.3942701403848239,-18.85821997912221,1.2627861000779348,935.6025186116754,65.9090909090909,530,571,90,0,0.0,0,0.0,0,0,0.0,0.0
asset_decay20_rec50_x0p50,0.2,0.5,0.5,23.921834684258613,15.827733679826869,1.4377418029073077,-16.86126487199731,1.418744967584685,945.524982334171,66.66666666666666,530,571,90,501,0.18204941860465115,574,0.03630834441490371,48,15,0.10793662241108493,1.9969551071249008
asset_decay20_rec55_x0p50,0.2,0.55,0.5,23.756930427986767,15.812502617702645,1.4305310034805558,-16.861264871997353,1.4089649031871574,930.4001322880932,66.66666666666666,530,571,90,508,0.18459302325581395,582,0.036825814930085944,48,15,-0.056967633860761424,1.9969551071248581
asset_decay20_rec60_x0p50,0.2,0.6,0.5,24.036025472948186,15.757880385612413,1.4492714273306428,-16.861264871997275,1.4255173413986608,956.1163506654657,66.66666666666666,530,571,90,543,0.1973110465116279,620,0.039957912493794635,46,13,0.22212741110065792,1.9969551071249363
asset_decay20_rec65_x0p50,0.2,0.65,0.5,24.087093803564684,15.729196304786866,1.4542456217953916,-15.891479908837141,1.515723767814099,960.8844868871076,66.66666666666666,530,571,90,563,0.20457848837209303,653,0.04248354892991244,44,11,0.27319574171715644,2.96674007028507
asset_decay20_rec70_x0p50,0.2,0.7,0.5,23.82152684726815,15.707274252151404,1.4423762665882582,-15.891479908837114,1.4990124886997596,936.3010019700262,66.66666666666666,530,571,90,571,0.20748546511627908,689,0.048408435287079686,44,10,0.007628785420621398,2.9667400702850966
asset_decay20_rec75_x0p50,0.2,0.75,0.5,23.554383264794954,15.670351890550485,1.4315856508187819,-15.89147990883709,1.4822019975431364,912.0948858846933,66.66666666666666,530,571,90,639,0.23219476744186046,762,0.05154356810241363,43,9,-0.2595147970525744,2.9667400702851214
asset_decay25_rec50_x0p50,0.25,0.5,0.5,24.044899525127317,15.690411320665824,1.4552854732788634,-16.275680780270818,1.4773513839294667,956.943500725381,65.9090909090909,530,571,90,579,0.21039244186046513,688,0.04571634859046023,52,18,0.23100146327978877,2.582539198851393
asset_decay25_rec55_x0p50,0.25,0.55,0.5,23.8276520887164,15.673613895937647,1.4454630729177447,-16.27568078027075,1.4640034054735263,936.8621322575473,65.9090909090909,530,571,90,593,0.2154796511627907,703,0.04680856579402254,52,18,0.013754026868870284,2.5825391988514603
asset_decay25_rec60_x0p50,0.25,0.6,0.5,23.897874729418934,15.643527415760158,1.4515753588712033,-16.27568078027074,1.4683179801847528,943.3149477212698,65.9090909090909,530,571,90,624,0.22674418604651161,737,0.04981543745431262,50,16,0.08397666757140598,2.582539198851471
asset_decay25_rec65_x0p50,0.25,0.65,0.5,23.850446489647513,15.612298130344449,1.4517010619925237,-15.355589352522792,1.5532094498039628,938.9527420268136,65.9090909090909,530,571,90,645,0.234375,771,0.052511045015166916,48,14,0.03654842779998546,3.5026306265994194
asset_decay25_rec70_x0p50,0.25,0.7,0.5,23.483313592795717,15.586153686135006,1.4347719224748579,-15.35558935252283,1.5293007030653336,905.7423122756735,65.9090909090909,530,571,90,655,0.23800872093023256,813,0.059053245898461705,48,13,-0.3305844690518107,3.5026306265993803
asset_decay25_rec75_x0p50,0.25,0.75,0.5,23.235032026017286,15.547857791898787,1.4249433934120634,-15.35558935252282,1.5131318956637718,883.8329408549877,65.9090909090909,530,571,90,723,0.26271802325581395,887,0.062281810958141795,47,12,-0.5788660358302415,3.502630626599391
asset_decay30_rec50_x0p50,0.3,0.5,0.5,23.121273961425402,15.560911878672382,1.4179165912500808,-15.774812059941237,1.4657083630263885,873.9400979497864,65.15151515151516,530,571,90,746,0.2710755813953488,894,0.06218128649796668,62,27,-0.6926241004221261,3.0834079191809742
asset_decay30_rec55_x0p50,0.3,0.55,0.5,22.930074521969534,15.526165272105995,1.4107015045107425,-15.774812059941254,1.4535878104182578,857.5160853899533,65.15151515151516,530,571,90,783,0.2845203488372093,938,0.06594787084175395,60,25,-0.8838235398779943,3.0834079191809565
asset_decay30_rec60_x0p50,0.3,0.6,0.5,22.95323044311013,15.484135199953123,1.4153286187910659,-15.774812059941315,1.4550557151420997,859.4916928897949,65.15151515151516,530,571,90,823,0.29905523255813954,981,0.06985742560588143,58,23,-0.8606676187373985,3.083407919180896
asset_decay30_rec65_x0p50,0.3,0.65,0.5,22.72376644242693,15.458137470193222,1.4053251442145458,-15.247670575919328,1.4903106890513893,840.0768463780734,65.15151515151516,530,571,90,863,0.31359011627906974,1026,0.07279412081275353,56,21,-1.0901316194205997,3.6105494032028833
asset_decay30_rec70_x0p50,0.3,0.7,0.5,22.221923275788956,15.41138440103626,1.3824573903464044,-15.247670575919312,1.457397913021816,798.8542408516784,65.15151515151516,530,571,90,895,0.32521802325581395,1090,0.08185253029689542,56,20,-1.5919747860585716,3.6105494032028993
asset_decay30_rec75_x0p50,0.3,0.75,0.5,22.159413301032416,15.360948662291444,1.3831527209043608,-15.247670575919333,1.453298272067132,793.8362553432862,65.15151515151516,530,571,90,939,0.34120639534883723,1139,0.0858558320247423,53,17,-1.6544847608151123,3.610549403202878
asset_decay35_rec50_x0p50,0.35,0.5,0.5,23.139237240106205,15.39287073372716,1.4326459868843364,-16.114211842015624,1.435952156206224,875.4962202118109,64.39393939393939,530,571,90,869,0.3157703488372093,1051,0.07499803327226556,76,37,-0.6746608217413232,2.7440081371065865
asset_decay35_rec55_x0p50,0.35,0.55,0.5,23.147397524133485,15.338359448942779,1.4376213656643904,-16.114211842015713,1.4364585591322347,876.2038749494536,64.39393939393939,530,571,90,924,0.33575581395348836,1114,0.08032633439025633,73,33,-0.6665005377140432,2.7440081371064977
asset_decay35_rec60_x0p50,0.35,0.6,0.5,23.160431327505783,15.28734469488399,1.4426023797586587,-16.11421184201566,1.4372673981558344,877.3351257782559,64.39393939393939,530,571,90,965,0.35065406976744184,1165,0.08493565712143415,70,30,-0.6534667343417446,2.744008137106551
