variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,volreg_days,overlay_days,overlay_ratio,overlay_asset_days,avg_removed_weight,trigger_count,recovery_count
baseline_no_overlay,,,,20.15050650324639,17.33323704411803,1.1479517265163712,-20.789248249790194,0.9692753802894123,2749.8037825004412,65.45454545454545,907,953,164,0,0.0,0,0.0,0,0
asset_decay20_rec55_x0p80,0.2,0.55,0.8,17.89016290850325,15.627660339181517,1.1334711936911546,-18.669519459385572,0.9582551359943802,1915.1464364823028,65.0,907,953,164,1002,0.21825310389893268,1138,0.01781696578571088,95,22
asset_decay20_rec50_x0p80,0.2,0.5,0.8,17.877105432875638,15.645089919979982,1.1316752235940517,-18.669519459385572,0.9575557352596148,1911.077476507363,65.0,907,953,164,945,0.20583750816815508,1052,0.0164834649414815,96,24
asset_decay20_rec60_x0p80,0.2,0.6,0.8,17.828453214381558,15.622117757045787,1.1304586660800353,-18.669519459385572,0.9549497646774624,1895.9847815127407,65.0,907,953,164,1038,0.22609453278152908,1184,0.018604991194554873,94,20
asset_decay20_rec65_x0p80,0.2,0.65,0.8,17.804123584075814,15.600634622411471,1.130472637982511,-18.669519459385572,0.9536465907870647,1888.4775584491629,64.54545454545455,907,953,164,1101,0.23981703332607276,1263,0.021112578435237974,91,17
asset_decay25_rec55_x0p80,0.25,0.55,0.8,17.87494340180693,15.563577979583016,1.1366637862888014,-18.80640818144267,0.9504708836132321,1910.4044959676432,64.54545454545455,907,953,164,1199,0.2611631452842518,1389,0.0224160409118873,104,29
asset_decay25_rec50_x0p80,0.25,0.5,0.8,17.86523240249258,15.583353801290942,1.1348906151986804,-18.80640818144267,0.9499545171055683,1907.3843545637346,64.54545454545455,907,953,164,1127,0.24548028751905904,1289,0.020860457271611905,108,33
asset_decay20_rec70_x0p80,0.2,0.7,0.8,17.717425548903233,15.585701088791529,1.126672133404841,-18.669519459385572,0.9490027628963047,1861.9421812415749,64.54545454545455,907,953,164,1191,0.2594206055325637,1383,0.02386340186763473,90,15
asset_decay20_rec55_x0p70,0.2,0.55,0.7,17.7257502042365,15.508407216372433,1.131965245673112,-18.723310950926635,0.9467209218869078,1864.4754806283527,64.54545454545455,907,953,164,1002,0.21825310389893268,1138,0.02672544867856633,95,22
asset_decay20_rec75_x0p80,0.2,0.75,0.8,17.66693439236533,15.575367798184732,1.124556187792744,-18.669519459385572,0.9462982928295876,1846.6431114036006,64.54545454545455,907,953,164,1262,0.2748856458287955,1459,0.024636596757988426,88,13
asset_decay25_rec60_x0p80,0.25,0.6,0.8,17.79689815790193,15.555558486939274,1.1329022076197248,-18.816334646568755,0.9458217284176158,1886.2532044837178,64.54545454545455,907,953,164,1262,0.2748856458287955,1463,0.023618689237702557,102,26
asset_decay20_rec50_x0p70,0.2,0.5,0.7,17.70641728777349,15.533515943969517,1.129329800673403,-18.723310950926635,0.9456883632484447,1858.5969673044583,64.54545454545455,907,953,164,945,0.20583750816815508,1052,0.024725197412222257,96,24
asset_decay25_rec65_x0p80,0.25,0.65,0.8,17.73415155962812,15.533917467629074,1.130825478192839,-18.816334646568755,0.9424870407936768,1867.035255266958,64.54545454545455,907,953,164,1325,0.28860814637333915,1542,0.026139667960434855,99,23
asset_decay20_rec60_x0p70,0.2,0.6,0.7,17.63317375297182,15.500864631259617,1.1273539731539584,-18.723310950926635,0.9417764731455863,1836.4764528241292,64.54545454545455,907,953,164,1038,0.22609453278152908,1184,0.027907486791832314,94,20
asset_decay20_rec65_x0p70,0.2,0.65,0.7,17.59641041019404,15.470219372771874,1.1272537086286554,-18.723310950926635,0.9398129666442984,1825.4626517170298,64.0909090909091,907,953,164,1101,0.23981703332607276,1263,0.03166886765285698,91,17
asset_decay25_rec70_x0p80,0.25,0.7,0.8,17.652741627118363,15.52206799014095,1.1271038640947384,-18.816334646568755,0.9381604844244956,1842.3629794787241,64.54545454545455,907,953,164,1361,0.2964495752559355,1612,0.028091469851455133,98,21
asset_decay20_rec55_x0p90,0.2,0.55,0.9,18.052561877469554,15.758158673512106,1.1341455713873123,-19.275119855337163,0.9365732619541097,1966.4077111549047,65.0,907,953,164,1002,0.21825310389893268,1138,0.00890848289285544,95,22
asset_decay20_rec50_x0p90,0.2,0.5,0.9,18.04594843602687,15.767207355741059,1.1332301988366977,-19.275119855337163,0.9362301542851396,1964.2963222463059,65.0,907,953,164,945,0.20583750816815508,1052,0.00824173247074075,96,24
asset_decay25_rec75_x0p80,0.25,0.75,0.8,17.60628362601555,15.511466611933866,1.1252167778064515,-18.816334646568755,0.9356914594004703,1828.4147041897495,64.54545454545455,907,953,164,1432,0.31191461555216726,1689,0.028886294463174814,96,19
asset_decay20_rec60_x0p90,0.2,0.6,0.9,18.021711632527083,15.75513641764722,1.1326702098848793,-19.275119855337163,0.9349727403919089,1956.5759645158498,65.0,907,953,164,1038,0.22609453278152908,1184,0.009302495597277437,94,20
asset_decay20_rec65_x0p90,0.2,0.65,0.9,18.009636993461186,15.743885540994363,1.1327152282305901,-19.275119855337163,0.9343463038687372,1952.7399185721406,65.0,907,953,164,1101,0.23981703332607276,1263,0.010556289217618987,91,17
asset_decay25_rec55_x0p90,0.25,0.55,0.9,18.045215780155786,15.724963449544905,1.1358103454783806,-19.343008075922697,0.9329063871207114,1964.0625420757967,65.0,907,953,164,1199,0.2611631452842518,1389,0.01120802045594365,104,29
asset_decay20_rec70_x0p70,0.2,0.7,0.7,17.466466477738507,15.448456737490485,1.121451156712608,-18.723310950926635,0.9328727447574691,1787.0058234724163,64.0909090909091,907,953,164,1191,0.2594206055325637,1383,0.03579510280145211,90,15
asset_decay25_rec50_x0p90,0.25,0.5,0.9,18.04028202538599,15.73513216475806,1.1349126281993864,-19.343008075922697,0.9326513205483132,1962.4889019503944,65.0,907,953,164,1127,0.24548028751905904,1289,0.010430228635805953,108,33
asset_decay20_rec70_x0p90,0.2,0.7,0.9,17.966254569513886,15.736216201364817,1.1308487816343435,-19.275119855337163,0.9320956084503484,1939.013288970853,65.0,907,953,164,1191,0.2594206055325637,1383,0.011931700933817365,90,15
asset_decay20_rec75_x0p90,0.2,0.75,0.9,17.940997138873783,15.73087053860181,1.129815603264566,-19.275119855337163,0.930785244061973,1931.0615950287095,65.0,907,953,164,1262,0.2748856458287955,1459,0.012318298378994213,88,13
asset_decay25_rec60_x0p90,0.25,0.6,0.9,18.006186555326266,15.720694241511604,1.133967852687572,-19.347937966195687,0.9306514516837039,1951.6449765499915,65.0,907,953,164,1262,0.2748856458287955,1463,0.011809344618851279,102,26
asset_decay25_rec65_x0p90,0.25,0.65,0.9,17.974866704419302,15.709367051113048,1.132978300660226,-19.347937966195687,0.9290326822333529,1941.7313328733264,65.0,907,953,164,1325,0.28860814637333915,1542,0.013069833980217428,99,23
asset_decay20_rec75_x0p70,0.2,0.75,0.7,17.390767213713666,15.433517552044801,1.1182017857252575,-18.723310950926635,0.9288296957356775,1764.9385315086715,64.0909090909091,907,953,164,1262,0.2748856458287955,1459,0.03695489513698265,88,13
asset_decay20_rec80_x0p80,0.2,0.8,0.8,17.582717676240513,15.555862872201715,1.1211585520218081,-18.9417779786843,0.928250647643892,1821.3756474460383,64.54545454545455,907,953,164,1429,0.31126116314528424,1631,0.02701023059523788,87,11
asset_decay25_rec70_x0p90,0.25,0.7,0.9,17.934123636581624,15.703224321939354,1.1311554696626325,-19.347937966195687,0.9269268729264974,1928.902717277181,65.0,907,953,164,1361,0.2964495752559355,1612,0.014045734925727566,98,21
asset_decay20_rec55_x0p95,0.2,0.55,0.95,18.133003179898054,15.827539204323227,1.1341828947581083,-19.57697240410618,0.9262414435489903,1992.2531315029041,65.0,907,953,164,1002,0.21825310389893268,1138,0.004454241446427725,95,22
asset_decay20_rec50_x0p95,0.2,0.5,0.95,18.129675232669975,15.8321448524747,1.1337212621976178,-19.57697240410618,0.9260714506022064,1991.1778458890587,65.0,907,953,164,945,0.20583750816815508,1052,0.004120866235370379,96,24
asset_decay25_rec75_x0p90,0.25,0.75,0.9,17.910880856772792,15.697757518727867,1.1302365657201807,-19.347937966195687,0.9257255676582336,1921.6185189472326,65.0,907,953,164,1432,0.31191461555216726,1689,0.014443147231587407,96,19
asset_decay20_rec60_x0p95,0.2,0.6,0.95,18.11757932651168,15.825966538124597,1.1334529294528843,-19.57697240410618,0.9254535866185112,1987.2739624746973,65.0,907,953,164,1038,0.22609453278152908,1184,0.004651247798638724,94,20
asset_decay20_rec65_x0p95,0.2,0.65,0.95,18.1115646523075,15.820217072984713,1.133484480815112,-19.57697240410618,0.9251463545256203,1985.3353265770616,65.0,907,953,164,1101,0.23981703332607276,1263,0.0052781446088095,91,17
asset_decay25_rec55_x0p95,0.25,0.55,0.95,18.129396242241146,15.810661918161284,1.1350309344576237,-19.610777997154745,0.9244608370392787,1991.0877256474273,65.0,907,953,164,1199,0.2611631452842518,1389,0.005604010227971831,104,29
asset_decay25_rec50_x0p95,0.25,0.5,0.95,18.126909751088107,15.815813836059986,1.1345797799472432,-19.610777997154745,0.924334044968439,1990.284694698603,65.0,907,953,164,1127,0.24548028751905904,1289,0.005215114317902982,108,33
asset_decay20_rec70_x0p95,0.2,0.7,0.95,18.08986527048333,15.81633364001583,1.1325596620099327,-19.57697240410618,0.924037940958075,1978.3553683615423,65.0,907,953,164,1191,0.2594206055325637,1383,0.005965850466908689,90,15
asset_decay20_rec55_x0p60,0.2,0.55,0.6,17.5593335077981,15.400659236369659,1.1295926428904086,-19.00702369581994,0.9238339357497504,1814.4148985582337,65.0,907,953,164,1002,0.21825310389893268,1138,0.03563393157142177,95,22
asset_decay20_rec75_x0p95,0.2,0.75,0.95,18.077233711878947,15.813617551121833,1.1320491869026752,-19.57697240410618,0.9233927156217133,1974.3023975219096,65.0,907,953,164,1262,0.2748856458287955,1459,0.0061591491894971125,88,13
asset_decay25_rec60_x0p95,0.25,0.6,0.95,18.109880160664282,15.80846416288851,1.1341192347826272,-19.61323462427845,0.9233499984875914,1984.7926902638353,65.0,907,953,164,1262,0.2748856458287955,1463,0.005904672309425645,102,26
asset_decay25_rec65_x0p95,0.25,0.65,0.95,18.094233792902138,15.802677923980655,1.133636213374764,-19.61323462427845,0.9225522530844554,1979.7587966782824,65.0,907,953,164,1325,0.28860814637333915,1542,0.0065349169901087216,99,23
asset_decay20_rec50_x0p60,0.2,0.5,0.6,17.533892923060446,15.432712794539851,1.1261650010909534,-19.00702369581994,0.9224954524003952,1806.8690922356989,65.0,907,953,164,945,0.20583750816815508,1052,0.032966929882963,96,24
asset_decay20_rec80_x0p90,0.2,0.8,0.9,17.89883931608147,15.720912105111271,1.1281526668024275,-19.410238307889067,0.9221339291237189,1917.854473423412,65.45454545454545,907,953,164,1429,0.31126116314528424,1631,0.01350511529761894,87,11
asset_decay25_rec55_x0p70,0.25,0.55,0.7,17.70213315340601,15.415885359229955,1.1365253863550986,-19.199726772236716,0.9219992223537127,1857.2965533001409,64.54545454545455,907,953,164,1199,0.2611631452842518,1389,0.033624061367830964,104,29
asset_decay25_rec70_x0p95,0.25,0.7,0.95,18.073852938515355,15.799554103893366,1.1327342387522485,-19.61323462427845,0.9215131152381384,1973.2189081524766,65.0,907,953,164,1361,0.2964495752559355,1612,0.00702286746286379,98,21
asset_decay25_rec50_x0p70,0.25,0.5,0.7,17.68780061373574,15.444664550203289,1.1339069511708306,-19.199726772236716,0.9212527252894421,1852.9519575196282,64.54545454545455,907,953,164,1127,0.24548028751905904,1289,0.031290685907417876,108,33
asset_decay25_rec75_x0p95,0.25,0.75,0.95,18.062228236582612,15.796780920229256,1.1322808185027806,-19.61323462427845,0.9209204184109484,1969.4974384714462,65.0,907,953,164,1432,0.31191461555216726,1689,0.007221573615793711,96,19
asset_decay20_rec80_x0p95,0.2,0.8,0.95,18.056142623748393,15.808589239109969,1.1312265445887624,-19.644279693571242,0.9191552403755185,1967.5517418623458,65.0,907,953,164,1429,0.31126116314528424,1631,0.0067525576488094785,87,11
asset_decay20_rec60_x0p60,0.2,0.6,0.6,17.435884886632678,15.391653791367707,1.1233219439894853,-19.00702369581994,0.9173390408550504,1778.0613545955077,65.0,907,953,164,1038,0.22609453278152908,1184,0.03720998238910976,94,20
asset_decay25_rec80_x0p80,0.25,0.8,0.8,17.508397698176626,15.482958556685865,1.1216164569677585,-19.088101693479715,0.9172414302548116,1799.3352884572605,64.54545454545455,907,953,164,1603,0.3491614027445001,1865,0.0313464471858882,95,17
asset_decay30_rec50_x0p80,0.3,0.5,0.8,17.535638889236193,15.510602187951767,1.1213861942233754,-19.120238948074416,0.917124463604164,1807.386054866826,63.18181818181819,907,953,164,1414,0.3079939011108691,1626,0.02718333857683978,126,49
asset_decay25_rec80_x0p90,0.25,0.8,0.9,17.86187817878806,15.683253331726926,1.1284819846779162,-19.48293453475791,0.9167960887474187,1906.3421806699794,65.45454545454545,907,953,164,1603,0.3491614027445001,1865,0.0156732235929441,95,17
asset_decay30_rec50_x0p90,0.3,0.5,0.9,17.875460099613917,15.697341911810334,1.1283428812397605,-19.4988951890239,0.9167422013569348,1910.565310360133,64.0909090909091,907,953,164,1414,0.3079939011108691,1626,0.01359166928841989,126,49
asset_decay25_rec80_x0p95,0.25,0.8,0.95,18.037712231351954,15.789470201098712,1.1314145722737832,-19.680511565324377,0.9165265939089249,1961.6697054423778,65.0,907,953,164,1603,0.3491614027445001,1865,0.007836611796472059,95,17
asset_decay30_rec50_x0p95,0.3,0.5,0.95,18.044493423896913,15.796577272759679,1.1313396235537927,-19.688464926277767,0.9165007780679396,1963.8320728659942,64.54545454545455,907,953,164,1414,0.3079939011108691,1626,0.006795834644209952,126,49
asset_decay30_rec55_x0p90,0.3,0.55,0.9,17.868259733505386,15.685148159718418,1.1287071580870276,-19.4988951890239,0.9163729308911608,1908.3254005721858,63.63636363636363,907,953,164,1515,0.32999346547593117,1760,0.01478983656851783,120,42
asset_decay30_rec55_x0p80,0.3,0.55,0.8,17.521137358990146,15.486722965806942,1.122076594817175,-19.120238948074416,0.9163660248479628,1803.096316944346,63.18181818181819,907,953,164,1515,0.32999346547593117,1760,0.02957967313703566,120,42
asset_decay30_rec55_x0p95,0.3,0.55,0.95,18.04090594122256,15.790420363115363,1.1315259727072287,-19.688464926277767,0.9163185656563685,1962.6878396614227,64.54545454545455,907,953,164,1515,0.32999346547593117,1760,0.007394918284258921,120,42
asset_decay25_rec60_x0p70,0.25,0.6,0.7,17.58508799813592,15.40466118350047,1.1307682080244175,-19.214545966667036,0.9151966447004335,1822.0825532509295,64.54545454545455,907,953,164,1262,0.2748856458287955,1463,0.035428033856553846,102,26
asset_decay30_rec60_x0p95,0.3,0.6,0.95,18.02865745127431,15.787024793953341,1.1310766909457832,-19.701619547541796,0.9150850470830341,1958.78568150939,64.54545454545455,907,953,164,1585,0.3452406883032019,1840,0.007745105490932197,117,38
asset_decay15_rec65_x0p95,0.15,0.65,0.95,18.15692327423577,15.8390871375817,1.134752830111749,-19.84622082527557,0.914880643226122,1999.9972918176918,65.0,907,953,164,875,0.19059028534088435,947,0.0035714831972334625,77,12
asset_decay20_rec65_x0p60,0.2,0.65,0.6,17.386510756984165,15.352965448078173,1.1230178116719078,-19.00702369581994,0.914741362731496,1763.7049923583231,64.54545454545455,907,953,164,1101,0.23981703332607276,1263,0.04222515687047596,91,17
asset_decay15_rec50_x0p95,0.15,0.5,0.95,18.153046664884265,15.845880682876142,1.1341272443768893,-19.84622082527557,0.9146853108560131,1998.7403978153452,65.0,907,953,164,734,0.15987802221738184,786,0.003013956835537099,80,15
asset_decay15_rec55_x0p95,0.15,0.55,0.95,18.15148047718256,15.842432990177727,1.134255489887302,-19.84622082527557,0.9146063946877666,1998.2328021666713,65.0,907,953,164,810,0.17643214985841865,869,0.003328736822363181,80,15
asset_decay15_rec70_x0p95,0.15,0.7,0.95,18.150277495806243,15.836299023090444,1.1345687509132534,-19.84622082527557,0.9145457795516705,1997.8429991423495,65.0,907,953,164,989,0.21542147680243956,1063,0.004039113329031191,77,10
asset_decay15_rec60_x0p95,0.15,0.6,0.95,18.145646256618363,15.84128522499983,1.1340138472659511,-19.84622082527557,0.9143124233258856,1996.3429738713066,65.0,907,953,164,855,0.18623393596166413,916,0.0034545531740575743,79,14
asset_decay30_rec60_x0p90,0.3,0.6,0.9,17.843778171858602,15.678423779129117,1.1277963023194828,-19.525266146901885,0.9138814312495255,1900.7272390054893,63.63636363636363,907,953,164,1585,0.3452406883032019,1840,0.01549021098186438,117,38
