variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,volreg_days,overlay_days,overlay_ratio,overlay_asset_days,avg_removed_weight,trigger_count,recovery_count
asset_decay15_rec75_x0p95,0.15,0.75,0.95,18.134678719011244,15.834265394435237,1.1338583824020814,-19.84622082527557,0.9137597973270278,1992.794708991018,65.0,907,953,164,1065,0.23197560444347637,1141,0.004224142662757201,76,9
asset_decay30_rec65_x0p95,0.3,0.65,0.95,18.001169578748176,15.782123465194411,1.1298996340769023,-19.701619547541796,0.9136898383054104,1950.0539031494363,64.54545454545455,907,953,164,1656,0.3607057285994337,1924,0.008339513352387374,114,35
asset_decay30_rec75_x0p95,0.3,0.75,0.95,17.981286080543835,15.772333623102444,1.129432323951493,-19.681629603490837,0.9136075844733192,1943.7595556524898,64.54545454545455,907,953,164,1776,0.38684382487475494,2084,0.009363774929325558,108,28
asset_decay30_rec80_x0p95,0.3,0.8,0.95,17.961394642389216,15.761270523802104,1.1290425586080757,-19.661114689412074,0.9135491515169182,1937.4809753539755,64.54545454545455,907,953,164,1972,0.42953604879111307,2304,0.010222643756892478,106,24
asset_decay15_rec65_x0p90,0.15,0.65,0.9,18.100491380971697,15.780711009495029,1.1353286621991872,-19.814516188502726,0.9134965097696616,1981.770665429578,65.0,907,953,164,875,0.19059028534088435,947,0.007142966394466917,77,12
asset_decay30_rec70_x0p95,0.3,0.7,0.95,17.974472464908885,15.777186471425942,1.1287665501378175,-19.681629603490837,0.9132613928330833,1941.6068336453066,64.54545454545455,907,953,164,1711,0.37268568939228924,2013,0.008981825376736408,113,33
asset_decay15_rec50_x0p90,0.15,0.5,0.9,18.092770277236813,15.794190779187792,1.1340805835379193,-19.814516188502726,0.9131068407178698,1979.2885289598462,65.0,907,953,164,734,0.15987802221738184,786,0.006027913671074191,80,15
asset_decay15_rec55_x0p90,0.15,0.55,0.9,18.08962756693322,15.787335954276063,1.134335038107592,-19.814516188502726,0.9129482342561378,1978.2790295773946,65.0,907,953,164,810,0.17643214985841865,869,0.006657473644726354,80,15
asset_decay15_rec70_x0p90,0.15,0.7,0.9,18.087197001808207,15.775164710927456,1.1349571250021488,-19.814516188502726,0.9128255683731109,1977.498602717118,65.0,907,953,164,989,0.21542147680243956,1063,0.008078226658062371,77,10
asset_decay15_rec60_x0p90,0.15,0.6,0.9,18.07796172980558,15.78505369493564,1.1338490973084763,-19.814516188502726,0.9123594822009949,1974.5357868502297,65.0,907,953,164,855,0.18623393596166413,916,0.006909106348115141,79,14
asset_decay30_rec60_x0p80,0.3,0.6,0.8,17.472237053880548,15.473557216201408,1.1202043117061085,-19.173227397411864,0.9112830454532174,1788.6981043221253,63.18181818181819,907,953,164,1585,0.3452406883032019,1840,0.03098042196372876,117,38
asset_decay15_rec75_x0p90,0.15,0.75,0.9,18.055996769631232,15.77119380898521,1.1335238512478605,-19.814516188502726,0.9112509534857144,1967.5051305004115,65.0,907,953,164,1065,0.23197560444347637,1141,0.008448285325514393,76,9
asset_decay30_rec65_x0p90,0.3,0.65,0.9,17.78883814412817,15.668851405529589,1.125406455055911,-19.525266146901885,0.9110676397592031,1883.7746970624999,63.63636363636363,907,953,164,1656,0.3607057285994337,1924,0.01667902670477473,114,35
asset_decay30_rec75_x0p90,0.3,0.75,0.9,17.749079944709223,15.649477599134704,1.1244440128602948,-19.485205821787154,0.9109003059574201,1871.5915037965196,63.63636363636363,907,953,164,1776,0.38684382487475494,2084,0.018727549858651094,108,28
asset_decay30_rec80_x0p90,0.3,0.8,0.9,17.709305823784362,15.62756228502159,1.1236355548051664,-19.444183287994786,0.910776532060281,1859.4742197044366,64.0909090909091,907,953,164,1972,0.42953604879111307,2304,0.020445287513784934,106,24
asset_decay15_rec65_x0p80,0.15,0.65,0.8,17.986377049089096,15.670543984492447,1.1360161409291991,-19.751906910022957,0.9106147133551974,1945.3694176094036,65.0,907,953,164,875,0.19059028534088435,947,0.014285932788933834,77,12
asset_decay25_rec65_x0p70,0.25,0.65,0.7,17.490810892011012,15.373783100905051,1.1274999796124443,-19.214545966667036,0.9102900959696721,1794.1548180995283,64.0909090909091,907,953,164,1325,0.28860814637333915,1542,0.0392095019406523,99,23
asset_decay30_rec70_x0p90,0.3,0.7,0.9,17.735511357121748,15.659094539141124,1.1231119639417328,-19.485205821787154,0.910203952646525,1867.4498627237977,63.63636363636363,907,953,164,1711,0.37268568939228924,2013,0.017963650753472796,113,33
asset_decay15_rec80_x0p95,0.15,0.8,0.95,18.121632202024294,15.829526828679064,1.1334512583133671,-19.913302776526397,0.9100264484194904,1988.5812364801832,65.0,907,953,164,1232,0.26835112175996517,1308,0.004742398515025477,75,7
asset_decay15_rec50_x0p80,0.15,0.5,0.8,17.971063299153055,15.697058899059405,1.133535407727813,-19.751906910022957,0.9098394084691527,1940.530532291006,65.0,907,953,164,734,0.15987802221738184,786,0.012055827342148382,80,15
asset_decay15_rec55_x0p80,0.15,0.55,0.8,17.96473667980265,15.683518596488714,1.1340349792051296,-19.751906910022957,0.9095191042383144,1938.534588096159,65.0,907,953,164,810,0.17643214985841865,869,0.013314947289452707,80,15
asset_decay15_rec70_x0p80,0.15,0.7,0.8,17.959777343158812,15.659577125277957,1.1352589409250682,-19.751906910022957,0.9092680228279761,1936.971289448714,65.0,907,953,164,989,0.21542147680243956,1063,0.016156453316124742,77,10
asset_decay35_rec55_x0p95,0.35,0.55,0.95,18.059485892688798,15.770515960082127,1.1337548258512353,-19.86312346813259,0.9091966790450929,1968.6204401377906,64.0909090909091,907,953,164,1707,0.3718144195164452,2034,0.008631930903612564,143,59
asset_decay35_rec50_x0p95,0.35,0.5,0.95,18.045859013334685,15.77849506810276,1.1325286560087606,-19.863123468132542,0.9085106399447503,1964.2677873837088,64.0909090909091,907,953,164,1585,0.3452406883032019,1879,0.007952844163665972,152,70
asset_decay15_rec60_x0p80,0.15,0.6,0.8,17.94141567636125,15.679009566136482,1.1330524565070885,-19.751906910022957,0.9083384079365528,1931.1931223217678,65.0,907,953,164,855,0.18623393596166413,916,0.013818212696230282,79,14
asset_decay35_rec60_x0p95,0.35,0.6,0.95,18.048366609083132,15.7653749890044,1.1334742961794564,-19.87624948121521,0.9080368319053558,1965.0681048486356,64.0909090909091,907,953,164,1803,0.39272489653670223,2149,0.009225494721728874,138,53
asset_decay15_rec65_x0p70,0.15,0.65,0.7,17.870599851671454,15.569310115417382,1.1360618529553765,-19.690365524810698,0.907580909514033,1909.0531121533156,64.54545454545455,907,953,164,875,0.19059028534088435,947,0.02142889918340076,77,12
asset_decay15_rec50_x0p70,0.15,0.5,0.7,17.847821902790216,15.608384931971598,1.1323700763410742,-19.690365524810698,0.9064241027065344,1901.9803857459465,64.54545454545455,907,953,164,734,0.15987802221738184,786,0.018083741013222583,80,15
asset_decay35_rec80_x0p95,0.35,0.8,0.95,17.963737233954213,15.734998022446176,1.1307911016886587,-19.82146781640302,0.9062768408648595,1938.2194482287418,63.63636363636363,907,953,164,2207,0.48072315399695054,2669,0.011985495063178348,122,33
asset_decay15_rec75_x0p80,0.15,0.75,0.8,17.897366977199614,15.652028621575512,1.1323421111643275,-19.751906910022957,0.9061083093763331,1917.3946921790223,65.0,907,953,164,1065,0.23197560444347637,1141,0.016896570651028786,76,9
asset_decay15_rec55_x0p70,0.15,0.55,0.7,17.838270459257764,15.588342762275047,1.1331030165939568,-19.690365524810698,0.9059390206230953,1899.0215989386008,64.54545454545455,907,953,164,810,0.17643214985841865,869,0.01997242093417907,80,15
asset_decay35_rec65_x0p95,0.35,0.65,0.95,18.00433858071615,15.758732568304628,1.1315132557336445,-19.87624948121521,0.905821724452182,1951.058778035097,63.63636363636363,907,953,164,1880,0.4094968416467001,2250,0.009892060871408835,134,49
asset_decay20_rec70_x0p60,0.2,0.7,0.6,17.213393531673415,15.324838248843713,1.1151455164122752,-19.00702369581994,0.9056332967827581,1714.1833822506126,64.54545454545455,907,953,164,1191,0.2594206055325637,1383,0.047726803735269475,90,15
asset_decay30_rec65_x0p80,0.3,0.65,0.8,17.36250244386852,15.455368428473342,1.1152795470335368,-19.173227397411864,0.9055597205409577,1756.7617117098387,63.18181818181819,907,953,164,1656,0.3607057285994337,1924,0.03335805340954946,114,35
asset_decay15_rec70_x0p70,0.15,0.7,0.7,17.830684554966215,15.553060576844343,1.1349036497056948,-19.690365524810698,0.9055537609242852,1896.6746300853529,65.0,907,953,164,989,0.21542147680243956,1063,0.024234679974187122,77,10
asset_decay30_rec75_x0p80,0.3,0.75,0.8,17.28302380177209,15.417496127235497,1.1132366951136516,-19.092785873446864,0.9052122574636063,1733.9502701978834,63.18181818181819,907,953,164,1776,0.38684382487475494,2084,0.03745509971730219,108,28
asset_decay30_rec80_x0p80,0.3,0.8,0.8,17.203513611557163,15.374569379502129,1.1114956868990458,-19.010773743639973,0.9049349512832203,1711.3950042704196,63.18181818181819,907,953,164,1972,0.42953604879111307,2304,0.04089057502756987,106,24
asset_decay35_rec70_x0p95,0.35,0.7,0.95,17.986951542874905,15.750892925849541,1.1310603962154042,-19.885057655102603,0.9045461096895219,1945.5511588103398,63.63636363636363,907,953,164,1964,0.427793509039425,2379,0.010763079703216421,131,45
asset_decay35_rec75_x0p95,0.35,0.75,0.95,17.986073444421045,15.745932834466526,1.131319938991104,-19.885057655102603,0.9045019509815568,1945.273378388378,63.63636363636363,907,953,164,2020,0.43999128730124154,2451,0.011141343939208535,125,39
asset_decay15_rec65_x0p60,0.15,0.65,0.6,17.7531652484338,15.477183575284084,1.1354403480311568,-19.629893482855174,0.904394375035172,1872.8401046949916,65.0,907,953,164,875,0.19059028534088435,947,0.028571865577867676,77,12
asset_decay15_rec60_x0p70,0.15,0.6,0.7,17.803305469232743,15.581667283676873,1.1316132663391953,-19.690365524810698,0.9041632795896969,1888.225582904414,64.54545454545455,907,953,164,855,0.18623393596166413,916,0.02072731904434543,79,14
asset_decay25_rec70_x0p70,0.25,0.7,0.7,17.36881356781028,15.356695329963419,1.1218032888652858,-19.214545966667036,0.903940878849873,1758.5845362368352,64.0909090909091,907,953,164,1361,0.2964495752559355,1612,0.04213720477718272,98,21
asset_decay15_rec80_x0p90,0.15,0.8,0.9,18.02989738377292,15.761813642187136,1.1326989326610823,-19.94873179180021,0.9038117095335346,1959.1803850210952,65.45454545454545,907,953,164,1232,0.26835112175996517,1308,0.009484797030050946,75,7
asset_decay30_rec70_x0p80,0.3,0.7,0.8,17.256120774957395,15.436350031765397,1.1105758275174225,-19.092785873446864,0.9038031898192607,1726.2889330812875,63.18181818181819,907,953,164,1711,0.37268568939228924,2013,0.03592730150694559,113,33
asset_decay15_rec50_x0p60,0.15,0.5,0.6,17.723051528655187,15.528312723327872,1.1305653963364006,-19.629893482855174,0.9028603004970236,1863.6539005471836,65.0,907,953,164,734,0.15987802221738184,786,0.024111654684296772,80,15
asset_decay20_rec80_x0p70,0.2,0.8,0.7,17.26459355472707,15.404916695901253,1.1129957282879381,-19.131419737890333,0.9024209280471769,1728.6985081731939,64.0909090909091,907,953,164,1429,0.31126116314528424,1631,0.04051534589285684,87,11
