window,start_date,end_date,baseline_total_return_pct,baseline_max_dd_pct
1Y,2025-04-17,2026-04-17,28.029695204364913,-12.897003612202509
3Y,2023-04-17,2026-04-17,73.13179853039817,-12.347766671942715
