variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,volreg_days,overlay_days,overlay_ratio,overlay_asset_days,avg_removed_weight,trigger_count,recovery_count,annual_delta,max_dd_delta
baseline_no_overlay,,,,23.813898061847528,16.314659939785507,1.3942701403848239,-18.85821997912221,1.2627861000779348,935.6025186116754,65.9090909090909,530,571,90,0,0.0,0,0.0,0,0,0.0,0.0
asset_decay50_rec60_x0p50,0.5,0.6,0.5,20.6407717149248,14.505409832834928,1.3694234724231924,-14.417332582574868,1.4316637003901629,679.4808675002467,64.39393939393939,530,571,90,1370,0.49781976744186046,1791,0.1415701320469552,121,71,-3.1731263469227287,4.4408873965473425
asset_decay50_rec65_x0p50,0.5,0.65,0.5,20.235887939472754,14.392144228692445,1.3556348069032613,-14.417332582574852,1.4035805738386276,651.3261321461432,65.9090909090909,530,571,90,1472,0.5348837209302325,1959,0.15553453923309832,106,55,-3.5780101223747742,4.4408873965473585
asset_decay50_rec70_x0p50,0.5,0.7,0.5,19.504320461586545,14.291653388123288,1.321343714744132,-14.417332582574868,1.352838352717196,602.7866121038654,65.15151515151516,530,571,90,1523,0.5534156976744186,2077,0.1704799744842869,102,51,-4.309577600260983,4.4408873965473425
asset_decay50_rec75_x0p50,0.5,0.75,0.5,18.802501077790733,14.040022712088296,1.300418468045568,-14.417332582574858,1.3041594879011045,558.9167518323163,65.15151515151516,530,571,90,1570,0.5704941860465116,2258,0.19177476735302493,95,42,-5.011396984056795,4.440887396547353
asset_decay50_rec80_x0p50,0.5,0.8,0.5,18.158857025335706,13.852627070374957,1.2768048005060944,-14.809214717264647,1.2261863557266162,520.8865552057063,65.15151515151516,530,571,90,1661,0.6035610465116279,2441,0.21110626228040108,91,36,-5.655041036511822,4.049005261857564
asset_decay55_rec60_x0p50,0.55,0.6,0.5,19.620319930399212,14.33157816354907,1.3248420411753816,-15.398974297081573,1.2741316110981282,610.2879135088186,63.63636363636363,530,571,90,1488,0.5406976744186046,2004,0.16249117526423162,155,102,-4.193578131448316,3.4592456820406383
asset_decay55_rec65_x0p50,0.55,0.65,0.5,19.31190189708165,14.204268443458117,1.3172075194838677,-15.28211913414986,1.2636926677221565,590.502124794734,63.63636363636363,530,571,90,1570,0.5704941860465116,2165,0.17713737160471407,129,75,-4.5019961647658775,3.57610084497235
asset_decay55_rec70_x0p50,0.55,0.7,0.5,18.716947095562375,14.099320037695847,1.2904127793859723,-14.478153377542952,1.292771709726063,553.7426520359635,63.63636363636363,530,571,90,1642,0.596656976744186,2305,0.1920971286878994,116,62,-5.096950966285153,4.380066601579259
asset_decay55_rec75_x0p50,0.55,0.75,0.5,18.138839589606338,13.865563094920791,1.2745078493050301,-13.759134177821053,1.3183125736825156,519.7364631869942,63.63636363636363,530,571,90,1686,0.6126453488372093,2471,0.2119212565882187,107,51,-5.67505847224119,5.0990858013011575
asset_decay55_rec80_x0p50,0.55,0.8,0.5,17.624036287712897,13.668781220475578,1.2588421652772657,-14.154030196089082,1.2451602860493132,490.81559404415935,63.63636363636363,530,571,90,1764,0.6409883720930233,2651,0.23170867610303866,101,43,-6.189861774134631,4.704189783033129
asset_decay60_rec65_x0p50,0.6,0.65,0.5,18.50192725219728,13.913577644819618,1.2927220495484948,-14.367242078794801,1.2877855854816445,540.9013382104299,63.63636363636363,530,571,90,1695,0.6159156976744186,2394,0.197567845652739,173,113,-5.311970809650248,4.49097790032741
asset_decay60_rec70_x0p50,0.6,0.7,0.5,17.984554613117943,13.774122126274104,1.2725629776647251,-14.240656190205067,1.2629021003602336,510.93684182149275,63.63636363636363,530,571,90,1766,0.6417151162790697,2551,0.2130720979369222,149,89,-5.829343448729585,4.617563788917144
asset_decay60_rec75_x0p50,0.6,0.75,0.5,17.468955891640658,13.491218364217056,1.2638355452892465,-13.749286071573744,1.2705354882212556,482.3469892861974,64.39393939393939,530,571,90,1821,0.6617005813953488,2750,0.23444865166185397,133,71,-6.3449421702068705,5.108933907548467
asset_decay60_rec80_x0p50,0.6,0.8,0.5,17.231098223667463,13.287703501146167,1.2658513085650116,-13.794189545628635,1.2491562600811137,469.5722435895771,64.39393939393939,530,571,90,1903,0.6914970930232558,2946,0.2538812763854288,123,58,-6.582799838180065,5.064030433493576
asset_decay65_rec70_x0p50,0.65,0.7,0.5,17.004203887471302,13.554321799029662,1.2292652894107687,-13.407434243228652,1.2682668122022809,457.62414798158915,65.9090909090909,530,571,90,1842,0.6693313953488372,2761,0.23402018644106304,196,135,-6.809694174376226,5.450785735893559
asset_decay65_rec75_x0p50,0.65,0.75,0.5,17.375464024422804,13.243917906896138,1.2789058630721026,-13.348939212727363,1.301636313382595,477.2950428698894,65.9090909090909,530,571,90,1904,0.6918604651162791,2974,0.2560399568999558,161,97,-6.438434037424724,5.509280766394848
asset_decay65_rec80_x0p50,0.65,0.8,0.5,16.99672100531493,13.067359328388017,1.2696177718939672,-13.745713509429534,1.2365106397463625,457.23401303410486,65.9090909090909,530,571,90,1977,0.7183866279069767,3194,0.27588243515377203,145,77,-6.817177056532596,5.112506469692677
asset_decay70_rec75_x0p50,0.7,0.75,0.5,16.318697789779392,12.967917645443261,1.2334044906542176,-13.168337842468297,1.2392374789437044,422.8959408040937,65.15151515151516,530,571,90,1990,0.7231104651162791,3231,0.2823822605853794,219,151,-7.495200272068136,5.689882136653914
asset_decay70_rec80_x0p50,0.7,0.8,0.5,15.670711668926574,12.706411515165586,1.2120857131090108,-13.565939110946976,1.1551512608722503,391.8874434477311,67.42424242424242,530,571,90,2052,0.7456395348837209,3476,0.3051157744164629,181,110,-8.143186392920954,5.292280868175235
