variant,window,start,end,annual,max_dd,sharpe,calmar,total_return
baseline_no_overlay,1Y,2025-04-17,2026-04-17,63.74176367727067,-9.898947849424172,2.5507519464172757,6.439246336768869,63.686506471778515
baseline_no_overlay,3Y,2023-04-17,2026-04-17,41.663356193877554,-15.154324759954557,1.7021034067073142,2.749271699915879,184.36497910962345
baseline_no_overlay,5Y,2021-04-19,2026-04-17,30.662681142104333,-16.474137429684255,1.4488561590107158,1.8612617062945078,280.22644117950415
baseline_no_overlay,15Y,2011-04-20,2026-04-17,23.324560267072258,-19.691449376816987,1.313992976339644,1.1845019541594832,2217.7047640780024
asset_overlay_to_bil_25_65_0p5,1Y,2025-04-17,2026-04-17,55.970603371042984,-9.217243526427318,2.39944848371117,6.072379796689354,55.92315780174542
asset_overlay_to_bil_25_65_0p5,3Y,2023-04-17,2026-04-17,36.19975098036869,-11.453799427943217,1.8632866786736884,3.1605015617834296,152.7090407912274
asset_overlay_to_bil_25_65_0p5,5Y,2021-04-19,2026-04-17,22.209572382976226,-14.268649521530556,1.328601637016374,1.556529393301257,172.26357320792775
asset_overlay_to_bil_25_65_0p5,15Y,2011-04-20,2026-04-17,18.6828759268179,-18.00093069506695,1.2522785775887446,1.0378838874113234,1203.9497329651667
asset_overlay_reallocate_25_65_0p5,1Y,2025-04-17,2026-04-17,56.608863614208985,-9.217243526427314,2.4077832663605316,6.141626121942238,56.560786264760644
asset_overlay_reallocate_25_65_0p5,3Y,2023-04-17,2026-04-17,35.943491756402544,-11.578233918711085,1.832511272428491,3.1044019328643735,151.2849861849357
asset_overlay_reallocate_25_65_0p5,5Y,2021-04-19,2026-04-17,21.416684226573146,-17.639236034405474,1.2558560590554424,1.2141503285516293,163.5558582654337
asset_overlay_reallocate_25_65_0p5,15Y,2011-04-20,2026-04-17,19.579231104831862,-18.851299844674216,1.2484830971661773,1.0386143802366656,1359.659880905207
